date,state,is_national_holiday,is_state_holiday,holiday_name
2024-04-09,Andhra Pradesh,0,1,Ugadi
2024-04-11,Andhra Pradesh,1,0,Eid al-Fitr
2024-04-14,Andhra Pradesh,1,0,Dr. B. R. Ambedkar's Birthday
2024-04-17,Andhra Pradesh,1,0,Ram Navami
2024-04-21,Andhra Pradesh,1,0,Mahavira's Birthday
2024-05-23,Andhra Pradesh,1,0,Buddha Purnima
2024-06-17,Andhra Pradesh,1,0,Eid al-Adha
2024-07-17,Andhra Pradesh,1,0,Ashura
2024-08-15,Andhra Pradesh,1,0,Independence Day
2024-08-26,Andhra Pradesh,1,0,Janmashtami (Vaishnava)
2024-09-16,Andhra Pradesh,1,0,Prophet's Birthday
2024-10-02,Andhra Pradesh,1,0,Mahatma Gandhi's Birthday
2024-10-12,Andhra Pradesh,1,0,Dussehra
2024-10-31,Andhra Pradesh,1,0,Diwali (Deepavali)
2024-11-01,Andhra Pradesh,0,1,Andhra Pradesh Foundation Day
2024-11-15,Andhra Pradesh,1,0,Guru Nanak's Birthday
2024-12-25,Andhra Pradesh,1,0,Christmas
2025-01-26,Andhra Pradesh,1,0,Republic Day
2025-02-26,Andhra Pradesh,1,0,Maha Shivaratri
2025-03-14,Andhra Pradesh,1,0,Holi
2025-03-30,Andhra Pradesh,0,1,Ugadi
2025-03-31,Andhra Pradesh,1,0,Eid al-Fitr
2025-04-10,Andhra Pradesh,1,0,Mahavira's Birthday
2025-04-14,Andhra Pradesh,1,0,Dr. B. R. Ambedkar's Birthday
2025-04-18,Andhra Pradesh,1,0,Good Friday
2025-05-12,Andhra Pradesh,1,0,Buddha Purnima
2025-06-07,Andhra Pradesh,1,0,Eid al-Adha
2025-07-06,Andhra Pradesh,1,0,Ashura
2025-08-15,Andhra Pradesh,1,0,Independence Day
2025-08-16,Andhra Pradesh,1,0,Janmashtami (Vaishnava)
2025-09-05,Andhra Pradesh,1,0,Prophet's Birthday
2025-10-02,Andhra Pradesh,1,0,Dussehra; Mahatma Gandhi's Birthday
2025-10-20,Andhra Pradesh,1,0,Diwali (Deepavali)
2025-11-01,Andhra Pradesh,0,1,Andhra Pradesh Foundation Day
2025-11-05,Andhra Pradesh,1,0,Guru Nanak's Birthday
2025-12-25,Andhra Pradesh,1,0,Christmas
2026-01-26,Andhra Pradesh,1,0,Republic Day
2026-03-04,Andhra Pradesh,1,0,Holi
2026-03-19,Andhra Pradesh,0,1,Ugadi
2026-03-21,Andhra Pradesh,1,0,Eid al-Fitr
2026-03-26,Andhra Pradesh,1,0,Ram Navami
2026-03-31,Andhra Pradesh,1,0,Mahavira's Birthday
2026-04-03,Andhra Pradesh,1,0,Good Friday
2024-04-11,Arunachal Pradesh,1,0,Eid al-Fitr
2024-04-14,Arunachal Pradesh,1,0,Dr. B. R. Ambedkar's Birthday
2024-04-17,Arunachal Pradesh,1,0,Ram Navami
2024-04-21,Arunachal Pradesh,1,0,Mahavira's Birthday
2024-05-23,Arunachal Pradesh,1,0,Buddha Purnima
2024-06-17,Arunachal Pradesh,1,0,Eid al-Adha
2024-07-17,Arunachal Pradesh,1,0,Ashura
2024-08-15,Arunachal Pradesh,1,0,Independence Day
2024-08-26,Arunachal Pradesh,1,0,Janmashtami (Vaishnava)
2024-09-16,Arunachal Pradesh,1,0,Prophet's Birthday
2024-10-02,Arunachal Pradesh,1,0,Mahatma Gandhi's Birthday
2024-10-12,Arunachal Pradesh,1,0,Dussehra
2024-10-31,Arunachal Pradesh,1,0,Diwali (Deepavali)
2024-11-15,Arunachal Pradesh,1,0,Guru Nanak's Birthday
2024-12-25,Arunachal Pradesh,1,0,Christmas
2025-01-26,Arunachal Pradesh,1,0,Republic Day
2025-02-26,Arunachal Pradesh,1,0,Maha Shivaratri
2025-03-14,Arunachal Pradesh,1,0,Holi
2025-03-31,Arunachal Pradesh,1,0,Eid al-Fitr
2025-04-10,Arunachal Pradesh,1,0,Mahavira's Birthday
2025-04-14,Arunachal Pradesh,1,0,Dr. B. R. Ambedkar's Birthday
2025-04-18,Arunachal Pradesh,1,0,Good Friday
2025-05-12,Arunachal Pradesh,1,0,Buddha Purnima
2025-06-07,Arunachal Pradesh,1,0,Eid al-Adha
2025-07-06,Arunachal Pradesh,1,0,Ashura
2025-08-15,Arunachal Pradesh,1,0,Independence Day
2025-08-16,Arunachal Pradesh,1,0,Janmashtami (Vaishnava)
2025-09-05,Arunachal Pradesh,1,0,Prophet's Birthday
2025-10-02,Arunachal Pradesh,1,0,Dussehra; Mahatma Gandhi's Birthday
2025-10-20,Arunachal Pradesh,1,0,Diwali (Deepavali)
2025-11-05,Arunachal Pradesh,1,0,Guru Nanak's Birthday
2025-12-25,Arunachal Pradesh,1,0,Christmas
2026-01-26,Arunachal Pradesh,1,0,Republic Day
2026-03-04,Arunachal Pradesh,1,0,Holi
2026-03-21,Arunachal Pradesh,1,0,Eid al-Fitr
2026-03-26,Arunachal Pradesh,1,0,Ram Navami
2026-03-31,Arunachal Pradesh,1,0,Mahavira's Birthday
2026-04-03,Arunachal Pradesh,1,0,Good Friday
2024-04-11,Assam,1,0,Eid al-Fitr
2024-04-14,Assam,1,0,Dr. B. R. Ambedkar's Birthday
2024-04-17,Assam,1,0,Ram Navami
2024-04-21,Assam,1,0,Mahavira's Birthday
2024-05-23,Assam,1,0,Buddha Purnima
2024-06-17,Assam,1,0,Eid al-Adha
2024-07-17,Assam,1,0,Ashura
2024-08-15,Assam,1,0,Independence Day
2024-08-26,Assam,1,0,Janmashtami (Vaishnava)
2024-09-16,Assam,1,0,Prophet's Birthday
2024-10-02,Assam,1,0,Mahatma Gandhi's Birthday
2024-10-12,Assam,1,0,Dussehra
2024-10-31,Assam,1,0,Diwali (Deepavali)
2024-11-15,Assam,1,0,Guru Nanak's Birthday
2024-12-02,Assam,0,1,Assam Day
2024-12-25,Assam,1,0,Christmas
2025-01-14,Assam,0,1,Magh Bihu
2025-01-26,Assam,1,0,Republic Day
2025-02-26,Assam,1,0,Maha Shivaratri
2025-03-14,Assam,1,0,Holi
2025-03-31,Assam,1,0,Eid al-Fitr
2025-04-10,Assam,1,0,Mahavira's Birthday
2025-04-14,Assam,1,0,Dr. B. R. Ambedkar's Birthday
2025-04-18,Assam,1,0,Good Friday
2025-05-12,Assam,1,0,Buddha Purnima
2025-06-07,Assam,1,0,Eid al-Adha
2025-07-06,Assam,1,0,Ashura
2025-08-15,Assam,1,0,Independence Day
2025-08-16,Assam,1,0,Janmashtami (Vaishnava)
2025-09-05,Assam,1,0,Prophet's Birthday
2025-10-02,Assam,1,0,Dussehra; Mahatma Gandhi's Birthday
2025-10-20,Assam,1,0,Diwali (Deepavali)
2025-11-05,Assam,1,0,Guru Nanak's Birthday
2025-12-02,Assam,0,1,Assam Day
2025-12-25,Assam,1,0,Christmas
2026-01-14,Assam,0,1,Magh Bihu
2026-01-26,Assam,1,0,Republic Day
2026-03-04,Assam,1,0,Holi
2026-03-21,Assam,1,0,Eid al-Fitr
2026-03-26,Assam,1,0,Ram Navami
2026-03-31,Assam,1,0,Mahavira's Birthday
2026-04-03,Assam,1,0,Good Friday
2024-04-11,Bihar,1,0,Eid al-Fitr
2024-04-14,Bihar,1,0,Dr. B. R. Ambedkar's Birthday
2024-04-17,Bihar,1,0,Ram Navami
2024-04-21,Bihar,1,0,Mahavira's Birthday
2024-05-23,Bihar,1,0,Buddha Purnima
2024-06-17,Bihar,1,0,Eid al-Adha
2024-07-17,Bihar,1,0,Ashura
2024-08-15,Bihar,1,0,Independence Day
2024-08-26,Bihar,1,0,Janmashtami (Vaishnava)
2024-09-16,Bihar,1,0,Prophet's Birthday
2024-10-02,Bihar,1,0,Mahatma Gandhi's Birthday
2024-10-12,Bihar,1,0,Dussehra
2024-10-31,Bihar,1,0,Diwali (Deepavali)
2024-11-07,Bihar,0,1,Chhath Puja
2024-11-15,Bihar,1,0,Guru Nanak's Birthday
2024-12-25,Bihar,1,0,Christmas
2025-01-26,Bihar,1,0,Republic Day
2025-02-26,Bihar,1,0,Maha Shivaratri
2025-03-14,Bihar,1,0,Holi
2025-03-22,Bihar,0,1,Bihar Day
2025-03-31,Bihar,1,0,Eid al-Fitr
2025-04-10,Bihar,1,0,Mahavira's Birthday
2025-04-14,Bihar,1,0,Dr. B. R. Ambedkar's Birthday
2025-04-18,Bihar,1,0,Good Friday
2025-05-12,Bihar,1,0,Buddha Purnima
2025-06-07,Bihar,1,0,Eid al-Adha
2025-07-06,Bihar,1,0,Ashura
2025-08-15,Bihar,1,0,Independence Day
2025-08-16,Bihar,1,0,Janmashtami (Vaishnava)
2025-09-05,Bihar,1,0,Prophet's Birthday
2025-10-02,Bihar,1,0,Dussehra; Mahatma Gandhi's Birthday
2025-10-20,Bihar,1,0,Diwali (Deepavali)
2025-10-28,Bihar,0,1,Chhath Puja
2025-11-05,Bihar,1,0,Guru Nanak's Birthday
2025-12-25,Bihar,1,0,Christmas
2026-01-26,Bihar,1,0,Republic Day
2026-03-04,Bihar,1,0,Holi
2026-03-21,Bihar,1,0,Eid al-Fitr
2026-03-22,Bihar,0,1,Bihar Day
2026-03-26,Bihar,1,0,Ram Navami
2026-03-31,Bihar,1,0,Mahavira's Birthday
2026-04-03,Bihar,1,0,Good Friday
2024-04-11,Chandigarh,1,0,Eid al-Fitr
