date,state,energy_mu,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration,is_national_holiday,is_state_holiday,holiday_name
2024-04-01,Andhra Pradesh,239.6,39.1,25.5,31.7,35.7,64,0.0,0.0,15.1,34.6,40,1003.5,23.22,6.6,0,0,
2024-04-02,Andhra Pradesh,243.2,39.5,25.7,31.8,35.6,63,0.4,0.4,15.8,35.3,48,1002.0,23.43,6.75,0,0,
2024-04-03,Andhra Pradesh,244.3,38.8,25.3,31.8,35.6,64,0.1,0.1,18.1,39.2,58,1002.7,24.03,6.86,0,0,
2024-04-04,Andhra Pradesh,244.9,39.2,25.7,32.0,35.9,63,0.0,0.0,20.2,42.8,53,1003.0,24.33,6.91,0,0,
2024-04-05,Andhra Pradesh,247.9,41.3,25.5,32.2,36.2,63,0.0,0.0,18.4,38.2,33,1002.0,23.59,6.83,0,0,
2024-04-06,Andhra Pradesh,247.7,42.5,24.8,32.9,35.4,53,0.0,0.0,21.0,42.1,87,1000.8,25.2,7.99,0,0,
2024-04-07,Andhra Pradesh,244.7,41.8,26.1,33.5,35.2,49,0.0,0.0,23.5,47.2,5,1000.3,25.59,8.66,0,0,
2024-04-08,Andhra Pradesh,236.8,38.3,25.9,31.3,34.7,64,0.0,0.0,21.7,43.6,12,1003.4,23.64,6.89,0,0,
2024-04-09,Andhra Pradesh,235.9,38.6,26.7,31.9,35.4,60,0.3,0.3,19.0,36.0,17,1004.6,23.2,6.85,0,1,Ugadi
2024-04-10,Andhra Pradesh,234.4,39.1,24.4,31.5,34.9,61,0.0,0.0,19.5,40.0,12,1004.5,24.4,7.05,0,0,
2024-04-11,Andhra Pradesh,237.7,39.6,26.4,31.9,36.2,65,0.4,0.4,19.6,36.0,31,1004.8,22.58,6.4,1,0,Eid al-Fitr
2024-04-12,Andhra Pradesh,239.1,37.5,26.2,31.2,34.9,63,1.4,1.4,17.1,34.9,30,1004.8,18.05,5.44,0,0,
2024-04-13,Andhra Pradesh,235.4,40.1,25.8,32.1,36.2,61,0.8,0.8,15.9,35.6,38,1004.4,22.51,6.27,0,0,
2024-04-14,Andhra Pradesh,236.2,39.8,26.2,32.2,36.4,63,0.0,0.0,18.9,36.0,17,1004.8,24.0,6.8,1,0,Dr. B. R. Ambedkar's Birthday
2024-04-15,Andhra Pradesh,240.2,40.8,25.2,32.5,36.5,61,0.0,0.0,20.5,38.2,27,1004.7,23.87,6.91,0,0,
2024-04-16,Andhra Pradesh,244.1,41.6,26.9,33.4,36.2,50,0.0,0.0,22.9,45.0,33,1003.1,24.9,7.51,0,0,
2024-04-17,Andhra Pradesh,250.2,42.5,27.5,34.1,37.8,51,0.0,0.0,17.6,31.7,78,1001.9,24.06,6.64,1,0,Ram Navami
2024-04-18,Andhra Pradesh,252.6,43.0,27.9,34.3,38.5,55,0.0,0.0,20.5,39.2,3,1000.6,24.41,6.87,0,0,
2024-04-19,Andhra Pradesh,253.6,41.3,28.1,34.1,38.9,61,0.0,0.0,20.2,36.7,39,999.3,23.84,7.09,0,0,
2024-04-20,Andhra Pradesh,249.9,41.3,28.0,34.2,39.1,60,0.0,0.0,14.9,33.5,75,999.8,19.91,5.79,0,0,
2024-04-21,Andhra Pradesh,244.9,41.8,29.0,33.4,39.4,66,0.0,0.0,23.2,45.7,51,1000.5,23.16,6.36,1,0,Mahavira's Birthday
2024-04-22,Andhra Pradesh,246.0,41.8,26.9,33.4,37.3,59,0.0,0.0,16.6,37.1,19,1001.1,24.81,7.38,0,0,
2024-04-23,Andhra Pradesh,245.8,41.7,26.2,33.0,37.0,58,0.2,0.2,17.3,33.8,25,1000.8,24.14,6.96,0,0,
2024-04-24,Andhra Pradesh,246.1,42.3,25.7,33.5,37.3,58,0.0,0.0,18.7,36.7,16,1000.2,24.79,7.25,0,0,
2024-04-25,Andhra Pradesh,249.8,42.8,27.0,33.5,38.1,63,0.0,0.0,20.2,37.1,19,1000.4,24.37,7.27,0,0,
2024-04-26,Andhra Pradesh,252.1,41.6,27.0,33.5,38.1,61,0.0,0.0,17.0,35.6,39,1000.4,23.22,6.98,0,0,
2024-04-27,Andhra Pradesh,250.8,42.1,27.3,33.7,39.1,63,0.0,0.0,17.4,31.7,26,1000.5,22.65,6.29,0,0,
2024-04-28,Andhra Pradesh,246.3,42.6,27.5,33.9,38.0,59,0.0,0.0,21.6,39.2,64,1000.7,25.28,7.7,0,0,
2024-04-29,Andhra Pradesh,251.8,41.4,27.5,33.7,37.8,59,0.0,0.0,17.3,38.2,15,1002.0,24.56,7.35,0,0,
2024-04-30,Andhra Pradesh,255.5,41.0,26.8,33.4,37.0,58,0.0,0.0,19.5,42.1,28,1000.0,25.12,7.78,0,0,
2024-05-01,Andhra Pradesh,250.6,43.8,28.8,35.3,40.1,59,0.0,0.0,19.1,38.9,62,997.1,23.35,7.44,0,0,
2024-05-02,Andhra Pradesh,256.6,42.6,29.9,35.1,40.4,62,0.0,0.0,21.7,43.9,15,997.4,23.22,7.51,0,0,
2024-05-03,Andhra Pradesh,258.7,43.0,30.2,35.1,41.0,62,0.0,0.0,20.5,42.5,9,998.5,23.61,7.08,0,0,
2024-05-04,Andhra Pradesh,259.2,42.2,29.7,34.3,40.5,68,0.0,0.0,18.6,40.7,29,999.3,22.74,6.71,0,0,
2024-05-05,Andhra Pradesh,253.6,41.1,26.9,34.1,39.9,66,15.2,15.2,18.9,48.6,43,998.2,24.16,7.04,0,0,
2024-05-06,Andhra Pradesh,255.8,42.3,29.7,34.8,40.9,66,0.0,0.0,20.5,41.8,15,998.9,23.44,7.13,0,0,
2024-05-07,Andhra Pradesh,215.3,32.7,26.1,29.8,35.4,80,53.0,53.0,18.9,40.7,80,1002.4,12.09,3.18,0,0,
2024-05-08,Andhra Pradesh,194.9,37.5,27.5,31.6,36.7,66,0.1,0.1,18.9,38.2,52,1001.7,23.38,6.04,0,0,
2024-05-09,Andhra Pradesh,214.9,34.6,27.8,30.8,36.5,74,2.6,2.6,15.3,38.5,34,1001.4,21.2,5.12,0,0,
