date,state,energy_mu,week_start,week_end,source_file
2024-04-01,Andhra Pradesh,239.6,2024-04-01,2024-04-07,Weekly 010424 to 070424.pdf
2024-04-02,Andhra Pradesh,243.2,2024-04-01,2024-04-07,Weekly 010424 to 070424.pdf
2024-04-03,Andhra Pradesh,244.3,2024-04-01,2024-04-07,Weekly 010424 to 070424.pdf
2024-04-04,Andhra Pradesh,244.9,2024-04-01,2024-04-07,Weekly 010424 to 070424.pdf
2024-04-05,Andhra Pradesh,247.9,2024-04-01,2024-04-07,Weekly 010424 to 070424.pdf
2024-04-06,Andhra Pradesh,247.7,2024-04-01,2024-04-07,Weekly 010424 to 070424.pdf
2024-04-07,Andhra Pradesh,244.7,2024-04-01,2024-04-07,Weekly 010424 to 070424.pdf
2024-04-08,Andhra Pradesh,236.8,2024-04-08,2024-04-14,Weekly 080424 to 140424.pdf
2024-04-09,Andhra Pradesh,235.9,2024-04-08,2024-04-14,Weekly 080424 to 140424.pdf
2024-04-10,Andhra Pradesh,234.4,2024-04-08,2024-04-14,Weekly 080424 to 140424.pdf
2024-04-11,Andhra Pradesh,237.7,2024-04-08,2024-04-14,Weekly 080424 to 140424.pdf
2024-04-12,Andhra Pradesh,239.1,2024-04-08,2024-04-14,Weekly 080424 to 140424.pdf
2024-04-13,Andhra Pradesh,235.4,2024-04-08,2024-04-14,Weekly 080424 to 140424.pdf
2024-04-14,Andhra Pradesh,236.2,2024-04-08,2024-04-14,Weekly 080424 to 140424.pdf
2024-04-15,Andhra Pradesh,240.2,2024-04-15,2024-04-21,Weekly 150424 to 210424.pdf
2024-04-16,Andhra Pradesh,244.1,2024-04-15,2024-04-21,Weekly 150424 to 210424.pdf
2024-04-17,Andhra Pradesh,250.2,2024-04-15,2024-04-21,Weekly 150424 to 210424.pdf
2024-04-18,Andhra Pradesh,252.6,2024-04-15,2024-04-21,Weekly 150424 to 210424.pdf
2024-04-19,Andhra Pradesh,253.6,2024-04-15,2024-04-21,Weekly 150424 to 210424.pdf
2024-04-20,Andhra Pradesh,249.9,2024-04-15,2024-04-21,Weekly 150424 to 210424.pdf
2024-04-21,Andhra Pradesh,244.9,2024-04-15,2024-04-21,Weekly 150424 to 210424.pdf
2024-04-22,Andhra Pradesh,246.0,2024-04-22,2024-04-28,Weekly 220424 to 280424.pdf
2024-04-23,Andhra Pradesh,245.8,2024-04-22,2024-04-28,Weekly 220424 to 280424.pdf
2024-04-24,Andhra Pradesh,246.1,2024-04-22,2024-04-28,Weekly 220424 to 280424.pdf
2024-04-25,Andhra Pradesh,249.8,2024-04-22,2024-04-28,Weekly 220424 to 280424.pdf
2024-04-26,Andhra Pradesh,252.1,2024-04-22,2024-04-28,Weekly 220424 to 280424.pdf
2024-04-27,Andhra Pradesh,250.8,2024-04-22,2024-04-28,Weekly 220424 to 280424.pdf
2024-04-28,Andhra Pradesh,246.3,2024-04-22,2024-04-28,Weekly 220424 to 280424.pdf
