date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,24.9,18.3,20.2,22.2,91,113.3,113.3,16.6,39.6,78,972.6,10.31,1.93
2024-04-02,25.1,18.4,21.3,22.9,82,5.3,5.3,16.9,37.8,41,973.4,16.28,3.07
2024-04-03,25.7,18.2,21.0,22.1,78,0.3,0.3,17.9,40.7,46,975.7,16.59,3.3
2024-04-04,25.4,17.6,21.3,22.5,78,0.6,0.6,17.4,40.7,48,975.7,17.48,3.45
2024-04-05,26.4,18.3,21.8,23.8,82,6.3,6.3,14.6,33.8,66,974.5,15.24,3.07
2024-04-06,24.6,18.6,21.1,23.3,90,32.0,32.0,14.4,43.2,82,973.2,13.29,2.46
2024-04-07,29.1,18.2,23.0,26.1,85,0.1,0.1,10.8,34.6,36,973.0,19.85,3.95
2024-04-08,28.6,19.8,23.7,26.3,76,5.5,5.5,10.1,26.3,72,977.1,18.07,3.79
2024-04-09,28.2,18.8,22.7,25.3,79,4.4,4.4,9.1,25.6,69,978.4,18.67,3.77
2024-04-10,29.3,16.8,22.6,24.3,71,0.0,0.0,11.8,27.4,44,978.9,18.67,4.08
2024-04-11,29.3,16.4,23.1,24.7,66,0.1,0.1,13.9,29.2,70,980.0,17.97,3.94
2024-04-12,27.8,18.6,22.6,24.1,74,3.7,3.7,17.7,40.7,51,979.6,19.38,4.08
2024-04-13,30.0,17.2,23.3,25.0,67,0.0,0.0,6.9,19.1,73,978.5,16.69,3.61
2024-04-14,30.7,18.0,24.1,26.2,66,0.0,0.0,8.0,22.3,37,978.0,19.83,4.3
2024-04-15,30.3,18.2,24.6,27.1,67,0.0,0.0,5.2,18.4,27,977.3,18.54,3.97
2024-04-16,28.2,20.6,23.9,27.1,78,15.8,15.8,8.4,20.5,78,976.1,13.66,2.9
2024-04-17,22.0,19.0,20.6,23.3,95,81.1,81.1,13.0,38.2,90,974.8,7.65,1.44
2024-04-18,28.1,18.7,22.7,25.3,80,0.7,0.7,8.7,21.2,75,974.2,17.42,3.47
2024-04-19,26.2,20.0,22.1,24.5,83,26.3,26.3,13.5,32.0,63,971.4,14.66,2.87
2024-04-20,26.8,18.7,22.5,25.1,85,7.8,7.8,13.0,33.1,65,970.7,16.07,3.19
2024-04-21,25.2,19.9,22.1,24.7,89,7.2,7.2,15.0,34.2,72,971.7,13.88,2.61
2024-04-22,27.4,19.4,23.1,25.9,84,5.6,5.6,14.7,35.3,72,973.1,19.34,3.79
2024-04-23,27.5,19.5,23.1,26.2,85,11.2,11.2,9.8,34.9,73,971.6,18.06,3.57
2024-04-24,27.4,18.6,22.5,24.7,83,39.4,39.4,15.5,34.2,34,971.6,21.9,4.23
2024-04-25,26.8,17.5,22.1,23.6,81,9.8,9.8,18.8,40.7,52,973.5,21.33,4.15
2024-04-26,27.3,18.4,22.7,25.1,81,3.1,3.1,14.2,33.1,54,973.7,19.13,3.84
2024-04-27,28.3,18.6,23.2,25.9,81,5.9,5.9,14.8,36.0,45,973.8,20.2,3.97
2024-04-28,24.7,19.9,21.3,23.9,92,38.2,38.2,14.5,37.1,82,973.5,12.38,2.19
2024-04-29,25.8,19.3,22.5,24.9,85,7.7,7.7,15.8,36.0,62,974.1,15.81,3.13
2024-04-30,27.1,19.6,22.8,25.0,82,9.7,9.7,15.3,35.6,50,970.7,18.58,3.73
2024-05-01,24.7,19.3,21.7,24.2,90,13.7,13.7,13.8,36.7,77,968.6,14.08,2.58
2024-05-02,27.6,18.4,22.7,25.7,85,11.8,11.8,12.9,43.6,35,969.0,21.62,4.21
2024-05-03,26.2,17.0,21.5,22.6,77,0.5,0.5,20.8,45.7,43,974.8,20.4,3.95
2024-05-04,30.5,17.0,24.0,26.4,68,0.0,0.0,7.3,21.6,55,974.0,23.32,4.85
2024-05-05,24.0,19.6,21.6,23.7,83,17.9,17.9,17.9,42.5,80,973.9,15.18,2.91
2024-05-06,25.4,18.3,21.1,22.9,84,0.1,0.1,14.4,33.8,85,977.6,17.28,3.24
2024-05-07,27.9,19.4,23.2,26.2,78,0.0,0.0,9.3,26.6,71,979.3,19.74,3.98
2024-05-08,30.1,18.5,24.4,27.4,73,0.0,0.0,9.6,20.2,79,977.4,22.21,4.63
2024-05-09,27.4,19.2,23.2,25.7,79,0.2,0.2,15.0,35.6,70,977.0,16.44,3.38
2024-05-10,28.0,18.8,23.0,25.5,76,0.4,0.4,13.8,32.4,63,977.6,18.87,3.86
2024-05-11,28.2,19.4,23.9,27.0,76,0.0,0.0,8.5,24.8,36,978.3,20.7,4.14
2024-05-12,30.3,19.4,25.1,28.4,74,0.0,0.0,8.0,22.3,55,977.9,22.37,4.67
2024-05-13,30.0,20.2,25.3,29.1,76,8.9,8.9,11.2,30.6,40,976.9,20.64,4.23
2024-05-14,30.8,21.2,26.0,30.2,76,0.3,0.3,9.7,25.2,39,976.4,22.81,4.72
2024-05-15,33.0,21.6,27.4,31.4,70,0.3,0.3,12.0,28.4,36,976.7,23.48,5.2
2024-05-16,30.7,21.6,25.8,30.8,85,42.6,42.6,13.1,28.4,52,976.5,19.83,4.09
