date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,29.7,18.4,23.4,27.0,86,0.0,0.0,9.8,23.4,30,998.2,16.08,3.25
2024-04-02,30.3,17.9,23.4,26.7,83,0.0,0.0,8.4,19.1,30,998.6,16.93,3.52
2024-04-03,29.7,18.0,23.4,25.9,78,0.0,0.0,8.9,22.3,28,1001.2,17.32,3.67
2024-04-04,30.4,17.9,23.9,26.4,79,0.1,0.1,14.0,28.8,50,1000.9,17.66,3.92
2024-04-05,29.1,20.2,23.7,26.9,84,6.6,6.6,10.1,26.3,47,1000.4,13.73,2.89
2024-04-06,31.5,19.7,25.0,29.1,82,0.0,0.0,8.0,21.6,31,998.7,17.36,3.67
2024-04-07,33.9,19.6,27.0,28.9,60,0.0,0.0,17.1,36.7,63,998.8,17.75,4.85
2024-04-08,31.2,22.0,26.7,29.5,66,0.0,0.0,9.4,22.0,66,1002.9,14.07,3.5
2024-04-09,32.1,18.8,25.2,27.3,63,0.0,0.0,8.5,25.2,51,1004.0,17.14,4.07
2024-04-10,32.2,18.9,24.6,26.0,60,0.0,0.0,10.7,34.9,64,1005.1,17.76,4.27
2024-04-11,33.1,18.8,24.9,26.3,64,1.5,1.5,13.9,34.2,73,1006.4,17.54,4.43
2024-04-12,33.2,20.5,25.8,28.1,67,0.3,0.3,11.4,25.2,51,1005.4,19.36,4.45
2024-04-13,34.3,19.7,26.5,28.0,57,0.0,0.0,14.1,30.6,30,1004.8,19.86,4.99
2024-04-14,34.5,20.1,27.0,28.6,57,0.0,0.0,14.1,31.3,48,1004.5,18.8,4.94
2024-04-15,35.0,21.8,28.1,30.6,59,0.0,0.0,14.1,32.0,27,1003.5,18.55,4.67
2024-04-16,30.1,22.3,25.5,28.6,75,7.8,7.8,15.8,33.5,81,1002.2,13.87,3.22
2024-04-17,32.2,21.2,25.8,28.6,74,0.0,0.0,15.4,35.6,43,1000.0,18.96,4.21
2024-04-18,32.5,20.1,25.7,28.4,72,0.4,0.4,13.4,32.4,51,999.9,20.34,4.54
2024-04-19,31.6,20.8,25.8,28.8,73,1.3,1.3,15.5,31.7,40,996.7,16.81,3.82
2024-04-20,30.1,21.0,24.7,27.1,78,4.2,4.2,19.0,40.7,54,996.5,17.13,3.99
2024-04-21,33.2,20.5,25.9,29.4,80,0.9,0.9,17.6,36.0,62,996.8,20.15,4.46
2024-04-22,33.8,21.4,27.5,31.2,73,0.2,0.2,12.1,28.8,65,998.2,20.73,4.91
2024-04-23,34.9,21.8,27.7,31.3,70,0.0,0.0,14.0,31.0,60,996.8,19.16,4.54
2024-04-24,38.8,22.1,30.0,30.8,47,0.0,0.0,29.9,61.9,14,996.0,20.44,6.61
2024-04-25,33.5,20.0,26.8,29.3,67,0.0,0.0,13.7,31.7,2,998.2,22.76,5.45
