date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,36.2,24.0,29.4,27.4,34,0.0,0.0,29.4,51.1,19,998.4,23.23,8.77
2024-04-02,35.4,21.4,28.4,25.9,30,0.0,0.0,27.0,47.2,56,998.3,22.88,8.44
2024-04-03,36.3,22.0,28.5,27.0,33,0.0,0.0,19.8,36.4,66,1000.1,23.16,7.5
2024-04-04,38.0,21.0,29.7,29.5,35,0.0,0.0,15.0,26.3,69,999.2,22.18,6.67
2024-04-05,38.0,22.2,30.1,29.1,33,0.0,0.0,21.9,39.2,62,998.5,23.05,7.68
2024-04-06,37.3,26.7,31.2,30.3,30,0.0,0.0,17.8,30.6,99,998.9,19.41,7.11
2024-04-07,36.3,23.5,30.2,28.8,32,0.0,0.0,28.2,46.4,83,999.8,18.06,7.26
2024-04-08,36.9,23.0,29.4,27.9,33,0.0,0.0,22.1,35.3,43,1001.8,22.27,7.56
2024-04-09,37.1,22.7,29.2,27.8,31,0.0,0.0,18.2,34.6,27,1002.7,22.98,7.59
2024-04-10,37.0,21.4,29.1,27.7,30,0.0,0.0,16.3,31.7,58,1003.0,21.69,6.94
2024-04-11,36.3,21.3,28.8,28.9,38,0.0,0.0,12.0,20.9,31,1003.9,23.01,6.05
2024-04-12,35.9,19.9,28.3,29.4,50,0.0,0.0,11.2,20.9,64,1003.5,21.6,5.74
2024-04-13,36.8,22.1,29.5,30.7,44,0.0,0.0,12.0,20.2,33,1003.2,22.83,5.8
2024-04-14,37.6,24.1,30.8,31.5,40,0.0,0.0,14.3,27.4,39,1003.3,22.27,6.35
2024-04-15,38.9,24.9,32.0,33.0,39,0.0,0.0,17.6,32.4,43,1002.0,22.68,6.76
2024-04-16,39.3,25.7,32.9,32.0,31,0.0,0.0,25.5,46.8,11,999.5,23.42,8.83
2024-04-17,38.4,26.9,31.9,29.6,25,0.0,0.0,27.8,49.7,26,998.0,24.23,9.28
2024-04-18,38.3,23.9,31.3,28.6,22,0.0,0.0,31.0,54.0,11,997.4,24.16,9.33
2024-04-19,41.4,22.8,33.0,30.8,28,0.0,0.0,35.7,63.0,3,994.3,23.95,10.4
2024-04-20,42.1,26.7,35.4,32.1,19,0.0,0.0,33.1,58.3,40,993.9,24.26,11.86
2024-04-21,40.5,26.3,33.7,30.4,18,0.0,0.0,28.2,49.3,62,995.8,23.82,10.44
2024-04-22,39.2,26.7,33.4,30.8,25,0.0,0.0,27.6,49.3,96,997.6,17.22,9.56
2024-04-23,39.5,29.2,33.5,31.6,29,0.0,0.0,32.0,55.4,28,997.1,21.24,9.91
2024-04-24,40.9,25.2,33.7,30.9,22,0.0,0.0,26.8,48.6,0,996.6,24.5,10.61
2024-04-25,40.9,26.1,33.8,30.5,18,0.0,0.0,28.6,51.1,0,997.1,24.83,10.52
2024-04-26,42.1,25.9,34.4,31.3,17,0.0,0.0,28.2,50.8,21,996.4,24.78,10.61
2024-04-27,41.9,29.3,35.4,33.2,21,0.0,0.0,24.4,42.8,84,997.0,22.89,10.24
2024-04-28,42.1,29.4,35.6,32.9,20,0.0,0.0,28.5,48.6,44,997.0,24.42,11.2
2024-04-29,42.0,26.5,34.8,31.9,18,0.0,0.0,27.4,50.0,35,997.4,24.38,10.34
2024-04-30,42.8,28.7,36.0,32.8,17,0.0,0.0,30.0,52.9,11,993.5,24.67,11.77
2024-05-01,40.5,27.2,33.9,30.6,16,0.0,0.0,25.6,46.1,0,993.1,25.03,10.31
2024-05-02,38.2,25.6,31.6,27.7,16,0.0,0.0,27.4,49.3,1,994.9,25.65,10.31
2024-05-03,38.7,22.3,30.9,28.8,22,0.0,0.0,13.5,26.6,17,997.6,25.16,8.16
2024-05-04,40.4,23.9,32.6,30.6,20,0.0,0.0,19.4,33.5,48,997.2,24.6,7.95
2024-05-05,41.4,24.6,32.7,31.9,28,0.0,0.0,21.3,37.1,30,994.1,24.61,7.91
2024-05-06,37.2,25.1,30.4,31.7,57,0.0,0.0,27.2,47.9,12,997.5,22.72,7.45
2024-05-07,34.9,24.5,28.8,29.8,62,0.0,0.0,27.2,50.4,45,1001.5,19.99,6.34
2024-05-08,34.4,23.7,28.7,29.9,58,0.0,0.0,21.8,39.2,21,1002.1,21.68,6.52
2024-05-09,33.5,22.8,28.0,30.9,66,13.1,13.1,18.8,36.0,41,1000.5,19.35,4.99
2024-05-10,34.4,23.9,29.2,31.9,63,0.5,0.5,17.4,36.7,21,1000.9,22.34,5.88
2024-05-11,35.1,25.8,30.4,33.3,61,0.9,0.9,23.8,45.0,20,1001.1,19.94,5.88
2024-05-12,33.5,24.0,28.8,32.1,70,4.9,4.9,27.9,51.1,32,1002.3,20.29,5.14
2024-05-13,36.0,25.8,30.7,34.3,61,0.0,0.0,13.8,29.2,31,1001.5,22.75,5.91
2024-05-14,38.2,26.6,32.4,35.9,54,0.0,0.0,13.0,22.0,7,1000.8,23.03,6.36
2024-05-15,40.3,28.2,34.2,36.8,44,0.0,0.0,16.6,29.5,27,1001.0,22.55,6.78
2024-05-16,39.8,28.1,33.4,36.2,47,0.4,0.4,16.2,33.8,31,1000.4,21.36,6.12
2024-05-17,41.5,28.0,34.2,35.8,40,0.0,0.0,17.2,32.0,93,997.8,19.81,6.79
2024-05-18,41.7,29.1,35.0,36.4,38,0.0,0.0,19.3,36.0,24,995.5,23.23,8.15
2024-05-19,38.9,27.2,33.1,37.0,56,0.0,0.0,17.4,34.2,10,994.5,22.97,6.62
2024-05-20,37.5,27.9,31.9,34.9,59,0.0,0.0,25.0,47.2,3,995.4,23.46,7.14
2024-05-21,35.7,24.7,30.5,33.7,64,2.4,2.4,23.8,40.3,6,997.0,23.45,6.44
2024-05-22,34.7,25.7,30.3,33.3,65,0.3,0.3,23.8,42.8,14,997.1,22.3,6.35
2024-05-23,34.9,25.4,29.3,33.2,75,4.2,4.2,24.1,46.4,43,996.1,19.17,5.01
2024-05-24,37.0,27.8,32.2,37.1,64,1.4,1.4,19.6,41.4,8,994.5,22.21,6.02
2024-05-25,39.2,29.3,34.4,39.3,55,0.0,0.0,11.7,20.9,8,992.6,22.84,6.32
2024-05-26,38.8,29.9,34.1,38.6,57,0.0,0.0,19.9,38.9,9,991.2,23.2,7.0
2024-05-27,36.4,29.4,32.5,37.0,62,0.0,0.0,23.5,43.9,37,989.7,21.11,6.02
2024-05-28,42.6,28.4,34.8,39.2,55,0.0,0.0,18.4,34.6,0,987.0,24.18,7.56
2024-05-29,41.3,29.4,35.1,41.1,63,0.0,0.0,19.7,34.2,35,988.5,24.11,7.35
2024-05-30,40.6,30.3,34.8,40.5,64,1.1,1.1,24.6,45.7,36,991.2,24.12,7.3
2024-05-31,40.0,28.3,33.5,38.7,64,0.0,0.0,19.6,34.6,22,993.3,23.89,6.86
2024-06-01,38.0,28.1,32.7,37.9,68,0.0,0.0,22.9,44.3,30,994.6,24.09,6.71
2024-06-02,38.1,27.4,32.6,37.8,64,0.0,0.0,18.6,35.6,17,995.8,24.15,6.33
2024-06-03,38.4,28.0,32.5,38.6,67,1.7,1.7,24.8,47.9,19,995.4,22.69,5.78
2024-06-04,39.2,28.2,32.8,37.5,62,0.0,0.0,16.7,32.8,6,995.1,23.49,6.38
2024-06-05,37.2,27.5,32.0,36.6,66,0.0,0.0,19.8,38.9,2,995.8,24.42,6.6
2024-06-06,37.5,26.4,32.1,36.9,63,0.1,0.1,20.5,34.9,4,996.7,24.04,6.12
2024-06-07,39.2,27.5,33.0,37.7,59,0.0,0.0,15.0,29.5,4,994.8,24.09,6.49
2024-06-08,41.6,28.3,34.7,38.2,50,0.0,0.0,18.0,32.4,4,992.7,24.17,7.56
2024-06-09,42.0,28.8,34.8,39.0,54,0.0,0.0,22.0,39.6,8,992.3,24.76,7.56
2024-06-10,41.4,29.1,34.7,39.6,57,0.0,0.0,15.6,30.2,0,992.9,24.9,6.98
2024-06-11,41.0,29.5,34.7,40.0,59,0.0,0.0,19.1,32.0,2,992.8,24.42,7.11
2024-06-12,40.0,29.4,33.8,39.3,64,0.0,0.0,18.2,38.5,5,993.0,23.97,6.53
2024-06-13,40.3,29.4,34.2,40.0,64,0.0,0.0,20.9,36.0,13,991.6,24.45,6.77
2024-06-14,38.7,27.6,33.2,38.6,65,0.0,0.0,22.7,41.0,65,991.2,24.47,6.8
