date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,28.5,17.2,22.0,20.3,48,0.0,0.0,18.4,36.4,80,969.6,20.41,5.51
2024-04-02,29.5,16.4,22.5,20.6,45,0.0,0.0,20.8,40.7,35,968.4,22.71,6.11
2024-04-03,32.1,15.4,24.0,22.5,40,0.0,0.0,13.4,27.0,86,969.5,21.07,5.79
2024-04-04,32.7,15.6,24.8,22.9,34,0.0,0.0,16.6,32.4,22,969.8,23.08,6.57
2024-04-05,31.8,18.5,25.0,22.6,30,0.0,0.0,17.1,33.5,19,969.4,22.94,6.95
2024-04-06,32.3,18.2,24.9,21.9,27,0.0,0.0,20.4,38.2,0,968.9,23.8,7.4
2024-04-07,32.1,16.4,24.0,21.6,31,0.0,0.0,19.8,38.9,0,968.8,23.7,6.57
2024-04-08,33.1,14.9,24.3,22.0,32,0.0,0.0,20.6,38.5,8,970.1,23.55,6.56
2024-04-09,33.6,15.4,25.0,23.0,29,0.0,0.0,15.2,31.7,41,970.9,23.18,6.2
2024-04-10,33.9,15.8,25.2,23.5,33,0.0,0.0,14.8,27.7,18,971.1,23.06,6.27
2024-04-11,34.3,19.4,26.6,24.3,28,0.0,0.0,16.8,33.8,40,972.6,23.0,7.01
2024-04-12,35.3,17.1,26.9,25.3,32,0.0,0.0,16.4,33.1,37,971.5,23.28,6.74
2024-04-13,35.4,19.1,27.5,25.5,33,0.0,0.0,20.1,38.5,87,971.4,19.83,7.0
2024-04-14,31.6,21.7,26.2,25.2,46,2.3,2.3,27.3,46.1,98,973.8,13.69,5.13
2024-04-15,31.4,20.7,25.8,25.9,50,10.7,10.7,21.5,43.2,85,972.6,15.89,4.51
2024-04-16,31.6,19.9,25.7,25.5,53,0.0,0.0,20.7,38.2,35,971.2,23.5,6.42
2024-04-17,31.5,19.5,25.5,24.0,44,0.0,0.0,22.1,42.8,52,969.5,24.17,7.09
2024-04-18,32.6,20.8,26.8,25.3,39,0.0,0.0,20.5,44.3,37,968.4,18.97,6.49
2024-04-19,34.6,22.3,27.9,26.0,37,0.8,0.8,25.4,46.8,23,966.6,20.83,7.53
2024-04-20,32.4,19.0,26.7,26.1,38,0.0,0.0,17.5,33.8,13,966.2,22.14,6.0
2024-04-21,34.0,20.4,27.2,25.7,34,0.0,0.0,17.1,30.6,8,967.2,23.92,7.12
2024-04-22,33.3,18.5,26.1,24.9,35,0.0,0.0,11.4,27.7,22,968.0,22.8,6.17
2024-04-23,33.4,18.5,26.0,24.5,36,0.0,0.0,20.2,40.3,35,968.1,20.56,5.9
2024-04-24,33.1,18.1,26.0,25.0,36,0.0,0.0,12.3,25.6,8,967.6,23.4,6.0
2024-04-25,36.1,19.2,28.3,26.0,30,0.0,0.0,23.4,44.6,4,967.5,24.25,8.19
2024-04-26,38.5,24.4,31.2,28.4,20,0.0,0.0,19.1,38.5,40,966.2,23.38,8.33
2024-04-27,34.8,21.5,28.2,26.3,31,1.0,1.0,22.3,51.1,32,968.0,19.02,6.73
2024-04-28,34.6,19.1,27.7,26.2,33,0.0,0.0,15.6,31.7,50,968.9,22.66,6.79
2024-04-29,31.1,21.1,25.5,23.6,39,1.5,1.5,29.5,58.7,61,968.6,12.15,5.17
2024-04-30,33.3,18.1,26.2,24.2,34,0.0,0.0,15.6,33.1,6,966.7,24.88,7.34
2024-05-01,28.9,17.2,23.0,20.7,36,0.0,0.0,16.7,34.2,1,964.9,24.71,6.75
2024-05-02,32.9,17.5,25.7,22.8,31,0.0,0.0,25.0,48.2,1,965.9,24.9,8.09
2024-05-03,36.0,21.1,28.9,26.1,27,0.0,0.0,21.5,42.8,68,966.6,22.79,8.59
2024-05-04,39.0,25.8,32.5,29.5,20,0.0,0.0,22.6,44.6,45,966.8,23.27,9.21
2024-05-05,38.5,23.0,31.4,28.4,20,0.0,0.0,26.5,48.2,1,963.5,24.51,9.35
2024-05-06,38.8,24.3,32.1,29.9,21,0.0,0.0,15.7,34.2,5,965.0,24.16,8.36
2024-05-07,38.3,21.9,31.2,29.5,25,0.0,0.0,25.8,51.5,3,967.0,23.07,7.48
2024-05-08,35.9,24.9,30.4,30.0,38,0.7,0.7,28.0,51.1,22,967.7,19.67,6.69
2024-05-09,37.1,27.0,31.4,31.0,39,0.0,0.0,26.0,47.5,7,967.2,22.05,8.03
2024-05-10,36.5,26.9,31.6,31.6,40,0.0,0.0,27.4,50.8,42,968.0,19.73,7.16
2024-05-11,35.2,25.5,29.8,30.8,43,1.6,1.6,16.2,37.1,30,969.5,20.21,5.81
