date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,38.7,24.8,31.5,31.3,36,0.0,0.0,16.8,37.8,32,974.4,23.64,7.73
2024-04-02,39.1,22.7,31.4,31.1,33,0.0,0.0,14.8,33.1,14,973.1,24.87,7.67
2024-04-03,39.3,23.6,31.8,32.1,32,0.0,0.0,9.7,20.5,27,974.3,24.66,6.73
2024-04-04,40.3,25.8,33.1,33.2,33,0.0,0.0,18.6,38.9,38,974.2,24.19,7.89
2024-04-05,40.2,25.4,32.6,32.4,30,0.0,0.0,13.7,31.0,26,973.5,25.0,7.61
2024-04-06,39.6,24.3,32.9,32.8,29,0.0,0.0,10.5,25.6,34,973.4,23.36,6.96
2024-04-07,36.2,23.5,29.1,29.1,39,0.0,0.0,16.2,36.7,39,974.9,18.98,5.71
2024-04-08,31.8,21.4,25.2,26.7,67,14.9,14.9,19.4,41.0,87,978.6,13.79,3.56
2024-04-09,34.7,19.5,25.7,27.7,68,20.1,20.1,22.0,46.8,59,978.8,21.44,4.97
2024-04-10,34.7,21.5,27.4,30.1,62,1.1,1.1,16.6,38.9,65,977.8,22.26,5.27
2024-04-11,29.6,20.5,24.9,28.2,77,4.5,4.5,20.2,38.2,66,979.6,18.21,3.84
2024-04-12,31.5,20.1,24.9,27.7,72,0.8,0.8,10.7,20.9,63,978.7,14.35,3.38
2024-04-13,32.3,21.2,26.3,29.4,69,0.8,0.8,13.5,32.8,23,978.0,22.81,5.02
2024-04-14,35.1,21.4,28.3,31.3,61,0.0,0.0,10.2,25.6,12,977.5,23.22,5.48
2024-04-15,37.2,23.2,29.6,33.1,58,0.3,0.3,7.6,27.0,26,977.2,22.68,5.46
2024-04-16,38.4,23.6,31.0,34.1,53,0.0,0.0,9.6,16.9,9,975.6,24.05,5.92
2024-04-17,38.9,23.7,31.3,32.6,43,0.0,0.0,17.3,37.8,4,974.0,24.48,6.9
2024-04-18,39.5,23.0,31.3,32.2,38,0.0,0.0,10.7,23.0,25,973.5,25.76,6.74
2024-04-19,40.7,23.3,32.0,33.3,39,0.0,0.0,11.2,21.2,16,971.2,25.78,6.8
2024-04-20,40.5,24.5,32.8,33.9,37,0.0,0.0,19.8,41.8,12,971.3,24.1,7.04
2024-04-21,40.2,26.8,33.5,34.8,38,0.0,0.0,13.3,23.8,51,972.4,25.01,7.41
2024-04-22,36.3,27.0,30.6,32.0,45,0.1,0.1,23.8,46.1,54,975.2,23.14,6.5
2024-04-23,35.8,24.0,29.2,31.8,56,1.4,1.4,14.4,40.0,41,974.4,21.51,5.6
2024-04-24,37.2,24.9,30.9,32.0,44,0.2,0.2,14.8,44.3,20,973.3,22.73,6.74
2024-04-25,39.1,25.2,32.2,33.4,40,0.3,0.3,19.9,42.1,25,973.0,22.7,6.8
2024-04-26,40.6,25.2,33.4,34.1,35,0.0,0.0,14.6,28.4,14,972.5,24.07,7.5
2024-04-27,39.4,26.0,32.3,33.7,40,0.0,0.0,17.6,40.3,28,973.5,20.16,6.11
