date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,31.3,18.7,24.9,22.7,38,0.0,0.0,20.8,40.7,67,984.5,20.99,6.63
2024-04-02,32.9,17.1,25.3,23.0,33,0.0,0.0,21.4,42.1,54,983.2,22.85,7.14
2024-04-03,35.9,21.8,28.3,26.3,24,0.0,0.0,18.8,35.6,74,984.0,21.42,6.42
2024-04-04,36.4,20.5,29.2,26.9,26,0.0,0.0,18.0,31.0,69,984.0,22.65,7.54
2024-04-05,35.6,21.2,28.2,25.1,24,0.0,0.0,28.2,52.6,80,983.7,18.55,7.8
2024-04-06,35.0,19.6,27.3,24.1,21,0.0,0.0,21.3,41.0,0,983.6,23.91,7.85
2024-04-07,35.4,17.5,26.9,23.5,21,0.0,0.0,21.1,39.6,0,983.5,24.46,7.89
2024-04-08,36.8,19.0,28.0,25.0,20,0.0,0.0,20.0,38.5,3,984.6,24.0,7.63
2024-04-09,37.8,19.9,29.0,26.1,18,0.0,0.0,16.6,35.3,50,985.2,22.81,7.09
2024-04-10,38.6,19.8,28.9,26.5,21,0.0,0.0,13.4,30.6,14,985.2,22.85,6.93
2024-04-11,38.0,22.2,30.0,27.8,21,0.0,0.0,14.2,32.4,15,986.2,23.27,6.82
2024-04-12,38.8,21.8,30.5,28.3,21,0.0,0.0,11.3,24.5,62,985.4,23.17,7.04
2024-04-13,38.5,25.3,30.8,28.9,27,1.2,1.2,16.0,34.9,73,984.8,21.39,7.76
2024-04-14,33.8,22.8,27.5,27.5,45,0.5,0.5,15.5,38.2,91,987.2,14.43,4.89
2024-04-15,36.3,22.3,28.8,29.6,48,1.3,1.3,20.9,47.2,95,986.5,19.34,5.71
2024-04-16,35.7,23.5,29.8,28.5,36,0.0,0.0,21.6,40.3,59,985.5,23.53,8.27
2024-04-17,35.3,22.2,29.3,26.0,27,0.0,0.0,29.3,52.6,41,984.2,24.44,9.7
