date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,32.5,25.4,29.1,34.2,76,0.0,0.0,17.6,38.9,34,1002.1,23.78,5.24
2024-04-02,32.7,25.1,28.9,33.3,72,0.0,0.0,18.3,40.3,54,1001.1,24.49,5.7
2024-04-03,31.8,23.6,28.2,32.2,72,0.0,0.0,18.2,40.0,67,1002.0,24.46,5.61
2024-04-04,32.7,23.3,28.5,31.7,68,0.0,0.0,26.1,51.8,36,1001.7,24.61,6.09
2024-04-05,32.3,24.5,28.9,32.1,65,0.0,0.0,22.4,46.4,52,1001.2,24.41,5.91
2024-04-06,33.6,23.9,29.4,33.1,66,0.0,0.0,19.9,41.4,70,999.6,24.61,6.07
2024-04-07,33.3,26.3,29.8,34.2,69,0.0,0.0,15.9,36.4,14,1000.2,23.39,5.57
2024-04-08,33.9,23.0,28.8,31.6,64,0.0,0.0,24.5,47.2,10,1000.5,24.93,6.41
2024-04-09,32.7,23.7,28.6,32.5,70,0.0,0.0,24.5,47.9,28,1001.0,24.8,5.83
2024-04-10,32.8,24.5,28.9,32.4,66,0.0,0.0,20.1,42.5,69,1001.2,24.78,5.98
2024-04-11,33.1,26.0,29.2,33.0,66,0.0,0.0,20.4,42.8,50,1001.7,24.33,5.68
2024-04-12,32.9,24.4,29.0,32.8,68,0.0,0.0,21.8,45.4,25,1001.3,24.33,5.77
2024-04-13,34.3,23.9,29.1,32.4,65,0.0,0.0,22.0,45.0,16,1001.9,24.97,6.13
2024-04-14,33.6,24.8,28.9,32.6,68,0.0,0.0,22.3,45.7,10,1002.2,24.77,5.87
2024-04-15,33.6,26.0,29.9,33.7,65,0.0,0.0,18.4,40.0,46,1001.9,24.8,6.24
2024-04-16,33.1,26.6,29.7,35.6,78,0.0,0.0,17.7,38.9,54,1001.5,23.25,5.18
2024-04-17,33.0,26.7,29.8,35.7,77,0.1,0.1,15.6,36.0,68,1002.0,22.55,5.11
2024-04-18,33.1,26.4,29.8,35.6,79,0.0,0.0,17.9,39.6,36,1001.0,22.11,5.02
2024-04-19,33.1,27.3,30.3,36.1,76,0.0,0.0,19.9,43.2,35,999.7,22.07,5.1
2024-04-20,32.1,27.3,29.9,35.8,78,0.1,0.1,21.1,44.6,80,999.6,21.11,4.74
2024-04-21,33.8,26.4,30.0,35.6,77,0.0,0.0,22.4,45.0,64,999.8,23.36,5.54
2024-04-22,33.7,26.2,30.1,34.3,68,0.0,0.0,24.7,50.8,4,1000.5,24.33,5.94
2024-04-23,35.1,26.6,30.6,34.2,64,0.0,0.0,23.2,46.1,18,999.0,24.52,6.53
2024-04-24,33.5,26.4,30.2,34.6,68,0.0,0.0,17.2,40.3,35,999.1,24.63,6.03
2024-04-25,33.3,26.1,29.8,35.1,76,0.0,0.0,21.0,40.7,14,999.2,24.63,5.57
2024-04-26,33.3,25.6,29.9,34.9,74,0.0,0.0,20.5,42.5,23,999.3,24.61,5.75
2024-04-27,33.8,25.6,30.0,34.8,72,0.0,0.0,22.8,45.0,8,998.8,24.63,5.87
2024-04-28,33.1,26.8,30.3,36.2,75,0.0,0.0,18.2,39.6,63,999.6,24.29,5.46
2024-04-29,33.5,27.9,30.5,36.7,77,0.1,0.1,17.1,38.2,30,1000.7,24.11,5.49
2024-04-30,33.6,26.9,30.3,36.1,74,0.0,0.0,20.2,43.2,24,999.6,25.19,5.61
2024-05-01,33.3,26.6,30.1,35.5,74,0.0,0.0,19.1,39.6,49,999.0,24.56,5.75
2024-05-02,33.5,25.1,29.3,33.4,71,0.0,0.0,21.3,43.9,6,998.7,25.46,6.05
2024-05-03,33.5,24.5,29.0,32.5,69,0.0,0.0,24.2,49.3,41,999.9,25.72,6.23
2024-05-04,32.8,24.5,28.7,33.0,76,0.0,0.0,22.7,46.4,11,1000.8,25.49,5.76
2024-05-05,32.6,26.0,29.5,34.2,76,0.2,0.2,21.9,46.1,53,999.7,22.58,5.35
2024-05-06,33.2,25.6,29.8,34.8,75,0.0,0.0,23.4,47.9,11,1000.2,25.39,5.88
2024-05-07,32.9,26.4,29.7,34.5,73,0.0,0.0,21.0,43.9,11,1001.3,25.12,5.83
2024-05-08,33.5,26.1,29.8,34.2,72,0.0,0.0,23.3,47.2,29,1000.6,25.12,6.01
2024-05-09,34.0,26.5,30.0,34.6,74,0.0,0.0,24.1,49.0,27,999.6,25.67,6.06
2024-05-10,34.0,25.7,30.0,34.7,75,0.0,0.0,24.8,50.4,15,1000.5,22.81,5.56
2024-05-11,34.3,26.3,30.3,35.0,74,0.0,0.0,26.8,53.3,18,1001.0,24.72,5.99
2024-05-12,34.7,28.3,31.1,36.1,73,0.1,0.1,25.5,51.5,43,1000.9,22.18,5.68
2024-05-13,34.0,27.6,31.1,36.3,70,0.0,0.0,24.3,46.4,29,1000.1,23.16,5.74
