date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,38.1,23.8,30.5,29.7,32,0.0,0.0,17.5,33.8,76,1003.2,22.69,7.07
2024-04-02,37.5,23.3,30.4,28.8,25,0.0,0.0,13.9,27.0,81,1001.8,19.68,6.41
2024-04-03,37.3,23.8,30.8,29.6,28,0.0,0.0,13.7,29.2,90,1002.6,23.52,7.51
2024-04-04,37.5,25.4,31.1,30.5,32,0.0,0.0,12.9,26.6,97,1003.4,19.66,6.4
2024-04-05,37.5,24.7,31.1,30.2,33,0.0,0.0,20.5,41.0,91,1003.4,21.91,7.74
2024-04-06,37.9,26.7,31.8,30.1,26,0.0,0.0,17.7,34.2,37,1002.4,24.74,8.56
2024-04-07,38.8,24.3,31.1,29.3,23,0.0,0.0,14.3,26.6,1,1001.2,25.51,7.98
2024-04-08,40.1,24.7,32.4,31.4,28,0.0,0.0,15.3,26.3,0,1001.6,25.59,7.69
2024-04-09,41.0,23.5,32.6,31.5,23,0.0,0.0,10.0,21.6,3,1001.3,25.47,7.17
2024-04-10,40.0,25.6,33.3,31.9,22,0.0,0.0,10.7,21.6,55,1001.2,21.67,6.62
2024-04-11,40.5,25.6,33.3,33.0,28,0.0,0.0,16.6,29.5,32,1001.9,23.67,7.08
2024-04-12,38.9,25.7,31.6,30.9,30,0.0,0.0,14.0,28.8,8,1001.6,25.1,7.92
2024-04-13,38.7,23.2,31.0,31.9,41,0.0,0.0,14.7,26.6,38,1002.1,24.65,7.08
2024-04-14,39.5,27.0,32.7,34.7,43,0.2,0.2,20.1,35.6,77,1003.8,21.22,6.41
2024-04-15,40.8,27.1,33.6,34.3,36,0.0,0.0,18.6,33.5,57,1004.6,23.69,7.92
2024-04-16,41.3,27.5,34.2,33.6,27,0.0,0.0,15.1,27.4,28,1003.6,25.32,8.29
2024-04-17,42.9,27.6,35.4,34.6,24,0.0,0.0,17.5,29.5,36,1001.8,25.27,8.59
2024-04-18,41.6,28.5,34.8,33.8,25,0.0,0.0,18.8,36.7,38,1001.4,24.44,8.8
