date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,30.2,16.9,23.4,21.8,44,0.0,0.0,18.9,35.6,70,982.9,21.59,6.0
2024-04-02,31.9,15.0,24.0,22.0,38,0.0,0.0,20.3,38.2,53,981.6,23.19,6.64
2024-04-03,33.8,18.1,26.6,25.2,31,0.0,0.0,21.1,34.9,72,982.3,22.17,6.11
2024-04-04,35.0,19.5,27.7,26.1,30,0.0,0.0,16.8,26.6,66,982.3,22.55,6.85
2024-04-05,34.4,18.6,26.5,24.0,31,0.0,0.0,27.5,49.3,68,982.2,18.77,6.76
2024-04-06,33.6,17.9,25.6,23.1,28,0.0,0.0,18.6,34.9,2,982.1,24.02,7.1
2024-04-07,34.0,15.7,25.5,22.9,28,0.0,0.0,16.8,33.8,0,982.0,24.61,7.21
2024-04-08,35.2,16.8,26.8,24.3,24,0.0,0.0,17.8,31.7,4,983.0,23.99,7.17
2024-04-09,36.0,19.6,27.6,25.4,22,0.0,0.0,12.7,25.2,55,983.6,22.8,6.42
2024-04-10,36.3,20.1,28.1,26.2,25,0.0,0.0,17.7,34.6,13,983.7,23.02,6.74
2024-04-11,37.0,20.9,28.5,26.6,26,0.0,0.0,14.9,28.1,16,984.5,22.89,7.0
2024-04-12,37.2,21.7,30.0,28.0,23,0.0,0.0,14.4,23.4,48,983.8,23.1,7.13
2024-04-13,37.3,23.5,29.8,28.3,30,0.1,0.1,16.7,31.7,74,983.2,21.49,7.34
2024-04-14,33.3,22.7,27.0,26.7,45,0.1,0.1,16.5,31.3,93,985.5,14.5,5.0
2024-04-15,36.1,21.9,28.4,29.3,50,1.9,1.9,17.9,34.6,94,984.9,19.54,5.6
2024-04-16,34.6,22.2,28.6,27.8,40,0.0,0.0,20.3,37.8,57,984.1,23.81,7.61
2024-04-17,34.4,21.4,28.4,25.6,30,0.0,0.0,28.4,49.7,39,982.8,24.44,8.95
2024-04-18,36.6,21.9,29.9,28.4,27,0.0,0.0,23.2,33.5,59,981.2,23.13,7.18
2024-04-19,38.0,23.4,30.5,29.7,34,0.2,0.2,20.5,42.8,22,978.9,22.9,7.45
2024-04-20,35.9,20.9,29.1,27.2,30,0.0,0.0,22.6,38.9,34,978.5,22.34,7.85
2024-04-21,35.5,22.3,28.9,27.4,30,0.0,0.0,15.6,30.6,58,980.0,19.71,6.64
2024-04-22,36.3,23.0,29.8,28.0,28,0.0,0.0,17.6,33.5,32,980.6,22.25,7.48
2024-04-23,36.8,22.8,29.2,27.7,27,0.0,0.0,19.8,36.7,10,980.1,23.8,6.98
2024-04-24,36.4,20.1,28.9,27.4,30,0.0,0.0,19.3,37.4,0,980.1,24.48,7.5
2024-04-25,37.6,20.3,29.4,27.4,26,0.0,0.0,20.4,37.8,4,980.3,24.7,7.79
2024-04-26,38.8,22.7,30.6,29.2,27,0.0,0.0,21.8,52.6,26,979.2,22.83,7.32
2024-04-27,38.0,26.8,31.6,29.9,28,0.0,0.0,17.3,36.0,41,979.9,23.31,8.5
2024-04-28,36.8,22.6,30.0,28.7,30,0.0,0.0,15.3,31.7,66,981.0,22.66,7.0
2024-04-29,37.2,23.7,30.3,28.7,28,0.0,0.0,20.4,36.0,27,980.4,23.49,7.79
2024-04-30,35.5,21.7,28.4,26.5,29,0.0,0.0,17.7,33.8,0,979.4,25.25,7.72
2024-05-01,32.3,19.8,26.3,22.9,23,0.0,0.0,22.7,43.2,0,977.7,25.23,8.22
2024-05-02,34.3,18.3,26.6,24.3,29,0.0,0.0,18.1,36.7,19,978.9,24.96,7.45
2024-05-03,37.4,18.8,29.0,26.4,25,0.0,0.0,21.1,40.3,66,979.6,23.94,8.24
2024-05-04,39.6,25.4,31.8,29.8,21,0.0,0.0,14.2,29.5,47,979.3,22.63,7.62
2024-05-05,40.4,23.0,32.3,30.2,22,0.0,0.0,17.7,31.7,4,975.8,24.45,8.63
2024-05-06,40.1,24.1,32.9,31.0,23,0.0,0.0,23.8,41.8,9,977.8,23.36,8.87
2024-05-07,40.8,25.7,33.5,32.6,25,0.0,0.0,16.3,27.0,6,979.1,22.98,7.54
2024-05-08,39.5,27.0,32.7,33.1,39,0.0,0.0,21.2,37.8,14,979.6,22.04,7.68
2024-05-09,39.2,26.4,32.4,32.5,37,0.0,0.0,24.8,43.9,5,978.9,23.4,7.93
2024-05-10,39.9,26.1,31.8,32.9,42,0.0,0.0,24.5,60.8,17,979.8,22.71,7.26
2024-05-11,38.3,25.1,31.5,32.7,43,0.1,0.1,20.9,38.2,35,981.7,20.44,6.35
2024-05-12,38.6,26.1,32.0,32.5,38,0.0,0.0,16.8,33.1,27,981.6,21.32,6.95
2024-05-13,39.0,26.2,32.4,32.0,31,0.0,0.0,11.4,27.7,39,982.0,19.43,6.45
2024-05-14,40.1,23.2,32.5,30.5,21,0.0,0.0,19.1,36.7,11,982.3,24.02,8.38
2024-05-15,41.5,24.6,33.2,31.3,22,0.0,0.0,20.1,35.3,0,981.9,24.21,8.54
2024-05-16,42.0,24.8,33.9,32.0,19,0.0,0.0,15.9,27.4,0,981.2,24.19,8.34
2024-05-17,42.9,25.4,35.0,33.4,21,0.0,0.0,18.6,33.1,8,978.5,23.36,8.4
2024-05-18,43.3,26.3,35.6,34.3,23,0.0,0.0,19.1,36.0,8,976.1,23.61,8.62
2024-05-19,44.0,25.6,35.5,33.3,19,0.0,0.0,25.3,45.4,10,974.5,23.68,9.54
2024-05-20,43.4,26.6,35.5,33.9,20,0.0,0.0,21.6,38.9,26,975.3,22.79,8.42
2024-05-21,42.2,27.8,34.7,34.6,27,0.0,0.0,14.0,26.3,4,975.9,23.22,7.61
2024-05-22,40.9,29.4,35.1,35.8,35,0.0,0.0,20.8,43.9,7,976.2,22.22,8.34
2024-05-23,41.6,30.4,35.7,36.5,36,0.0,0.0,23.4,42.1,14,975.6,20.96,8.38
2024-05-24,40.8,30.2,35.1,36.3,37,0.0,0.0,20.1,38.5,3,975.6,22.42,7.82
2024-05-25,43.6,29.7,36.8,36.9,29,0.0,0.0,20.2,39.6,6,973.9,22.23,8.58
2024-05-26,45.5,27.7,37.0,35.7,20,0.0,0.0,23.6,42.1,0,972.2,24.38,8.85
2024-05-27,45.3,28.7,37.5,36.2,20,0.0,0.0,21.7,40.3,0,969.6,24.51,9.03
2024-05-28,44.7,27.6,36.7,34.6,15,0.0,0.0,15.5,31.0,0,967.9,24.98,8.66
2024-05-29,45.6,30.6,38.2,36.8,19,0.0,0.0,18.1,33.5,16,969.0,23.1,9.27
2024-05-30,45.5,31.6,37.9,35.9,19,0.0,0.0,22.7,41.0,3,972.2,24.02,10.21
2024-05-31,45.2,26.9,36.3,33.4,15,0.0,0.0,23.7,44.3,11,973.8,23.78,10.18
2024-06-01,43.8,30.9,36.8,34.4,19,0.0,0.0,20.5,42.1,59,975.5,15.39,8.94
2024-06-02,40.3,30.0,35.6,35.5,28,0.0,0.0,19.3,42.5,34,976.8,21.79,7.84
2024-06-03,43.4,29.1,36.1,35.4,27,0.0,0.0,15.8,32.4,10,975.7,23.3,8.88
2024-06-04,42.7,30.3,36.2,34.7,21,0.0,0.0,18.9,35.3,8,975.2,22.49,9.23
2024-06-05,40.3,28.8,35.4,34.6,26,0.1,0.1,23.7,46.8,15,976.4,21.86,8.65
2024-06-06,40.0,28.0,34.8,34.5,29,0.0,0.0,15.5,31.0,4,978.5,23.41,8.33
2024-06-07,41.6,27.6,34.4,34.2,32,0.0,0.0,23.0,42.8,7,976.5,23.31,8.87
2024-06-08,39.9,26.7,34.1,33.1,29,0.0,0.0,24.5,45.7,17,975.6,20.8,8.55
2024-06-09,41.6,27.9,34.3,32.9,25,0.0,0.0,19.4,37.8,1,975.3,24.16,8.85
2024-06-10,42.3,26.4,35.1,33.1,20,0.0,0.0,20.9,39.6,14,975.4,23.32,9.08
2024-06-11,42.6,27.7,35.3,33.8,22,0.0,0.0,18.9,34.9,12,974.8,23.29,8.7
2024-06-12,43.5,27.0,35.7,33.9,21,0.0,0.0,17.2,32.4,1,974.5,24.12,9.12
2024-06-13,44.0,29.7,36.9,35.1,22,0.0,0.0,25.4,46.8,6,973.6,23.5,10.59
2024-06-14,42.9,32.0,36.8,36.1,30,0.0,0.0,29.5,53.6,18,973.3,21.89,10.36
2024-06-15,42.7,31.7,37.2,36.5,28,0.0,0.0,26.5,49.3,4,973.4,22.82,10.24
2024-06-16,43.5,32.7,37.7,37.1,26,0.0,0.0,24.9,46.1,3,973.7,23.02,10.07
2024-06-17,43.6,32.9,38.6,38.1,27,0.0,0.0,26.3,48.6,6,973.7,22.72,10.8
2024-06-18,43.6,34.7,38.5,37.9,27,0.0,0.0,30.0,53.6,8,971.6,22.01,10.74
