date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,16.7,5.1,10.0,7.7,62,0.0,0.0,12.6,33.1,79,781.3,17.57,2.99
2024-04-02,17.1,4.7,10.8,8.7,62,0.0,0.0,12.9,35.3,32,781.0,23.9,3.95
2024-04-03,18.4,4.8,11.6,8.6,45,0.0,0.0,13.6,33.5,69,783.4,21.03,3.88
2024-04-04,18.5,5.4,12.6,9.5,36,0.1,0.1,11.5,30.2,25,784.3,24.13,4.46
2024-04-05,17.7,6.2,11.7,8.6,41,0.8,0.8,13.9,34.9,30,783.2,24.21,4.44
2024-04-06,18.8,4.4,11.8,8.5,39,0.0,0.0,18.1,44.3,0,782.7,25.17,4.7
2024-04-07,18.7,5.3,11.2,8.3,45,0.3,0.3,18.9,45.7,6,782.3,24.57,4.33
2024-04-08,18.8,4.6,12.2,8.8,35,0.0,0.0,16.7,43.9,4,784.3,25.35,4.67
2024-04-09,20.5,5.6,12.3,9.4,38,0.1,0.1,14.1,38.5,16,785.1,23.79,4.4
2024-04-10,20.4,5.7,12.8,10.0,39,0.0,0.0,11.5,32.0,31,785.8,24.38,4.54
2024-04-11,17.1,7.5,11.7,8.7,47,2.2,2.2,17.1,45.0,56,786.9,21.57,3.94
2024-04-12,20.8,6.4,13.9,10.8,38,0.0,0.0,15.3,38.9,30,786.8,25.23,4.91
2024-04-13,21.1,7.3,14.4,11.6,39,0.0,0.0,12.6,40.3,89,787.0,20.71,4.22
2024-04-14,17.6,9.5,12.0,10.0,69,9.1,9.1,13.4,38.5,95,787.6,11.14,2.13
2024-04-15,18.6,8.9,12.8,10.9,63,6.8,6.8,11.2,31.7,91,786.7,13.66,2.62
2024-04-16,19.0,7.0,13.0,11.2,64,4.9,4.9,14.3,38.2,43,785.6,23.28,4.1
2024-04-17,19.6,7.2,13.4,11.2,56,0.0,0.0,17.9,46.1,55,784.0,26.27,4.61
2024-04-18,18.7,7.6,13.3,11.2,56,1.3,1.3,15.0,37.8,44,783.8,20.68,3.74
2024-04-19,20.0,8.3,12.9,10.6,62,8.1,8.1,13.7,39.6,46,782.9,20.65,3.86
2024-04-20,19.1,6.8,12.0,9.8,60,3.5,3.5,10.4,30.6,27,781.2,21.65,3.86
2024-04-21,20.3,6.6,13.0,11.0,56,0.0,0.0,12.8,34.2,16,782.3,23.94,4.31
2024-04-22,19.5,6.9,12.1,10.0,57,6.5,6.5,10.9,32.0,38,782.8,22.62,3.93
2024-04-23,18.4,6.0,11.6,9.2,57,2.2,2.2,14.3,38.9,35,782.5,20.12,3.54
2024-04-24,18.5,6.2,11.8,9.7,56,1.9,1.9,9.5,27.7,22,782.2,22.09,3.83
2024-04-25,20.6,6.2,13.8,11.1,45,0.0,0.0,15.9,38.9,5,783.5,26.32,5.02
2024-04-26,22.2,8.1,15.4,12.6,40,0.1,0.1,13.8,36.0,44,783.9,25.81,5.21
2024-04-27,16.4,8.2,11.4,9.1,65,12.5,12.5,15.2,41.0,50,783.2,17.39,2.91
2024-04-28,19.4,7.1,13.3,11.0,49,1.1,1.1,11.2,29.2,65,784.2,23.04,4.22
2024-04-29,16.3,7.0,10.7,8.2,66,5.6,5.6,14.8,39.2,76,783.2,10.51,2.03
2024-04-30,19.7,5.2,12.3,9.9,53,0.0,0.0,13.8,36.0,7,781.5,26.77,4.81
2024-05-01,15.9,4.8,9.7,6.8,54,0.7,0.7,15.7,45.4,13,777.0,24.82,4.05
2024-05-02,18.0,4.0,12.5,9.9,45,0.0,0.0,14.7,38.2,1,780.4,27.45,4.78
2024-05-03,21.2,6.6,14.8,12.8,51,0.1,0.1,14.3,38.2,61,783.0,24.9,4.81
2024-05-04,22.0,13.2,17.3,14.6,38,1.0,1.0,14.3,41.0,45,786.0,24.81,5.36
2024-05-05,22.6,9.2,16.5,13.7,37,0.0,0.0,16.7,41.4,0,782.2,26.85,5.69
2024-05-06,23.8,9.4,17.1,15.1,41,3.8,3.8,11.3,29.9,16,783.9,23.27,4.67
2024-05-07,23.6,10.1,17.4,15.1,39,0.2,0.2,15.5,40.0,11,785.7,24.61,5.16
2024-05-08,22.2,10.4,17.6,15.4,43,0.0,0.0,17.7,45.0,18,785.9,24.5,4.97
2024-05-09,21.4,11.4,16.9,15.1,52,1.0,1.0,15.9,42.5,15,785.0,23.25,4.56
2024-05-10,22.1,10.9,17.6,15.6,48,0.0,0.0,20.5,55.1,49,786.1,21.71,4.57
2024-05-11,20.9,11.7,17.0,15.6,56,0.7,0.7,16.9,42.5,39,787.1,21.79,4.18
2024-05-12,19.7,9.4,14.4,13.2,65,3.9,3.9,9.6,29.2,35,786.0,20.32,3.68
2024-05-13,22.4,9.3,16.4,13.4,37,0.0,0.0,18.1,45.4,2,787.0,27.08,5.74
2024-05-14,23.7,9.3,17.8,14.9,30,0.0,0.0,16.5,41.0,1,787.8,27.11,5.82
2024-05-15,25.0,11.1,18.7,15.8,30,0.0,0.0,17.1,42.8,9,788.6,26.02,5.86
2024-05-16,25.3,10.9,19.2,16.5,33,0.0,0.0,17.1,43.9,3,788.9,26.65,6.05
2024-05-17,26.4,12.8,20.6,17.7,30,0.0,0.0,19.9,50.8,5,787.4,26.75,6.45
2024-05-18,27.1,13.4,20.6,17.7,31,0.0,0.0,21.2,52.6,1,785.4,26.79,6.62
2024-05-19,27.2,13.7,21.8,18.8,28,0.0,0.0,21.1,53.6,5,785.0,26.53,6.72
2024-05-20,25.8,13.9,21.1,18.6,30,0.9,0.9,15.2,43.2,17,785.2,23.68,5.63
2024-05-21,26.1,13.0,20.1,17.6,36,0.0,0.0,21.0,53.3,3,785.0,26.7,6.09
2024-05-22,25.3,12.7,20.2,18.6,44,0.2,0.2,16.9,42.8,9,785.7,24.32,5.33
2024-05-23,24.4,14.2,18.9,18.2,58,2.2,2.2,16.2,45.7,21,784.8,21.42,4.33
2024-05-24,24.4,13.3,19.3,18.4,57,2.5,2.5,18.8,49.7,15,784.8,22.85,4.74
2024-05-25,26.8,13.3,21.2,18.9,39,0.1,0.1,22.7,57.6,1,784.0,26.55,6.41
2024-05-26,28.2,13.0,22.2,19.4,29,0.0,0.0,20.4,51.8,0,783.3,27.65,6.86
2024-05-27,28.1,13.6,23.0,19.9,23,0.0,0.0,18.0,46.4,0,782.0,27.76,7.04
