date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,17.3,1.2,8.9,6.7,63,0.0,0.0,10.9,25.2,33,840.6,23.86,3.72
2024-04-02,18.4,1.0,9.4,7.2,66,0.3,0.3,8.6,21.2,56,838.7,22.38,3.71
2024-04-03,13.5,2.7,7.4,4.8,84,20.9,20.9,18.2,40.7,68,841.8,14.26,2.03
2024-04-04,15.0,1.9,8.1,6.4,80,0.6,0.6,10.1,22.0,90,845.2,20.89,3.05
2024-04-05,15.6,2.9,9.1,7.3,76,3.2,3.2,10.5,25.9,61,842.6,20.76,3.2
2024-04-06,17.4,1.2,9.5,7.3,62,0.0,0.0,9.9,23.4,20,842.1,23.85,3.8
2024-04-07,18.8,2.2,10.1,8.1,66,0.0,0.0,9.4,22.0,23,841.3,23.85,3.98
2024-04-08,19.4,1.7,10.4,8.2,58,0.0,0.0,8.6,18.4,0,842.9,24.89,4.19
2024-04-09,20.2,2.0,11.0,8.6,54,0.0,0.0,9.7,22.3,5,843.2,25.48,4.41
2024-04-10,20.6,3.4,12.2,10.2,58,0.6,0.6,9.2,20.9,93,844.4,21.63,3.89
2024-04-11,17.5,6.6,11.9,10.4,74,7.3,7.3,13.8,31.0,67,846.7,21.24,3.45
2024-04-12,18.3,3.7,12.1,10.4,70,0.0,0.0,10.4,23.8,58,846.3,19.32,3.27
2024-04-13,19.3,6.8,12.2,10.6,77,6.9,6.9,17.9,33.5,87,845.1,19.11,3.3
2024-04-14,14.4,7.5,9.8,8.0,90,42.8,42.8,14.8,28.8,99,845.5,10.93,1.71
2024-04-15,14.8,5.8,9.8,8.1,89,20.8,20.8,18.7,35.3,99,844.4,13.3,2.07
2024-04-16,19.1,6.0,11.2,9.9,79,14.9,14.9,11.6,25.2,35,844.2,24.01,3.87
2024-04-17,20.3,4.1,13.3,11.8,63,0.2,0.2,9.7,22.7,94,842.0,24.37,4.21
2024-04-18,18.3,8.7,13.0,11.9,74,9.1,9.1,13.1,27.7,99,841.0,12.76,2.36
2024-04-19,14.7,6.1,10.5,9.0,84,14.5,14.5,16.3,33.5,90,840.0,13.97,2.28
2024-04-20,18.1,5.4,11.8,10.9,80,2.9,2.9,10.1,29.2,87,840.6,20.16,3.38
2024-04-21,19.3,7.0,12.3,11.5,81,1.8,1.8,9.7,27.4,34,841.1,23.2,3.77
2024-04-22,19.3,8.0,12.8,12.1,79,0.0,0.0,8.2,23.4,63,841.9,23.43,3.89
2024-04-23,20.1,6.2,12.4,11.1,71,0.1,0.1,13.7,31.7,48,841.0,23.88,4.04
2024-04-24,20.1,5.5,12.7,11.6,72,0.0,0.0,10.7,29.5,63,841.0,22.7,3.9
2024-04-25,21.6,5.9,13.5,12.6,67,0.0,0.0,6.5,18.4,40,842.2,25.33,4.37
2024-04-26,21.6,6.7,13.4,12.4,73,5.1,5.1,15.2,28.1,86,841.7,19.61,3.58
2024-04-27,12.1,5.4,9.0,7.1,90,42.6,42.6,16.3,33.5,98,841.1,10.92,1.6
2024-04-28,13.1,4.4,8.3,6.2,92,48.8,48.8,18.2,46.1,91,841.8,16.04,2.1
2024-04-29,11.4,5.0,7.4,5.0,93,43.9,43.9,16.9,43.2,96,840.9,10.13,1.33
2024-04-30,16.2,3.3,7.5,5.4,86,22.1,21.9,24.2,46.1,64,840.3,21.15,3.09
2024-05-01,17.4,4.3,10.4,8.9,73,0.4,0.4,7.8,18.4,35,837.0,22.72,3.69
2024-05-02,20.5,2.9,12.5,11.2,63,0.0,0.0,6.5,18.7,8,839.0,27.27,4.63
2024-05-03,20.8,5.0,13.3,11.7,64,2.0,2.0,11.4,21.6,80,840.8,20.3,3.74
2024-05-04,17.4,8.4,12.7,11.7,80,18.4,18.4,10.5,29.5,67,844.6,18.62,3.03
2024-05-05,21.4,5.3,13.9,13.4,77,0.0,0.0,9.0,22.0,30,840.4,25.12,4.26
2024-05-06,23.1,6.7,15.0,14.4,71,0.0,0.0,9.0,21.2,15,840.8,25.2,4.58
2024-05-07,24.7,7.1,16.3,15.8,64,0.0,0.0,6.4,18.7,1,842.6,26.89,4.97
2024-05-08,25.3,7.1,16.5,15.8,62,0.0,0.0,10.1,21.6,18,842.1,26.68,5.04
2024-05-09,26.4,8.5,17.1,16.7,63,0.0,0.0,7.9,19.4,17,841.2,26.58,5.11
2024-05-10,25.9,8.8,17.1,16.6,66,0.0,0.0,9.4,24.1,57,843.2,22.85,4.45
2024-05-11,22.9,9.0,16.4,16.0,67,0.0,0.0,9.4,20.9,52,844.1,22.18,4.13
2024-05-12,18.7,9.0,13.2,12.4,84,12.6,12.6,19.1,41.4,58,844.3,17.93,2.95
