date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,35.2,23.6,28.6,26.5,30,0.0,0.0,20.3,41.8,26,937.6,25.3,8.18
2024-04-02,34.8,19.9,27.5,25.8,31,0.0,0.0,18.1,38.2,14,937.1,25.19,7.32
2024-04-03,35.3,21.9,28.3,26.4,27,0.0,0.0,14.3,31.3,26,938.9,25.26,7.44
2024-04-04,36.9,20.7,29.7,28.1,30,0.0,0.0,18.7,41.4,43,938.0,21.84,7.16
2024-04-05,36.3,24.7,30.2,28.4,26,0.0,0.0,16.3,37.4,29,937.5,25.24,8.16
2024-04-06,36.1,23.9,29.9,28.4,26,0.0,0.0,14.5,31.3,63,937.8,22.65,7.17
2024-04-07,34.1,21.7,27.2,25.2,36,0.4,0.4,29.8,56.5,68,938.8,22.14,7.55
2024-04-08,29.7,21.6,24.6,23.7,51,0.4,0.4,20.9,43.9,82,941.1,15.75,5.18
2024-04-09,33.7,20.7,26.6,25.6,40,0.0,0.0,14.6,29.5,58,941.2,24.42,6.73
2024-04-10,33.5,22.1,27.6,26.2,33,0.0,0.0,14.3,34.2,86,941.1,20.91,6.39
2024-04-11,29.5,21.4,25.3,24.7,44,0.2,0.2,14.3,33.5,82,942.0,15.83,4.74
2024-04-12,32.7,18.4,26.1,25.6,44,0.0,0.0,14.3,29.5,68,941.2,23.4,6.11
2024-04-13,33.5,20.3,27.2,26.7,40,0.0,0.0,13.2,30.2,56,940.9,21.89,5.98
2024-04-14,34.9,21.6,28.3,28.1,37,0.0,0.0,11.1,24.5,40,941.1,23.04,6.06
2024-04-15,36.2,22.7,29.5,29.4,37,0.0,0.0,13.2,31.7,23,940.7,23.78,6.58
2024-04-16,35.9,24.4,30.2,29.4,34,0.0,0.0,19.0,41.8,10,939.1,24.63,7.71
2024-04-17,36.0,24.2,29.9,28.4,30,0.0,0.0,22.5,48.2,1,937.5,25.9,8.32
2024-04-18,36.0,23.8,29.7,27.2,25,0.0,0.0,24.2,52.2,10,937.2,26.39,8.9
2024-04-19,38.0,24.9,31.6,28.6,22,0.0,0.0,28.5,58.7,18,935.2,26.22,10.01
2024-04-20,39.0,26.9,32.8,30.1,21,0.0,0.0,23.5,51.1,3,934.8,25.93,10.19
2024-04-21,38.5,26.0,32.3,29.5,21,0.0,0.0,24.5,52.9,46,935.9,24.87,9.66
2024-04-22,32.8,24.5,27.9,25.6,35,1.4,1.4,28.3,58.7,78,937.7,12.22,6.24
2024-04-23,35.3,24.5,29.3,27.9,35,0.1,0.1,25.2,55.4,56,936.9,22.33,7.82
2024-04-24,36.5,23.5,30.3,28.2,26,0.0,0.0,20.6,45.4,12,936.4,25.83,8.64
2024-04-25,37.4,23.3,30.3,28.0,22,0.0,0.0,21.0,43.2,2,936.8,26.19,8.41
2024-04-26,38.4,23.8,31.4,29.1,20,0.0,0.0,21.9,47.2,5,936.5,25.95,8.55
2024-04-27,38.1,25.7,32.0,29.8,23,0.0,0.0,20.0,43.2,37,937.2,25.18,9.23
2024-04-28,38.2,26.6,32.0,30.4,29,0.0,0.0,19.3,42.5,32,937.5,23.12,8.67
2024-04-29,38.3,25.7,32.3,30.8,29,0.0,0.0,23.0,49.3,10,937.9,25.69,9.1
2024-04-30,39.4,27.8,33.5,31.2,24,0.0,0.0,27.3,56.9,7,934.4,25.86,10.24
2024-05-01,37.5,26.0,31.8,29.1,21,0.0,0.0,27.9,58.3,20,933.0,22.51,8.81
2024-05-02,36.3,24.5,30.2,26.7,16,0.0,0.0,19.1,42.5,11,933.9,27.31,9.3
2024-05-03,36.4,22.5,29.4,26.4,17,0.0,0.0,14.5,31.3,4,936.4,27.47,8.42
2024-05-04,38.0,21.3,30.6,27.8,16,0.0,0.0,15.1,34.6,55,936.3,26.38,8.22
2024-05-05,38.9,24.6,31.9,29.2,16,0.0,0.0,16.0,36.4,32,933.8,27.05,8.47
2024-05-06,40.3,24.9,30.6,30.2,32,1.1,1.1,17.1,42.8,48,934.7,23.14,6.78
2024-05-07,34.6,21.1,26.3,28.2,66,2.8,2.8,21.1,49.7,44,938.3,22.79,5.53
2024-05-08,32.7,20.6,25.0,27.3,69,11.4,11.4,14.8,29.2,30,938.7,22.24,4.98
2024-05-09,29.5,20.7,24.2,25.8,69,12.0,12.0,14.4,41.4,41,937.6,15.85,3.71
2024-05-10,33.0,21.9,26.9,28.3,59,3.6,3.6,17.7,35.3,24,937.9,21.84,5.51
2024-05-11,34.9,21.8,26.0,28.4,72,18.3,18.3,16.3,41.8,42,938.6,19.62,4.8
2024-05-12,32.9,21.8,26.7,29.4,68,0.6,0.6,16.8,37.4,17,939.1,21.22,4.96
2024-05-13,34.2,22.9,27.9,30.0,60,0.0,0.0,13.3,31.0,40,939.1,23.55,5.81
2024-05-14,35.5,23.0,29.2,30.5,49,0.0,0.0,13.0,23.0,67,939.0,25.14,6.38
2024-05-15,34.8,22.7,28.8,30.8,57,6.7,6.7,16.3,32.0,74,940.0,23.12,6.1
2024-05-16,36.7,25.4,29.2,30.9,52,1.1,1.1,17.6,40.0,81,939.6,18.27,5.26
2024-05-17,35.5,25.8,29.9,30.7,47,0.1,0.1,17.6,36.0,95,938.1,14.93,5.39
2024-05-18,35.7,26.2,29.7,30.7,49,0.0,0.0,16.8,32.8,90,936.5,17.15,5.75
2024-05-19,35.5,24.2,29.3,30.8,54,0.7,0.7,18.8,40.3,23,934.5,23.23,6.42
2024-05-20,38.0,25.0,30.2,32.0,55,0.0,0.0,18.1,34.6,15,934.5,23.32,6.51
2024-05-21,37.2,24.2,29.3,31.7,58,0.0,0.0,23.0,51.1,9,934.7,23.79,6.21
2024-05-22,35.5,24.1,28.1,30.4,65,0.9,0.9,20.8,47.2,17,934.7,21.95,5.77
2024-05-23,33.0,23.0,27.3,30.4,71,0.7,0.7,14.6,31.7,32,933.9,20.83,5.07
2024-05-24,33.1,23.8,28.4,31.3,64,0.0,0.0,16.1,33.5,35,933.1,22.09,5.61
2024-05-25,35.7,23.8,30.0,33.3,59,0.3,0.3,11.5,29.2,26,931.6,23.66,5.9
2024-05-26,34.2,25.1,29.4,32.4,64,0.7,0.7,20.7,45.7,62,929.6,22.87,6.03
2024-05-27,34.2,25.0,29.5,31.9,61,2.0,2.0,22.4,50.8,82,928.0,21.07,5.9
2024-05-28,40.3,25.1,31.9,33.8,50,0.0,0.0,18.8,39.6,97,928.0,23.58,7.06
2024-05-29,42.6,27.4,34.3,34.6,36,0.0,0.0,21.0,40.0,59,929.4,24.4,7.92
2024-05-30,41.7,28.7,34.8,34.8,32,0.0,0.0,20.4,41.4,78,931.3,20.7,7.75
2024-05-31,37.2,26.4,31.2,34.0,57,6.9,6.9,20.4,42.1,62,933.4,21.87,6.34
2024-06-01,37.5,25.8,30.9,34.2,61,0.0,0.0,15.8,48.6,63,934.4,21.86,5.91
2024-06-02,38.5,26.3,30.8,33.6,59,0.9,0.9,19.1,41.8,54,935.2,23.84,6.38
2024-06-03,37.1,25.8,30.9,32.8,50,0.0,0.0,16.7,36.0,74,934.9,23.45,6.66
2024-06-04,37.9,25.8,31.4,32.8,45,0.0,0.0,15.8,35.6,15,935.0,24.27,7.02
2024-06-05,38.2,26.4,32.2,33.1,41,0.0,0.0,16.3,31.7,20,935.2,23.55,7.17
2024-06-06,37.4,26.8,31.7,33.1,46,0.1,0.1,19.9,44.3,16,935.8,23.1,6.94
2024-06-07,38.1,25.8,31.6,32.5,45,0.0,0.0,20.6,41.8,13,934.5,23.73,7.48
2024-06-08,38.1,26.4,32.2,33.1,44,0.0,0.0,19.2,37.8,37,933.3,24.37,7.8
2024-06-09,38.8,27.0,32.8,34.2,41,0.0,0.0,16.6,36.0,37,932.9,24.33,7.47
2024-06-10,38.5,28.1,33.0,34.7,43,0.3,0.3,15.9,33.8,25,933.2,23.38,7.22
2024-06-11,39.7,27.8,33.7,34.2,35,0.0,0.0,14.6,34.9,19,932.7,25.15,8.02
2024-06-12,40.0,26.8,33.0,34.3,43,0.0,0.0,15.7,35.6,34,932.7,23.69,7.42
2024-06-13,39.9,26.9,33.6,34.4,40,0.0,0.0,19.0,41.0,42,931.8,23.39,8.01
2024-06-14,40.0,28.2,33.5,34.2,41,0.1,0.1,24.9,53.3,62,931.5,24.91,8.92
2024-06-15,39.6,29.3,33.2,34.8,43,0.7,0.7,21.7,48.2,68,931.6,22.95,7.45
2024-06-16,39.3,27.3,31.7,33.7,51,1.2,1.2,20.9,46.1,91,932.9,22.22,7.06
2024-06-17,36.7,26.9,31.6,33.7,54,0.0,0.0,19.4,43.9,83,933.2,21.99,7.03
2024-06-18,38.4,27.7,32.2,34.3,52,0.6,0.6,22.8,47.5,92,931.6,21.69,7.16
2024-06-19,37.4,27.4,30.2,32.9,59,3.5,3.5,18.2,40.3,97,930.5,20.45,5.97
2024-06-20,33.4,24.8,27.9,31.4,72,5.9,5.9,24.1,48.2,98,931.4,19.05,4.74
2024-06-21,33.1,24.2,26.9,30.8,78,3.1,3.1,15.9,39.6,80,931.9,18.08,4.08
2024-06-22,32.6,23.3,27.4,31.6,77,0.3,0.3,14.7,32.4,64,931.4,23.08,5.21
2024-06-23,31.4,23.4,27.5,31.7,76,2.2,2.2,12.0,30.2,51,931.9,21.09,4.79
2024-06-24,33.4,24.3,28.6,32.7,72,1.5,1.5,15.3,31.0,59,931.4,22.62,5.28
2024-06-25,32.8,25.0,27.7,31.8,77,14.6,14.6,15.9,33.5,95,931.0,15.58,3.79
2024-06-26,32.9,24.1,28.5,32.8,72,0.4,0.4,16.1,34.6,81,931.5,23.88,5.64
2024-06-27,31.0,24.0,26.8,30.8,81,3.4,3.4,18.3,37.4,84,932.7,19.4,4.27
2024-06-28,31.3,23.6,27.1,31.7,80,3.0,3.0,12.0,24.8,98,931.2,20.12,4.38
2024-06-29,31.1,23.7,26.4,31.1,85,11.5,11.5,11.4,27.4,89,931.0,14.77,3.23
2024-06-30,29.2,23.4,25.2,29.3,89,21.4,21.4,15.0,31.3,99,931.2,11.4,2.48
2024-07-01,28.6,23.0,25.5,28.7,86,15.6,15.6,21.8,45.7,100,930.1,15.11,3.35
2024-07-02,25.6,22.9,23.9,27.1,93,29.3,29.3,18.7,38.2,100,929.2,7.49,1.58
2024-07-03,26.4,22.7,24.4,28.6,91,9.7,9.7,13.4,25.6,100,930.6,8.0,1.78
2024-07-04,28.6,22.9,24.9,28.5,89,20.7,20.7,16.5,36.0,99,931.9,15.09,3.12
2024-07-05,28.7,23.3,25.3,28.6,87,9.4,9.4,20.6,41.8,100,931.0,16.18,3.34
2024-07-06,30.0,23.3,25.9,29.5,85,7.0,7.0,20.9,41.4,100,930.9,21.16,4.36
2024-07-07,30.2,23.0,25.2,29.8,89,9.9,9.9,14.2,31.7,100,932.9,15.69,3.26
2024-07-08,29.8,23.3,26.4,30.4,82,1.5,1.5,14.0,32.0,45,933.4,23.92,5.04
2024-07-09,31.3,23.4,27.0,31.2,78,1.0,1.0,13.5,27.7,55,934.3,23.28,5.11
2024-07-10,31.2,23.9,26.7,31.1,82,4.9,4.9,14.8,34.9,93,934.9,21.65,4.56
2024-07-11,31.3,23.8,26.4,30.6,84,5.9,5.9,18.9,38.2,99,932.5,16.95,3.72
2024-07-12,28.7,23.4,25.0,29.6,91,26.5,26.5,14.5,26.6,95,930.4,12.23,2.51
2024-07-13,29.4,22.8,25.1,30.0,91,20.1,20.1,12.9,27.0,95,929.1,16.32,3.23
2024-07-14,30.0,22.9,25.5,30.1,89,7.2,7.2,16.8,32.8,84,928.7,19.68,3.99
2024-07-15,29.0,23.2,25.6,29.1,87,4.3,4.3,22.0,43.9,89,930.6,21.81,4.35
2024-07-16,28.2,23.2,25.2,28.8,90,5.1,5.1,18.9,39.6,99,931.5,18.44,3.55
2024-07-17,30.1,23.2,26.0,30.1,87,2.8,2.8,16.1,36.7,87,931.7,21.72,4.38
2024-07-18,30.3,23.7,26.6,30.5,82,0.3,0.3,17.5,37.8,74,930.7,21.86,4.7
2024-07-19,30.2,23.9,26.0,29.4,86,4.6,4.6,25.6,51.5,83,928.8,21.62,4.34
2024-07-20,29.0,23.3,25.2,28.1,89,7.6,7.6,23.5,50.0,100,928.3,20.43,3.89
2024-07-21,27.9,23.3,24.8,28.4,94,13.3,13.3,22.0,41.0,99,928.5,12.74,2.42
2024-07-22,29.7,23.7,25.6,30.2,89,9.5,9.5,12.1,27.4,96,929.1,16.66,3.41
2024-07-23,27.4,23.6,25.0,29.9,93,32.6,32.6,11.5,27.7,100,927.8,12.54,2.5
2024-07-24,28.8,23.2,25.2,30.0,91,19.2,19.2,14.0,31.0,95,925.3,13.94,2.89
2024-07-25,30.3,23.4,25.6,30.8,89,18.6,18.6,9.2,18.7,98,924.6,15.14,3.15
2024-07-26,30.5,22.7,25.6,30.2,89,25.5,25.5,14.5,29.2,97,925.6,17.96,3.68
2024-07-27,28.5,23.5,25.1,28.4,92,9.7,9.7,26.2,52.9,99,926.4,17.77,3.27
2024-07-28,29.2,23.4,25.5,29.2,90,3.6,3.6,20.4,42.8,95,928.4,19.81,3.85
2024-07-29,29.6,23.5,25.5,30.5,90,11.0,11.0,10.0,25.9,99,929.2,15.99,3.27
2024-07-30,29.7,22.8,25.3,30.4,90,12.1,12.1,9.9,19.1,100,930.8,14.53,3.04
2024-07-31,29.8,22.9,25.2,30.2,91,31.3,31.3,9.7,21.2,98,931.0,14.92,3.11
2024-08-01,29.3,22.8,24.6,29.2,92,34.8,34.8,10.8,26.3,99,929.4,13.76,2.78
2024-08-02,24.4,22.8,23.3,25.9,95,103.5,103.5,24.8,48.2,100,926.6,4.6,1.01
2024-08-03,24.9,22.5,23.1,24.8,95,41.6,41.6,29.3,56.9,100,929.5,7.16,1.37
2024-08-04,28.5,22.2,24.9,27.6,86,1.8,1.8,21.9,45.0,96,933.8,17.46,3.56
2024-08-05,29.2,22.6,25.1,29.1,86,18.5,18.5,14.3,27.0,99,934.2,19.6,4.01
2024-08-06,28.1,22.8,24.3,28.2,92,20.8,20.8,15.9,36.7,100,932.7,13.97,2.75
2024-08-07,28.5,22.1,24.2,28.6,92,18.3,18.3,12.4,28.4,99,932.0,15.34,3.03
2024-08-08,28.4,22.4,24.0,28.3,93,6.4,6.4,14.9,33.5,100,933.0,13.22,2.59
2024-08-09,28.5,22.6,24.6,28.8,91,13.9,13.9,15.6,31.7,99,934.3,15.42,3.03
2024-08-10,28.1,22.8,24.7,29.0,89,10.3,10.3,13.0,27.7,99,934.4,14.78,3.0
2024-08-11,28.7,21.9,24.5,28.6,89,18.7,18.7,12.6,28.1,100,933.6,14.93,3.08
2024-08-12,28.6,22.3,24.9,29.1,89,3.8,3.8,12.7,32.4,94,934.1,16.42,3.29
2024-08-13,28.9,22.7,24.9,29.9,90,26.4,26.4,9.5,25.2,100,934.9,15.35,3.15
2024-08-14,28.2,22.8,24.8,29.5,90,17.6,17.6,11.7,25.2,100,934.8,14.44,2.95
2024-08-15,29.0,22.6,24.8,29.3,89,5.6,5.6,11.8,27.0,100,933.8,14.35,2.97
2024-08-16,29.9,22.2,24.9,29.7,90,9.0,9.0,12.8,28.4,90,933.5,17.89,3.54
2024-08-17,30.0,21.5,25.0,29.6,88,9.3,9.3,11.3,26.3,70,934.6,21.06,4.24
2024-08-18,28.9,22.3,24.5,28.6,90,3.3,3.3,16.2,33.8,88,935.4,15.16,3.0
2024-08-19,27.8,21.7,24.3,28.3,89,15.3,15.3,13.1,29.2,92,934.4,16.05,3.15
2024-08-20,27.7,22.5,24.7,29.6,91,4.5,4.5,7.4,20.5,96,934.7,14.43,2.9
2024-08-21,29.8,22.5,24.8,29.8,90,18.3,18.3,8.1,22.0,77,935.8,15.78,3.19
2024-08-22,28.1,22.4,24.7,29.3,91,8.5,8.5,8.9,21.6,99,935.0,12.52,2.58
2024-08-23,25.4,22.5,23.6,27.4,94,18.9,18.9,13.5,28.4,100,934.3,6.86,1.45
2024-08-24,26.6,22.1,23.3,26.9,94,19.3,19.3,15.6,30.2,98,934.0,12.51,2.42
2024-08-25,27.7,22.1,24.2,27.7,88,2.0,2.0,14.8,30.2,93,933.1,16.82,3.33
2024-08-26,27.6,21.6,24.0,28.0,89,12.2,12.2,12.3,24.8,98,932.3,14.8,2.96
2024-08-27,25.8,21.8,23.5,27.3,92,16.4,16.4,11.7,24.5,100,934.1,9.67,1.97
2024-08-28,27.4,21.9,24.1,28.4,90,9.6,9.6,10.3,24.5,99,935.3,13.4,2.72
2024-08-29,28.9,21.4,24.6,28.9,88,4.0,4.0,10.7,27.4,64,934.7,21.88,4.26
2024-08-30,29.3,21.9,25.2,29.2,85,1.7,1.7,13.9,32.8,57,935.1,21.41,4.31
2024-08-31,29.4,22.8,25.5,29.0,85,1.0,1.0,18.3,38.2,75,934.7,21.29,4.29
2024-09-01,28.0,22.6,24.7,27.7,90,2.8,2.8,20.8,41.4,96,935.1,16.96,3.29
2024-09-02,28.2,22.5,24.4,27.8,90,2.4,2.4,17.4,38.5,93,935.9,18.53,3.52
2024-09-03,29.3,22.6,25.1,29.3,87,3.2,3.2,14.8,32.4,94,936.4,20.66,4.13
2024-09-04,28.5,22.3,24.6,29.2,90,11.6,11.6,9.7,23.4,97,934.4,15.38,3.07
2024-09-05,29.2,22.3,24.6,28.9,89,9.6,9.6,12.6,27.4,98,933.2,17.08,3.44
2024-09-06,28.6,21.4,24.8,29.3,88,3.3,3.3,11.9,25.9,97,934.4,17.33,3.44
2024-09-07,30.3,22.2,25.8,30.4,85,3.3,3.3,11.6,26.3,79,934.4,21.6,4.4
2024-09-08,28.7,21.7,24.9,29.0,89,7.4,7.4,14.3,33.8,93,933.8,17.88,3.52
2024-09-09,28.1,23.2,24.9,27.9,89,6.2,6.2,23.1,46.4,81,931.0,19.26,3.66
2024-09-10,28.1,22.9,24.6,27.8,92,6.0,6.0,22.6,44.3,100,930.4,15.33,2.86
2024-09-11,28.9,22.2,25.4,29.1,86,2.4,2.4,15.9,32.4,100,932.5,17.74,3.64
2024-09-12,29.3,23.0,25.6,29.8,86,2.8,2.8,14.9,30.2,97,934.0,19.23,3.93
2024-09-13,28.8,23.2,24.9,28.2,88,23.5,23.5,20.0,41.8,100,933.2,16.03,3.18
2024-09-14,23.8,22.4,23.0,24.8,95,20.0,20.0,27.3,53.3,100,931.4,3.64,0.85
2024-09-15,24.0,21.6,22.4,23.4,96,32.4,32.4,29.6,56.5,100,929.5,4.86,0.98
2024-09-16,22.9,21.4,22.1,23.7,98,66.3,66.3,32.0,59.4,100,927.2,3.62,0.72
2024-09-17,25.6,21.5,23.0,24.7,95,35.7,35.7,31.1,59.4,87,932.9,9.05,1.61
2024-09-18,28.3,21.2,23.9,26.8,85,0.0,0.0,16.3,34.6,52,935.1,19.74,3.92
2024-09-19,30.1,20.8,25.4,29.8,81,0.0,0.0,8.3,16.2,64,935.6,22.72,4.64
2024-09-20,30.1,22.7,25.5,30.1,85,3.4,3.4,9.5,23.0,33,936.0,20.4,4.12
2024-09-21,30.2,22.4,25.9,30.7,84,0.1,0.1,9.4,21.2,57,936.6,21.54,4.38
2024-09-22,30.0,22.7,26.0,30.2,82,0.0,0.0,12.2,29.5,73,935.7,21.54,4.39
2024-09-23,30.5,23.3,26.4,31.1,83,0.6,0.6,12.6,29.9,87,935.5,20.67,4.26
2024-09-24,28.4,22.2,24.7,28.4,89,13.3,13.3,15.6,35.6,99,934.7,16.26,3.25
2024-09-25,24.7,22.4,23.1,26.4,97,24.4,24.4,18.4,36.7,100,933.9,5.81,1.14
2024-09-26,25.4,21.9,23.1,26.0,95,22.6,22.6,20.5,40.3,100,934.7,7.85,1.52
2024-09-27,26.5,22.3,23.9,26.6,92,5.7,5.7,21.3,46.4,100,937.0,12.14,2.33
2024-09-28,28.7,22.9,25.2,28.6,85,1.0,1.0,18.9,38.5,100,938.5,17.41,3.54
2024-09-29,29.5,22.4,25.3,29.3,84,3.3,3.3,13.1,29.9,99,939.2,19.35,3.93
2024-09-30,29.7,22.5,25.8,29.8,82,1.1,1.1,13.0,29.2,65,938.4,19.21,3.98
2024-10-01,29.8,23.0,25.9,29.6,82,0.5,0.5,17.0,33.8,78,936.5,18.94,3.98
2024-10-02,29.0,21.9,25.3,28.3,81,0.0,0.0,16.7,35.6,100,935.8,18.57,3.93
2024-10-03,28.7,22.0,24.8,28.0,85,1.3,1.3,18.6,38.2,69,934.9,20.08,3.93
2024-10-04,29.1,22.0,24.8,28.0,82,0.8,0.8,18.0,37.1,83,936.0,19.89,4.07
2024-10-05,29.2,21.5,24.5,27.8,81,1.3,1.3,12.6,28.8,38,938.0,20.58,4.12
2024-10-06,28.6,19.9,24.3,28.1,80,0.8,0.8,6.0,13.7,31,940.3,19.47,3.87
2024-10-07,28.5,21.3,24.2,28.1,86,0.9,0.9,9.7,23.4,69,942.2,16.87,3.39
2024-10-08,28.3,21.4,23.8,27.8,88,5.6,5.6,8.5,25.2,61,942.1,15.36,3.06
2024-10-09,28.1,21.5,23.4,27.1,89,10.2,10.2,9.6,21.2,45,940.3,14.5,2.83
2024-10-10,29.0,21.0,24.0,27.5,84,1.8,1.8,11.8,22.3,24,939.4,18.69,3.77
