date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,36.1,20.4,28.1,28.9,48,0.0,0.0,13.5,24.8,15,913.3,26.63,6.41
2024-04-02,36.8,22.7,29.3,29.1,42,0.0,0.0,17.9,31.0,35,912.1,26.4,7.69
2024-04-03,36.7,21.7,29.0,28.4,40,0.0,0.0,18.1,34.9,5,912.7,27.0,7.89
2024-04-04,36.5,22.0,29.0,28.1,36,0.0,0.0,14.7,33.8,38,913.1,27.35,7.84
2024-04-05,37.5,22.3,29.4,28.1,33,0.0,0.0,20.0,39.2,98,912.7,26.91,8.15
2024-04-06,37.4,21.4,29.8,28.3,31,0.0,0.0,20.5,42.1,58,911.7,26.99,8.41
2024-04-07,37.1,22.4,29.6,28.1,31,0.0,0.0,17.9,36.0,56,911.6,27.18,8.31
2024-04-08,37.0,21.6,29.3,28.0,31,0.0,0.0,20.3,36.7,33,912.3,27.33,8.15
2024-04-09,35.4,21.5,28.4,27.2,38,0.0,0.0,18.2,34.6,46,913.0,27.23,8.19
2024-04-10,35.6,20.7,28.3,27.6,45,0.0,0.0,18.1,34.9,53,913.0,27.34,7.98
2024-04-11,35.7,20.6,28.5,28.4,48,0.0,0.0,22.3,38.9,35,913.1,27.01,7.5
2024-04-12,34.7,21.9,27.6,28.4,59,0.1,0.1,21.4,37.8,79,913.0,22.81,6.46
2024-04-13,35.0,21.4,27.8,28.1,54,0.0,0.0,27.1,46.4,72,913.3,25.05,7.22
2024-04-14,35.3,20.7,28.0,27.7,45,0.0,0.0,19.1,38.5,69,913.8,26.87,7.67
2024-04-15,36.0,20.7,28.4,27.3,40,0.0,0.0,20.6,39.2,78,914.2,27.2,8.25
2024-04-16,36.3,19.9,28.6,27.9,41,0.0,0.0,18.6,36.4,62,913.2,27.04,7.77
2024-04-17,37.6,22.7,29.7,29.4,37,0.0,0.0,16.0,31.3,92,912.8,25.61,7.57
2024-04-18,37.8,22.9,30.4,30.4,38,0.0,0.0,17.1,32.4,63,911.9,24.35,7.33
