date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,32.6,26.2,29.5,35.7,79,1.3,1.3,15.5,34.2,36,1009.6,23.16,5.06
2024-04-02,31.9,25.0,28.0,34.1,85,19.4,19.4,16.0,33.5,74,1008.3,22.35,4.65
2024-04-03,31.0,25.2,28.1,34.3,86,11.2,11.2,15.9,33.1,87,1009.0,21.94,4.53
2024-04-04,32.0,25.5,28.3,34.5,85,31.1,31.1,18.9,36.7,71,1009.1,22.48,4.71
2024-04-05,31.0,24.3,28.2,34.2,85,4.6,4.6,15.5,32.0,92,1008.8,20.81,4.42
2024-04-06,33.5,26.8,29.8,36.1,80,0.0,0.0,19.6,40.0,73,1007.3,24.08,5.27
2024-04-07,32.3,25.7,29.0,35.3,84,9.7,9.7,18.4,37.4,54,1007.7,23.28,4.98
2024-04-08,33.2,25.1,29.0,35.1,83,24.9,24.9,19.8,37.8,80,1007.9,22.3,4.83
2024-04-09,32.4,25.8,28.8,34.9,82,1.9,1.9,19.9,38.5,80,1008.1,22.95,4.94
2024-04-10,32.8,26.5,29.4,35.3,79,0.9,0.9,21.1,41.4,52,1008.1,24.14,5.31
2024-04-11,32.5,26.1,28.7,34.6,81,18.4,18.4,19.8,39.2,78,1008.6,22.63,4.86
2024-04-12,32.7,25.4,28.2,34.0,83,16.0,16.0,13.3,33.1,91,1008.7,21.38,4.56
2024-04-13,32.0,25.7,28.3,34.5,84,9.6,9.6,17.1,31.7,93,1009.0,21.21,4.54
2024-04-14,32.2,25.2,28.7,34.9,84,3.7,3.7,16.8,35.6,78,1008.7,22.39,4.74
2024-04-15,34.2,26.0,30.1,36.0,77,0.0,0.0,19.3,38.9,70,1008.8,24.63,5.6
2024-04-16,32.5,25.2,28.9,34.8,81,2.6,2.6,17.4,34.6,90,1009.2,21.78,4.77
2024-04-17,31.7,26.0,28.9,35.3,83,0.8,0.8,15.9,32.8,80,1009.1,22.08,4.65
2024-04-18,32.4,26.5,28.6,35.4,87,2.8,2.8,14.1,31.3,91,1008.2,18.59,3.93
2024-04-19,31.6,26.2,28.5,34.8,85,4.7,4.7,13.9,28.4,98,1007.0,19.66,4.17
2024-04-20,33.0,26.3,29.3,36.0,85,4.2,4.2,15.5,32.8,81,1006.7,21.77,4.65
2024-04-21,33.1,25.0,29.3,35.6,82,18.3,18.3,17.5,34.2,79,1006.6,22.82,5.01
2024-04-22,32.2,25.5,28.9,35.0,84,5.4,5.4,15.8,34.6,63,1007.8,23.18,4.93
2024-04-23,33.5,25.9,29.6,36.3,83,1.6,1.6,18.8,36.4,58,1006.2,24.14,5.23
2024-04-24,32.0,25.9,29.1,35.5,83,0.6,0.6,15.3,32.4,71,1006.6,23.58,4.91
2024-04-25,33.1,26.4,29.6,36.2,82,3.1,3.1,17.0,34.6,55,1006.3,23.5,5.13
2024-04-26,33.8,25.9,29.6,36.1,81,16.7,16.7,17.9,36.7,69,1006.2,23.7,5.26
2024-04-27,33.7,26.0,29.9,36.3,80,1.8,1.8,19.9,39.6,71,1006.2,22.89,5.14
2024-04-28,32.7,26.1,29.8,36.3,82,3.3,3.3,19.7,39.2,89,1006.9,22.26,4.84
2024-04-29,33.5,26.1,30.1,37.3,83,1.7,1.7,18.2,37.8,92,1007.8,23.14,5.01
2024-04-30,32.5,24.9,28.3,34.1,84,13.8,13.8,16.3,31.7,100,1008.1,20.76,4.5
