date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,3.3,-7.7,-1.4,-5.6,34,0.0,0.0,12.6,32.0,46,674.0,27.62,3.4
2024-04-02,3.2,-8.6,-1.9,-6.2,36,0.0,0.0,13.0,29.9,54,672.8,27.87,3.49
2024-04-03,3.0,-8.0,-2.2,-6.4,45,0.0,0.0,11.9,28.1,58,673.2,26.52,3.28
2024-04-04,2.7,-7.6,-2.3,-6.3,46,0.0,0.0,11.9,26.3,69,676.5,26.12,3.27
2024-04-05,2.8,-3.9,-0.9,-4.7,48,0.1,0.0,10.9,29.9,83,676.0,23.38,3.09
2024-04-06,2.3,-5.4,-1.7,-5.2,50,0.0,0.0,8.7,23.0,38,676.9,24.3,3.06
2024-04-07,2.0,-5.8,-1.8,-5.5,49,0.0,0.0,10.7,34.9,58,676.5,25.41,3.15
2024-04-08,3.0,-7.1,-2.1,-5.8,46,0.7,0.0,12.3,29.5,15,678.5,28.62,3.51
2024-04-09,4.0,-7.0,-1.4,-5.0,37,0.0,0.0,11.4,26.6,0,679.6,29.06,3.73
2024-04-10,4.2,-5.6,-0.6,-4.2,38,0.0,0.0,9.7,25.2,33,680.2,28.72,3.7
2024-04-11,4.3,-3.4,0.8,-2.9,41,0.0,0.0,10.2,31.7,52,679.8,23.24,3.32
2024-04-12,5.1,-4.2,0.8,-2.5,51,0.0,0.0,10.0,28.1,46,681.4,27.91,3.65
2024-04-13,7.6,-2.2,3.0,-0.4,39,0.0,0.0,10.5,25.6,87,681.2,28.66,4.15
2024-04-14,9.8,1.2,5.6,2.1,45,0.2,0.0,12.1,34.6,91,681.2,22.77,3.62
2024-04-15,7.2,1.8,4.8,1.5,54,3.3,0.0,9.4,25.9,89,681.0,17.97,2.79
2024-04-16,5.8,-0.3,3.0,-0.3,56,2.5,0.0,10.8,27.0,55,679.2,22.99,3.25
2024-04-17,9.0,-1.8,4.4,1.5,37,0.0,0.0,8.1,23.8,73,680.0,28.79,4.34
2024-04-18,7.3,2.5,5.1,1.8,48,0.3,0.0,9.9,26.3,94,678.3,18.12,2.92
2024-04-19,9.0,0.4,4.6,1.7,50,0.0,0.0,9.4,35.3,78,677.9,28.16,4.2
2024-04-20,6.9,0.4,3.2,0.2,54,0.0,0.0,9.8,39.2,69,677.2,24.55,3.5
2024-04-21,7.2,-1.0,3.4,0.4,49,0.0,0.0,7.9,27.0,64,677.8,25.34,3.61
2024-04-22,7.1,-0.1,3.3,0.3,50,0.1,0.0,8.2,26.3,60,678.3,25.28,3.59
2024-04-23,7.6,-0.7,3.4,0.3,43,0.0,0.0,9.7,30.2,24,678.1,27.68,3.86
2024-04-24,7.7,-0.1,3.7,0.7,47,0.0,0.0,6.6,31.3,34,678.3,27.18,3.86
2024-04-25,9.1,-2.7,3.8,0.6,45,0.0,0.0,9.2,30.6,15,680.1,29.52,4.24
2024-04-26,9.3,-0.1,4.9,1.6,41,0.0,0.0,9.7,31.7,45,679.7,27.95,4.29
2024-04-27,7.2,1.1,4.5,0.8,43,0.3,0.0,9.7,29.2,86,677.5,19.81,3.19
