date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,36.4,23.0,29.5,26.6,22,0.0,0.0,17.0,33.1,74,954.4,24.25,8.61
2024-04-02,37.1,22.8,30.1,28.1,25,0.0,0.0,16.3,28.1,53,953.2,22.75,7.93
2024-04-03,37.7,23.1,30.3,28.5,24,0.0,0.0,16.7,33.1,75,953.9,24.55,7.68
2024-04-04,37.7,24.9,30.8,28.8,25,0.0,0.0,18.4,37.8,68,954.5,24.65,8.38
2024-04-05,37.2,24.4,30.4,28.9,28,0.0,0.0,15.6,32.8,72,954.3,24.45,7.98
2024-04-06,36.5,25.2,30.5,28.4,26,0.0,0.0,19.1,36.7,73,953.9,21.56,8.05
2024-04-07,34.0,21.9,27.5,27.0,38,1.5,1.5,15.3,36.7,42,953.5,20.2,5.73
2024-04-08,35.8,21.8,27.8,26.8,34,0.5,0.5,20.9,42.8,22,954.6,22.1,6.49
2024-04-09,36.0,21.1,27.8,27.6,43,0.3,0.3,18.9,40.0,28,955.6,22.24,6.36
2024-04-10,33.7,21.6,25.8,27.2,62,3.4,3.4,17.3,37.4,68,955.9,18.0,4.64
2024-04-11,33.4,20.6,25.2,27.0,65,2.9,2.9,22.3,45.4,64,956.3,18.67,4.51
2024-04-12,33.1,21.1,25.8,27.8,64,2.5,2.5,25.2,52.2,38,955.9,19.69,4.75
2024-04-13,35.1,21.6,27.3,28.5,55,0.0,0.0,18.4,37.8,50,955.2,21.58,5.74
2024-04-14,35.5,22.6,28.2,30.4,57,0.0,0.0,16.6,33.1,40,956.2,22.77,5.69
2024-04-15,36.4,23.0,29.5,31.0,49,0.0,0.0,17.6,36.0,32,956.9,23.54,6.47
2024-04-16,37.2,23.2,30.4,31.4,43,0.0,0.0,13.8,26.6,20,955.5,24.25,6.5
2024-04-17,37.8,24.7,30.9,30.2,31,0.0,0.0,14.1,29.2,15,954.4,25.51,7.63
2024-04-18,38.8,23.8,31.0,30.2,29,0.0,0.0,15.8,29.9,34,953.5,25.54,7.47
2024-04-19,38.8,25.2,32.3,30.8,27,0.0,0.0,19.6,35.6,11,952.4,25.15,8.82
2024-04-20,38.3,27.1,32.6,31.0,28,0.0,0.0,23.8,45.4,34,952.0,24.43,9.39
2024-04-21,37.3,25.5,31.6,29.7,26,0.0,0.0,19.0,36.7,76,953.1,23.86,8.56
2024-04-22,34.8,22.7,29.3,29.3,42,2.8,2.8,22.0,43.6,83,954.2,17.69,5.95
2024-04-23,37.5,24.4,30.6,29.8,36,0.0,0.0,21.4,42.8,3,952.7,24.58,8.07
2024-04-24,38.5,24.5,31.0,29.1,25,0.0,0.0,22.4,44.3,4,951.9,25.91,8.43
2024-04-25,38.4,24.4,31.6,29.8,26,0.0,0.0,19.5,43.6,11,952.5,23.66,8.6
2024-04-26,38.2,25.5,30.6,30.3,36,0.2,0.2,20.4,46.4,29,953.1,21.79,7.1
2024-04-27,37.4,24.1,30.2,31.2,41,0.7,0.7,12.9,31.0,72,953.3,22.6,6.0
2024-04-28,38.7,26.1,31.9,30.8,26,0.0,0.0,15.3,36.0,48,953.4,25.15,7.84
2024-04-29,39.3,26.7,33.0,30.8,24,0.0,0.0,19.4,38.5,38,953.6,22.38,9.02
2024-04-30,38.4,25.8,32.3,29.9,21,0.0,0.0,18.3,32.8,0,951.9,26.34,9.29
2024-05-01,38.1,25.4,31.6,28.2,16,0.0,0.0,19.5,37.8,0,949.4,27.08,9.82
2024-05-02,36.9,21.5,29.3,26.6,16,0.0,0.0,11.7,27.0,17,950.5,27.2,7.64
2024-05-03,38.9,20.9,30.4,28.2,18,0.0,0.0,13.0,25.2,38,951.9,27.07,7.48
2024-05-04,40.5,24.0,32.3,30.5,18,0.0,0.0,15.1,25.2,70,952.0,25.82,7.19
2024-05-05,40.2,28.5,33.9,31.7,23,0.0,0.0,22.4,40.3,75,950.4,24.37,10.09
2024-05-06,39.9,27.8,33.5,32.3,29,0.0,0.0,19.2,39.6,15,951.1,24.81,9.47
2024-05-07,41.4,27.5,34.4,33.1,24,0.0,0.0,16.9,30.2,13,951.6,25.16,8.86
2024-05-08,40.4,26.0,33.2,33.8,38,0.0,0.0,18.7,41.4,18,951.8,24.96,7.76
2024-05-09,41.5,28.0,34.1,33.5,30,0.0,0.0,21.5,42.8,19,950.4,22.34,8.24
2024-05-10,41.8,27.9,34.8,34.0,26,0.0,0.0,15.4,31.3,14,951.7,24.2,8.2
2024-05-11,40.6,28.1,33.8,33.5,28,0.0,0.0,14.6,34.6,29,953.6,21.42,6.84
