date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,33.8,24.4,28.3,31.3,68,0.0,0.0,20.0,42.1,41,1009.2,24.41,6.07
2024-04-02,33.2,21.3,27.3,30.7,72,0.0,0.0,19.0,38.9,58,1008.0,25.01,5.76
2024-04-03,33.4,21.5,27.1,30.1,70,0.0,0.0,20.6,43.2,30,1008.9,24.9,5.66
2024-04-04,32.9,22.2,27.6,30.6,71,0.0,0.0,21.4,45.7,52,1009.4,24.9,6.04
2024-04-05,35.4,23.2,29.2,31.2,62,0.0,0.0,26.7,52.9,46,1008.5,24.92,7.21
2024-04-06,36.8,25.8,31.0,30.9,44,0.0,0.0,28.4,55.1,19,1007.3,24.94,8.7
2024-04-07,36.5,25.8,30.0,30.1,47,0.0,0.0,26.0,52.2,2,1007.4,25.35,8.1
2024-04-08,33.4,21.9,27.7,30.8,67,0.0,0.0,19.8,42.5,0,1007.9,25.48,5.94
2024-04-09,34.2,21.7,27.7,31.6,74,0.0,0.0,19.0,42.1,26,1008.3,25.55,5.85
2024-04-10,33.4,23.3,27.6,31.7,77,0.0,0.0,20.2,43.2,15,1008.4,25.28,5.65
2024-04-11,33.5,22.6,27.8,31.5,73,0.0,0.0,18.8,40.3,19,1008.7,25.19,5.77
2024-04-12,33.8,23.2,27.7,30.5,67,0.0,0.0,17.6,38.9,21,1008.7,25.53,6.08
2024-04-13,31.5,22.6,26.7,30.1,73,0.0,0.0,17.7,40.0,17,1009.3,25.57,5.62
2024-04-14,32.6,21.7,27.3,31.5,79,0.0,0.0,23.8,46.1,11,1009.8,25.31,5.45
2024-04-15,36.3,24.4,31.0,35.0,65,0.0,0.0,21.7,42.8,8,1009.0,25.03,6.8
2024-04-16,41.3,27.8,34.0,36.1,47,0.0,0.0,21.6,41.0,22,1007.4,23.76,7.99
2024-04-17,33.8,27.9,30.8,35.3,66,0.0,0.0,18.2,40.3,25,1007.8,24.33,6.06
2024-04-18,34.3,27.1,30.5,35.9,73,0.0,0.0,21.3,46.4,44,1007.4,24.54,5.91
2024-04-19,35.7,26.5,30.9,34.8,64,0.0,0.0,26.7,51.5,17,1005.9,24.99,6.57
2024-04-20,35.7,26.1,30.5,33.2,59,0.0,0.0,27.0,52.9,13,1006.4,24.01,6.87
2024-04-21,34.0,24.3,29.6,32.0,61,0.0,0.0,26.0,51.5,19,1007.2,25.12,6.96
2024-04-22,34.3,25.8,29.7,32.9,66,0.0,0.0,24.4,49.7,23,1007.8,24.61,6.53
2024-04-23,34.4,24.3,29.2,32.5,68,0.0,0.0,23.5,49.0,2,1006.8,25.69,6.49
2024-04-24,33.9,23.8,29.0,33.1,72,0.0,0.0,22.3,45.4,7,1006.0,25.02,6.01
2024-04-25,34.4,24.7,29.4,32.8,68,0.0,0.0,25.5,51.1,9,1006.4,25.01,6.39
2024-04-26,35.2,25.7,30.1,33.6,65,0.0,0.0,22.1,46.8,15,1006.3,25.29,6.59
2024-04-27,36.1,26.1,31.0,34.0,60,0.0,0.0,23.4,47.2,11,1006.1,25.38,7.4
2024-04-28,39.4,27.1,33.0,34.4,47,0.0,0.0,27.2,53.3,1,1005.8,25.63,8.93
2024-04-29,38.2,26.8,32.6,33.4,44,0.0,0.0,26.6,53.6,12,1007.2,25.53,8.89
2024-04-30,37.6,25.8,31.8,34.0,53,0.0,0.0,27.0,54.0,2,1006.1,26.0,7.95
2024-05-01,34.5,25.1,29.5,32.8,64,0.0,0.0,20.0,42.8,15,1005.4,26.35,6.6
2024-05-02,33.4,24.3,28.7,32.6,69,0.0,0.0,20.5,42.8,1,1005.7,26.69,6.14
2024-05-03,33.2,23.3,28.0,32.6,77,0.0,0.0,20.2,42.8,10,1006.9,26.11,5.78
2024-05-04,33.2,24.1,28.8,33.9,80,0.0,0.0,21.9,41.0,41,1007.6,25.46,5.71
2024-05-05,34.7,24.9,29.8,34.7,74,0.0,0.0,23.5,48.2,4,1005.9,25.94,6.28
2024-05-06,33.2,25.5,29.2,34.4,78,0.0,0.0,20.7,44.6,7,1006.9,25.96,5.79
2024-05-07,33.4,25.5,29.3,34.5,77,0.0,0.0,20.4,42.1,15,1007.8,25.6,5.78
2024-05-08,33.0,26.5,29.6,34.5,74,0.0,0.0,24.4,46.8,15,1007.3,24.92,5.67
2024-05-09,32.9,26.3,29.6,35.1,77,0.0,0.0,20.3,43.9,20,1006.6,24.4,5.49
2024-05-10,33.2,26.2,29.5,34.7,76,0.0,0.0,19.9,42.8,12,1007.6,25.3,5.73
2024-05-11,33.6,26.3,29.7,35.0,78,0.0,0.0,23.9,50.0,12,1008.2,25.11,5.76
2024-05-12,33.9,27.1,30.3,35.4,75,0.0,0.0,22.4,46.4,18,1008.2,24.32,5.87
2024-05-13,34.8,27.5,30.4,35.9,73,1.8,1.8,22.5,52.9,18,1007.7,24.85,5.85
2024-05-14,37.6,27.5,31.3,35.5,64,0.0,0.0,23.7,49.3,4,1007.1,25.37,6.48
2024-05-15,36.0,26.7,31.3,36.4,69,0.0,0.0,21.1,39.2,3,1007.3,25.63,6.39
2024-05-16,38.9,27.2,32.3,37.9,66,0.1,0.1,18.1,42.8,16,1007.3,24.44,6.1
2024-05-17,36.3,28.3,31.5,36.8,67,0.0,0.0,17.3,38.5,30,1006.5,25.63,6.26
2024-05-18,34.7,27.7,31.1,38.1,79,0.0,0.0,17.3,40.0,9,1004.5,25.3,5.73
2024-05-19,34.1,26.5,30.8,37.2,77,5.6,5.6,19.3,41.0,25,1002.6,25.19,5.75
2024-05-20,35.1,29.1,31.5,37.5,74,0.0,0.0,21.2,45.0,58,1003.0,25.28,6.1
2024-05-21,35.4,28.5,31.7,38.0,75,0.1,0.1,21.9,43.9,69,1002.8,23.57,5.78
2024-05-22,34.5,28.9,31.4,37.8,77,0.3,0.3,18.7,41.0,58,1002.4,23.26,5.59
2024-05-23,34.2,28.0,31.0,37.4,78,0.0,0.0,24.2,46.8,22,1001.6,25.04,5.73
2024-05-24,34.7,28.1,30.9,36.9,76,0.2,0.2,18.4,41.4,24,1001.6,25.26,5.92
2024-05-25,33.7,28.6,30.8,36.0,73,0.7,0.7,19.4,42.1,64,1002.9,23.53,5.82
2024-05-26,33.4,29.1,31.1,35.3,69,0.5,0.5,21.3,45.7,80,1003.8,21.42,5.88
2024-05-27,33.6,29.3,30.8,35.2,72,0.5,0.5,21.3,43.9,88,1003.5,14.31,4.48
2024-05-28,33.7,28.9,31.1,35.4,70,0.6,0.6,21.3,45.7,88,1003.9,23.4,6.22
2024-05-29,34.0,29.2,31.4,34.8,64,0.4,0.4,23.4,49.0,63,1004.0,22.78,6.64
