date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,23.3,17.2,19.6,17.5,65,0.3,0.3,26.4,60.1,39,854.9,22.26,5.02
2024-04-02,23.3,14.9,18.8,17.0,61,0.0,0.0,22.9,52.9,5,855.1,24.83,5.24
2024-04-03,23.9,15.6,18.9,18.1,71,0.0,0.0,16.3,40.3,42,856.8,23.76,4.72
2024-04-04,25.4,15.4,20.1,19.1,67,0.0,0.0,21.5,50.0,47,856.8,24.01,5.14
2024-04-05,26.4,18.1,21.1,20.6,69,0.0,0.0,21.7,49.7,30,856.5,22.11,4.9
2024-04-06,25.5,18.5,21.4,20.0,63,0.5,0.5,24.7,65.2,31,856.5,23.85,5.53
2024-04-07,27.2,18.1,21.6,19.6,61,0.0,0.0,32.3,74.5,74,857.5,21.27,5.55
2024-04-08,26.6,14.6,20.2,18.7,55,0.0,0.0,19.3,45.0,79,859.5,17.54,4.51
2024-04-09,25.3,14.3,19.7,17.9,46,0.1,0.1,14.0,35.3,60,859.9,22.81,5.25
2024-04-10,25.5,14.2,19.3,17.2,41,0.0,0.0,11.6,29.5,71,860.3,19.56,4.57
2024-04-11,26.1,13.7,20.0,18.2,45,0.2,0.2,12.2,31.0,83,861.5,20.69,4.85
2024-04-12,25.6,14.5,19.4,18.3,56,4.1,4.1,16.4,33.5,76,860.9,22.32,4.79
2024-04-13,25.5,14.0,19.5,18.5,54,0.0,0.0,14.8,33.1,23,860.5,23.12,4.94
2024-04-14,25.9,14.2,19.1,18.7,63,13.6,13.6,12.3,30.6,52,860.5,18.92,3.91
2024-04-15,24.5,14.2,19.6,19.7,70,2.9,2.9,11.2,31.0,31,860.1,20.81,4.17
2024-04-16,24.1,16.0,19.7,19.9,75,1.3,1.3,16.0,41.4,74,858.1,17.7,3.61
2024-04-17,24.5,17.0,20.1,19.6,75,0.9,0.9,22.8,60.8,44,856.2,20.55,4.15
2024-04-18,26.0,15.0,20.0,19.9,67,1.1,1.1,14.2,36.7,33,856.0,23.91,4.83
2024-04-19,24.8,14.8,19.7,19.6,74,2.7,2.7,18.1,44.3,27,853.2,22.47,4.39
2024-04-20,26.0,17.3,21.4,21.3,69,5.6,5.6,26.3,59.4,38,852.7,21.84,4.81
