date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,24.6,16.2,19.6,20.6,83,2.2,2.2,17.7,54.4,33,891.7,17.28,3.33
2024-04-02,26.1,15.7,20.2,21.6,84,0.8,0.8,16.1,49.0,19,891.7,19.09,3.66
2024-04-03,28.1,15.3,20.8,21.7,75,0.1,0.1,13.6,41.8,19,893.0,20.79,4.3
2024-04-04,28.6,13.1,21.1,21.9,73,0.0,0.0,13.0,38.5,18,892.8,21.28,4.51
2024-04-05,29.6,14.9,21.7,23.4,77,2.6,2.6,11.8,42.5,29,892.0,21.09,4.44
2024-04-06,30.5,16.4,22.8,24.1,70,0.0,0.0,13.4,42.1,36,892.1,21.29,4.69
2024-04-07,27.5,13.9,19.9,21.4,81,4.4,4.4,10.6,36.4,50,892.3,19.69,3.78
2024-04-08,29.9,14.5,21.3,21.9,66,0.0,0.0,11.7,38.5,42,894.8,22.44,4.78
2024-04-09,30.0,12.1,21.3,21.4,58,0.0,0.0,9.7,30.2,70,894.7,22.68,4.77
2024-04-10,28.8,12.8,20.5,20.0,57,0.1,0.1,7.4,24.1,68,894.8,16.02,3.63
2024-04-11,30.6,10.9,21.5,20.7,51,0.0,0.0,11.2,34.2,64,895.7,23.59,5.39
2024-04-12,30.4,16.0,22.4,23.0,59,0.0,0.0,8.0,25.9,69,895.5,22.04,4.78
2024-04-13,30.6,14.4,22.4,22.3,54,0.0,0.0,12.2,36.0,32,895.2,24.36,5.39
2024-04-14,30.4,13.0,21.9,21.8,53,0.0,0.0,9.4,29.2,52,895.0,23.67,5.22
2024-04-15,30.9,13.2,22.2,22.6,58,0.0,0.0,11.3,33.8,27,894.7,22.7,5.04
2024-04-16,30.8,14.6,21.4,22.6,71,1.7,1.7,12.7,37.4,47,893.1,20.95,4.4
2024-04-17,28.1,14.7,21.4,22.3,72,0.6,0.6,14.9,47.2,35,891.8,16.97,3.79
2024-04-18,28.9,15.4,20.5,22.2,81,8.9,8.9,12.4,40.7,42,891.2,22.19,4.45
2024-04-19,27.2,15.1,20.6,21.9,81,1.2,1.2,16.5,50.8,55,888.9,16.94,3.52
2024-04-20,29.1,18.9,22.7,23.8,77,2.0,2.0,22.4,62.3,33,889.0,21.88,4.55
2024-04-21,28.5,19.5,22.5,24.2,80,5.7,5.7,18.8,55.4,61,890.5,20.49,4.15
2024-04-22,28.1,18.7,22.7,24.9,81,3.1,3.1,15.1,46.4,63,891.7,19.43,3.95
2024-04-23,29.0,17.0,22.6,24.4,74,0.0,0.0,11.5,39.2,61,891.3,18.96,4.04
2024-04-24,30.3,15.3,21.5,22.8,75,7.1,7.1,17.3,52.6,22,890.8,21.6,4.52
2024-04-25,31.0,15.6,21.8,22.7,73,0.4,0.4,14.2,41.4,25,891.1,22.3,4.99
2024-04-26,29.9,14.3,20.9,22.4,78,2.1,2.1,11.5,38.2,19,890.8,23.67,4.77
2024-04-27,30.8,14.1,22.1,23.1,71,4.4,4.4,13.0,38.5,33,891.1,21.46,4.78
2024-04-28,30.4,15.8,22.5,24.6,78,0.8,0.8,13.4,48.2,40,891.6,21.82,4.51
2024-04-29,29.9,16.9,22.6,24.5,78,5.4,5.4,13.8,43.9,33,892.1,21.72,4.55
2024-04-30,29.6,18.0,22.6,24.5,80,5.1,5.1,15.7,51.1,32,889.1,22.08,4.68
2024-05-01,27.4,17.9,20.9,22.6,84,17.1,17.1,17.7,53.3,36,888.0,16.3,3.18
2024-05-02,24.4,16.9,19.4,21.1,91,8.6,8.6,13.7,43.2,76,888.4,8.45,1.64
2024-05-03,29.0,14.8,21.5,23.2,77,5.4,5.4,10.3,32.0,33,891.7,24.75,4.94
2024-05-04,29.3,15.7,22.2,23.9,71,0.3,0.3,10.0,30.2,64,891.8,23.3,4.73
2024-05-05,27.9,15.8,19.3,20.8,86,11.9,11.9,14.7,43.6,78,890.1,18.14,3.58
2024-05-06,25.7,15.0,19.3,21.4,88,3.2,3.2,8.9,31.0,72,892.3,18.03,3.39
2024-05-07,27.1,15.3,20.8,22.5,74,0.4,0.4,9.0,29.5,80,894.3,24.35,4.71
2024-05-08,24.5,15.7,20.0,21.8,81,1.2,1.2,5.2,20.2,92,894.1,14.63,2.85
2024-05-09,27.7,14.9,21.0,22.8,76,0.0,0.0,9.3,28.8,71,893.1,24.63,4.84
2024-05-10,26.9,16.3,20.1,22.3,84,2.6,2.6,9.4,30.2,65,893.6,19.95,3.87
2024-05-11,27.5,14.7,20.7,22.8,80,0.2,0.2,6.7,22.3,27,894.5,22.58,4.42
2024-05-12,29.0,14.2,21.3,23.6,78,0.4,0.4,6.5,23.4,48,894.5,23.5,4.67
2024-05-13,29.3,16.4,22.5,24.7,73,0.0,0.0,7.6,25.2,41,894.2,22.64,4.65
2024-05-14,29.2,16.6,23.1,25.4,71,0.0,0.0,6.8,23.4,15,894.2,24.79,5.01
2024-05-15,31.3,18.2,24.5,27.0,67,0.0,0.0,6.9,23.0,16,895.2,24.73,5.18
2024-05-16,31.4,18.6,24.7,27.4,68,0.0,0.0,6.8,22.7,22,894.5,24.05,5.04
2024-05-17,30.5,19.1,24.6,27.0,68,0.5,0.5,10.5,32.8,38,893.2,24.51,5.2
2024-05-18,30.8,18.4,23.5,25.9,74,0.0,0.0,10.1,33.5,50,891.8,23.31,4.88
2024-05-19,28.5,17.0,21.7,24.3,83,5.4,5.4,6.6,24.8,77,890.5,18.1,3.59
2024-05-20,29.5,16.5,23.0,25.8,78,0.1,0.1,8.1,26.6,52,890.9,24.05,4.87
2024-05-21,30.7,17.8,22.2,25.3,85,9.3,9.3,10.8,30.2,52,890.9,21.48,4.19
2024-05-22,31.2,17.0,22.6,25.7,81,3.7,3.7,6.5,29.2,35,891.2,23.99,4.81
2024-05-23,32.2,17.5,23.7,26.6,77,2.4,2.4,7.7,25.2,47,889.9,23.98,4.95
2024-05-24,32.1,18.5,23.4,27.1,83,26.2,26.2,5.5,22.7,35,888.3,23.24,4.71
2024-05-25,32.8,19.5,23.9,27.5,82,15.4,15.4,7.7,37.1,49,887.2,21.52,4.4
2024-05-26,29.9,19.7,23.1,27.1,89,20.4,20.4,9.9,31.3,98,886.4,16.34,3.36
2024-05-27,27.8,19.2,22.5,25.1,87,19.9,19.9,16.9,67.7,100,884.1,10.64,2.47
2024-05-28,20.1,18.9,19.3,20.7,99,68.0,68.0,26.2,95.0,100,883.5,4.09,0.71
2024-05-29,27.5,19.0,22.9,25.0,84,7.3,7.3,19.0,54.7,83,887.9,20.93,3.96
2024-05-30,29.0,19.4,23.5,26.2,81,1.5,1.5,14.3,43.6,51,889.8,23.24,4.69
2024-05-31,29.4,18.3,22.5,25.6,85,2.3,2.3,11.8,36.7,46,890.2,22.96,4.49
2024-06-01,28.1,18.2,21.8,24.9,89,4.4,4.4,8.6,27.7,81,891.1,15.08,3.03
2024-06-02,30.1,17.4,23.2,26.2,80,0.4,0.4,10.6,31.0,44,892.0,24.81,5.08
2024-06-03,28.9,19.1,22.4,25.3,84,8.5,8.5,9.6,33.5,71,891.4,22.32,4.38
2024-06-04,26.4,18.6,21.6,24.4,87,3.3,3.3,10.5,32.0,79,891.3,17.04,3.28
2024-06-05,29.4,17.4,23.4,26.2,75,0.0,0.0,8.7,28.4,33,891.3,25.28,5.1
2024-06-06,29.0,18.1,23.2,26.2,79,0.9,0.9,10.1,31.7,33,891.3,23.26,4.66
2024-06-07,26.3,19.1,21.8,24.6,86,2.0,2.0,9.1,31.3,88,889.6,19.06,3.65
2024-06-08,27.2,18.7,21.8,24.5,86,11.7,11.7,10.7,34.2,81,889.2,17.38,3.32
2024-06-09,29.5,19.2,23.2,26.1,81,0.5,0.5,11.2,34.2,90,889.1,20.25,4.2
2024-06-10,28.8,20.5,24.0,27.2,79,1.6,1.6,10.9,31.3,73,889.5,23.69,4.73
2024-06-11,30.7,20.1,24.7,27.8,74,3.5,3.5,8.8,26.6,71,889.4,24.11,5.02
2024-06-12,27.4,20.1,22.3,25.4,87,11.4,11.4,10.0,31.0,96,889.6,17.01,3.33
2024-06-13,27.4,19.3,23.0,25.6,78,3.2,3.2,12.7,40.0,88,889.1,21.54,4.29
2024-06-14,29.0,19.5,22.9,25.4,81,3.3,3.3,11.5,36.7,98,888.4,20.29,4.12
2024-06-15,28.6,19.3,23.0,25.2,79,4.4,4.4,17.4,49.0,99,888.6,18.39,3.86
2024-06-16,27.8,19.9,22.8,25.4,83,3.9,3.9,13.1,41.8,98,889.8,16.79,3.4
2024-06-17,26.6,19.4,22.2,24.6,85,1.9,1.9,16.1,46.8,97,889.7,14.66,3.01
2024-06-18,25.4,19.4,21.8,23.7,86,2.2,2.2,18.8,51.5,99,888.2,14.12,2.79
2024-06-19,26.2,19.1,21.5,23.5,87,4.2,4.2,19.1,58.7,99,887.2,14.19,2.8
2024-06-20,28.3,18.5,22.0,25.3,88,2.4,2.4,7.3,22.3,94,887.9,14.74,3.0
2024-06-21,26.5,19.1,22.2,25.5,86,1.2,1.2,5.8,19.4,99,888.0,14.11,2.83
2024-06-22,29.3,19.1,23.6,26.5,78,0.5,0.5,7.1,23.4,97,888.1,20.24,4.14
2024-06-23,26.2,19.4,22.1,25.7,89,7.3,7.3,6.1,21.6,95,888.6,15.49,3.06
2024-06-24,26.1,19.8,22.3,25.7,89,7.5,7.5,5.6,21.6,100,888.1,15.23,3.01
2024-06-25,27.2,19.6,22.3,26.3,91,8.7,8.7,5.8,21.6,95,887.7,18.04,3.56
2024-06-26,27.1,19.7,22.3,26.2,91,6.3,6.3,6.6,28.4,100,887.9,16.7,3.25
2024-06-27,25.6,19.7,22.0,25.6,92,16.0,16.0,7.2,28.1,100,889.7,16.05,3.11
2024-06-28,27.6,19.3,22.1,24.9,87,9.9,9.9,13.1,42.8,100,888.9,16.3,3.25
2024-06-29,26.0,19.6,22.3,24.3,84,4.0,4.0,19.7,60.8,97,888.8,16.9,3.29
2024-06-30,24.3,20.0,21.6,23.4,89,11.9,11.9,18.7,56.5,100,888.3,12.93,2.42
2024-07-01,21.4,19.1,19.9,22.2,99,50.0,50.0,14.5,49.0,100,886.6,5.27,0.98
2024-07-02,22.3,18.9,20.1,22.7,97,34.0,34.0,11.5,39.6,100,885.8,7.76,1.43
2024-07-03,24.7,18.8,21.4,23.6,87,2.2,2.2,17.2,47.2,94,888.1,15.18,2.88
2024-07-04,25.5,18.8,21.8,24.2,85,1.7,1.7,13.2,42.5,100,890.2,18.7,3.5
2024-07-05,26.2,19.5,21.8,24.0,84,1.3,1.3,12.6,37.4,100,889.3,17.56,3.41
2024-07-06,26.8,18.6,21.5,24.4,88,10.4,10.4,10.4,38.2,100,888.9,17.71,3.4
2024-07-07,26.0,18.7,22.0,25.4,89,5.5,5.5,5.8,22.3,99,889.7,18.14,3.46
2024-07-08,27.2,18.9,22.0,25.2,88,28.9,28.9,8.3,24.8,100,890.3,16.05,3.18
2024-07-09,27.1,19.1,21.2,24.0,91,12.8,12.8,13.1,38.2,99,891.1,16.52,3.07
2024-07-10,25.4,19.1,21.0,23.5,92,10.2,10.2,11.0,36.0,97,891.4,13.8,2.62
2024-07-11,25.5,19.2,21.4,23.5,88,2.1,2.1,13.6,40.7,94,889.2,18.38,3.34
2024-07-12,25.4,19.3,21.8,23.9,84,3.8,3.8,15.6,43.9,90,887.5,20.08,3.77
2024-07-13,28.6,18.6,22.8,25.7,81,2.3,2.3,9.5,32.8,99,885.8,22.94,4.49
2024-07-14,28.2,18.7,23.2,26.9,83,1.3,1.3,4.5,16.9,94,886.1,21.57,4.24
