date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,24.7,13.1,18.4,18.1,70,0.7,0.7,24.9,69.1,29,853.2,21.57,4.31
2024-04-02,24.9,11.3,17.8,17.5,70,0.0,0.0,11.8,32.8,20,853.8,22.28,4.35
2024-04-03,23.2,11.4,17.1,17.5,79,1.1,1.1,10.0,32.4,33,855.4,21.92,4.04
2024-04-04,23.9,11.5,17.6,18.2,80,1.8,1.8,11.7,33.8,60,855.5,22.01,4.08
2024-04-05,24.1,12.9,18.1,19.3,82,6.4,6.4,11.3,43.9,35,854.9,22.0,4.08
2024-04-06,26.8,14.4,19.7,20.0,68,0.4,0.4,10.6,32.0,25,854.8,23.32,4.67
2024-04-07,26.3,15.8,20.0,19.8,64,0.0,0.0,16.9,55.4,42,855.9,20.85,4.45
2024-04-08,26.1,12.7,18.8,18.7,66,0.1,0.1,10.9,35.3,52,858.1,21.56,4.33
2024-04-09,24.7,12.0,17.5,17.7,73,6.5,6.5,10.6,35.3,85,858.6,21.21,4.02
2024-04-10,23.8,11.7,16.9,16.9,75,9.6,9.6,9.1,31.3,70,858.8,17.75,3.44
2024-04-11,24.6,11.8,18.3,17.6,60,0.5,0.5,14.2,40.3,64,860.5,24.24,4.84
2024-04-12,22.6,13.9,17.8,18.8,81,21.7,21.7,9.1,31.0,78,860.0,20.99,3.87
2024-04-13,24.3,13.1,18.3,18.5,69,0.0,0.0,9.3,31.7,35,859.4,24.36,4.67
2024-04-14,25.7,14.0,19.4,19.6,62,0.2,0.2,8.7,28.8,47,859.8,24.8,4.87
2024-04-15,26.3,13.5,19.3,19.6,68,0.0,0.0,10.3,32.8,28,859.2,23.48,4.65
2024-04-16,25.5,14.4,18.9,19.8,78,3.1,3.1,10.8,34.6,77,857.3,20.51,3.94
2024-04-17,25.6,13.3,19.3,20.1,75,1.8,1.8,11.5,39.2,43,855.5,22.38,4.4
2024-04-18,25.3,13.5,19.0,20.1,79,6.0,6.0,13.5,40.0,33,855.2,24.14,4.53
2024-04-19,24.7,11.7,18.0,18.7,80,2.2,2.2,12.3,36.7,45,852.3,19.68,3.77
2024-04-20,19.0,14.7,16.7,18.3,96,79.9,79.9,9.5,32.8,99,851.7,7.6,1.46
2024-04-21,26.1,14.3,19.7,21.2,80,18.0,18.0,14.5,41.8,60,853.2,25.0,4.8
2024-04-22,25.7,15.7,20.0,21.1,76,0.6,0.6,10.5,34.6,36,854.6,24.06,4.7
2024-04-23,26.8,13.3,20.2,20.4,66,0.0,0.0,11.6,36.0,48,854.0,23.83,4.91
2024-04-24,25.8,15.5,20.0,19.9,66,1.5,1.5,17.1,56.9,34,853.9,23.29,4.75
2024-04-25,26.4,14.7,20.1,20.5,66,0.0,0.0,11.4,33.5,15,854.5,26.38,5.25
2024-04-26,26.0,13.7,19.5,20.1,70,0.3,0.3,9.6,32.0,12,854.6,25.59,4.98
2024-04-27,25.1,13.8,19.5,20.7,77,6.9,6.9,11.0,42.8,30,855.0,26.33,4.93
2024-04-28,27.4,15.6,20.5,21.3,73,0.4,0.4,14.1,44.6,51,854.9,22.18,4.49
2024-04-29,26.1,14.6,19.9,21.2,76,5.7,5.7,9.5,43.6,17,855.1,25.34,4.88
2024-04-30,26.1,14.2,19.7,20.8,77,4.1,4.1,12.3,49.7,18,852.0,24.92,4.82
2024-05-01,27.2,15.2,20.6,21.7,72,1.4,1.4,11.3,35.3,28,851.1,24.8,4.95
2024-05-02,26.2,15.0,20.1,20.4,66,1.6,1.6,15.2,34.6,62,852.5,22.74,4.58
2024-05-03,23.2,12.4,18.2,19.1,79,4.2,4.2,10.6,34.9,23,855.0,25.69,4.66
2024-05-04,24.3,12.5,18.4,19.3,79,4.0,4.0,11.7,38.2,46,855.5,24.53,4.57
2024-05-05,22.4,13.2,17.5,18.7,86,25.7,25.7,8.9,33.1,86,854.1,18.25,3.38
2024-05-06,20.0,13.8,16.4,17.6,92,29.6,29.6,7.9,32.4,87,856.8,11.82,2.11
2024-05-07,22.2,13.6,17.4,18.7,84,2.1,2.1,6.3,23.8,56,859.1,20.61,3.76
2024-05-08,23.2,13.6,18.3,19.5,80,8.2,8.2,7.3,28.8,64,858.6,21.56,3.97
2024-05-09,22.3,14.8,17.7,19.1,89,24.2,24.2,7.4,27.7,90,857.8,18.31,3.29
2024-05-10,22.5,13.3,17.1,18.5,88,34.3,34.3,9.0,29.5,80,857.7,18.94,3.4
2024-05-11,22.8,12.7,17.7,18.8,84,3.1,3.1,9.5,33.5,58,858.7,22.06,4.02
2024-05-12,24.3,13.1,18.7,20.5,85,3.5,3.5,8.2,29.2,35,859.2,23.31,4.31
2024-05-13,24.7,14.6,19.4,21.2,85,5.2,5.2,10.6,33.5,36,858.9,22.53,4.17
2024-05-14,24.6,15.7,20.2,22.4,84,3.0,3.0,7.9,27.4,40,858.9,25.05,4.72
2024-05-15,26.4,17.3,21.5,24.3,83,7.0,7.0,7.6,27.0,37,860.1,24.57,4.74
2024-05-16,25.1,16.0,20.9,23.8,87,8.0,8.0,8.4,28.8,36,859.2,23.75,4.48
2024-05-17,27.1,15.5,21.3,23.6,81,2.3,2.3,10.8,32.8,41,856.9,24.0,4.73
2024-05-18,25.0,16.0,19.8,22.1,88,3.9,3.9,10.0,38.5,68,855.8,17.49,3.33
2024-05-19,22.4,15.7,19.2,21.2,88,37.6,37.6,7.6,33.1,78,854.8,18.16,3.36
2024-05-20,24.3,16.1,19.6,21.6,86,5.7,5.7,8.8,27.0,71,855.8,18.05,3.45
