date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,37.9,25.1,30.9,34.3,61,0.2,0.2,19.3,35.3,24,1002.0,22.75,6.48
2024-04-02,37.9,26.0,30.9,35.5,70,0.0,0.0,19.2,32.0,5,1000.7,23.4,6.23
2024-04-03,37.0,25.1,30.7,36.0,74,0.0,0.0,16.9,29.5,46,1002.1,23.23,5.9
2024-04-04,37.2,25.7,30.9,36.4,75,0.0,0.0,16.8,33.1,26,1002.0,21.57,5.57
2024-04-05,41.2,25.9,32.2,37.1,66,0.0,0.0,19.5,32.8,9,1000.4,23.13,6.07
2024-04-06,39.5,25.7,31.6,37.0,70,0.0,0.0,19.1,32.4,25,1000.3,23.0,6.08
2024-04-07,38.1,25.0,30.1,35.2,74,16.7,16.7,15.9,30.6,32,1001.7,20.94,5.21
2024-04-08,33.1,24.3,27.6,30.0,65,0.0,0.0,25.3,48.6,30,1006.2,23.52,5.97
2024-04-09,36.0,24.2,29.0,30.8,55,0.0,0.0,25.0,42.1,37,1005.8,22.19,6.07
2024-04-10,36.1,22.9,29.1,32.2,59,0.1,0.1,8.9,19.8,28,1005.2,21.73,5.16
2024-04-11,28.9,22.6,26.2,28.5,72,0.1,0.1,25.8,47.9,65,1007.1,12.17,3.33
2024-04-12,33.3,22.1,27.3,30.0,67,0.0,0.0,14.9,28.4,47,1006.2,17.7,4.42
2024-04-13,36.3,22.5,29.4,32.2,57,0.0,0.0,11.6,21.6,25,1005.3,23.49,5.96
2024-04-14,37.3,24.0,30.6,34.4,59,0.0,0.0,11.5,18.7,18,1005.2,23.8,5.82
2024-04-15,38.8,25.0,31.5,35.1,58,0.0,0.0,16.7,28.4,21,1004.5,24.28,6.3
2024-04-16,39.9,26.2,32.8,37.2,59,0.0,0.0,15.2,24.8,9,1002.2,24.0,6.46
2024-04-17,40.9,27.0,33.5,37.1,55,0.0,0.0,15.8,30.2,5,1000.5,23.81,7.12
2024-04-18,41.2,26.9,33.1,36.3,54,0.0,0.0,16.6,28.4,16,999.9,25.55,6.9
2024-04-19,41.4,24.2,32.1,36.2,61,0.0,0.0,21.6,40.3,17,998.5,25.79,6.46
2024-04-20,39.3,26.5,32.3,37.3,69,0.0,0.0,20.3,37.8,48,998.0,23.8,6.61
2024-04-21,41.0,26.3,33.2,38.4,65,0.1,0.1,20.4,36.7,67,999.0,23.27,6.41
2024-04-22,39.9,27.6,33.6,36.4,50,1.0,1.0,23.6,39.2,58,1000.8,22.32,7.32
2024-04-23,39.5,26.9,32.8,34.6,43,0.0,0.0,17.8,34.9,20,1000.6,24.58,7.54
2024-04-24,40.0,27.0,32.2,35.3,56,1.0,1.0,28.9,49.7,19,1000.3,23.14,6.99
2024-04-25,41.3,25.7,32.8,36.7,58,0.0,0.0,17.7,31.7,8,1000.0,23.72,6.46
2024-04-26,40.3,27.2,32.7,38.2,68,1.7,1.7,19.3,31.7,7,999.8,24.34,6.42
2024-04-27,40.3,27.4,32.6,38.2,67,1.0,1.0,17.5,31.7,16,999.8,24.74,6.44
2024-04-28,40.6,27.2,33.3,37.9,60,0.4,0.4,15.6,32.0,6,1000.4,24.6,6.64
2024-04-29,40.8,27.2,33.2,38.3,64,0.0,0.0,17.6,33.1,12,1001.2,24.07,6.79
2024-04-30,41.4,27.8,33.5,37.5,55,0.0,0.0,22.0,42.5,12,997.9,24.31,7.32
2024-05-01,39.5,29.2,33.2,37.5,63,0.0,0.0,21.4,37.8,24,996.2,22.63,6.92
2024-05-02,38.4,28.2,32.4,37.4,71,0.0,0.0,23.0,42.1,5,996.5,23.64,6.71
2024-05-03,39.9,27.0,32.4,38.4,71,0.0,0.0,18.3,33.1,7,999.2,24.98,6.17
