date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,32.5,26.8,29.4,34.4,76,0.5,0.5,21.5,42.5,28,1008.9,24.78,5.63
2024-04-02,32.8,26.1,29.6,34.9,79,0.6,0.6,22.2,43.9,43,1007.2,24.99,5.59
2024-04-03,33.4,26.9,29.9,35.3,79,0.1,0.1,20.9,41.0,50,1007.9,25.37,5.71
2024-04-04,33.1,27.0,29.8,35.7,81,0.6,0.6,19.1,39.2,67,1008.2,24.93,5.44
2024-04-05,33.5,26.5,29.7,35.6,82,0.0,0.0,19.9,40.3,57,1007.6,25.7,5.59
2024-04-06,34.1,26.0,29.7,35.4,81,0.0,0.0,20.4,41.8,64,1006.6,25.12,5.65
2024-04-07,33.7,26.1,29.6,35.3,81,0.0,0.0,19.4,40.3,65,1006.3,26.01,5.71
2024-04-08,33.2,26.6,29.7,35.3,81,0.0,0.0,20.3,41.0,53,1007.7,25.35,5.54
2024-04-09,32.6,25.7,29.5,34.4,75,0.0,0.0,17.3,36.4,40,1008.7,25.65,5.84
2024-04-10,32.9,25.9,29.8,34.4,70,0.1,0.1,16.3,34.9,44,1008.8,24.7,5.88
2024-04-11,34.0,27.1,30.7,34.8,66,0.1,0.1,23.0,42.8,70,1008.8,24.41,6.36
2024-04-12,30.6,24.1,28.4,33.5,80,6.0,6.0,20.9,43.2,87,1009.1,21.92,4.8
2024-04-13,32.6,26.8,29.8,35.0,75,1.2,1.2,16.9,36.4,64,1008.9,22.27,5.19
2024-04-14,32.8,26.0,29.8,34.9,74,0.2,0.2,17.7,37.4,76,1009.3,25.12,5.73
2024-04-15,33.1,26.4,29.8,35.3,76,0.0,0.0,18.3,38.9,91,1009.7,25.44,5.72
2024-04-16,32.7,25.3,29.4,34.7,76,0.0,0.0,18.7,40.0,63,1008.8,25.69,5.74
2024-04-17,33.4,26.4,29.9,35.1,78,0.0,0.0,21.6,44.6,88,1007.7,25.45,5.78
2024-04-18,34.4,26.7,30.5,35.8,78,0.0,0.0,23.5,46.1,31,1006.3,24.98,5.86
2024-04-19,34.2,28.0,30.7,36.1,78,0.0,0.0,26.0,50.0,50,1004.8,25.69,5.98
2024-04-20,34.1,28.6,31.1,37.1,80,0.0,0.0,21.9,44.3,84,1004.7,24.15,5.61
2024-04-21,33.6,28.4,30.7,36.5,80,0.5,0.5,23.7,46.8,60,1005.6,24.81,5.66
2024-04-22,34.0,27.1,30.4,36.5,81,0.0,0.0,22.5,45.0,62,1006.2,25.58,5.68
2024-04-23,33.4,26.8,30.1,35.9,79,0.0,0.0,19.4,40.0,63,1005.8,25.27,5.72
2024-04-24,34.4,26.3,30.2,36.3,80,0.0,0.0,19.7,41.4,72,1005.5,25.0,5.57
2024-04-25,33.7,27.7,30.5,36.3,79,0.2,0.2,21.9,44.6,35,1005.7,24.64,5.62
2024-04-26,33.6,26.6,30.1,35.9,80,0.1,0.1,20.1,41.8,41,1005.6,24.36,5.55
2024-04-27,33.7,26.3,30.2,35.7,77,0.0,0.0,21.4,43.2,40,1005.7,25.35,5.86
2024-04-28,33.9,26.2,30.6,36.6,79,0.0,0.0,21.4,42.8,75,1006.1,24.61,5.66
2024-04-29,33.7,28.3,30.9,37.2,81,1.1,1.1,21.4,42.8,71,1007.1,24.12,5.47
2024-04-30,33.8,28.3,31.0,37.1,80,2.1,2.1,23.8,45.7,77,1005.8,23.31,5.45
2024-05-01,36.1,28.7,32.1,37.5,74,0.0,0.0,26.5,52.2,98,1003.2,25.4,6.53
2024-05-02,36.5,29.4,32.4,36.8,70,0.0,0.0,31.0,57.2,84,1003.4,25.22,7.08
2024-05-03,36.9,27.9,32.0,36.7,73,0.0,0.0,30.8,55.8,94,1004.3,24.47,6.73
2024-05-04,35.2,29.0,32.2,37.2,72,0.0,0.0,27.1,50.8,94,1004.9,24.01,6.55
2024-05-05,35.4,29.3,32.4,37.2,72,0.0,0.0,30.4,53.6,11,1003.7,24.0,6.67
2024-05-06,35.0,29.3,32.4,37.4,70,0.0,0.0,27.1,51.8,37,1004.3,23.73,6.56
2024-05-07,34.4,29.8,31.5,37.2,78,0.1,0.1,27.4,47.2,41,1006.1,22.94,5.73
2024-05-08,31.7,25.6,29.4,35.1,81,14.8,14.8,19.2,33.5,62,1006.9,22.4,4.97
2024-05-09,31.4,27.9,30.1,36.2,81,1.4,1.4,17.9,37.1,61,1005.8,21.15,4.67
2024-05-10,32.2,25.9,30.3,35.5,76,2.9,2.9,20.6,38.9,64,1006.7,21.2,5.16
2024-05-11,31.7,26.7,29.5,35.0,79,11.7,11.7,15.5,30.6,85,1007.6,17.32,4.09
2024-05-12,32.4,28.0,30.6,36.0,74,5.6,5.6,19.2,36.7,86,1007.3,18.41,4.71
2024-05-13,34.2,26.4,30.6,36.4,76,5.6,5.6,18.4,37.8,79,1006.4,20.71,4.79
2024-05-14,31.4,25.5,28.8,34.3,81,13.7,13.7,18.7,36.4,97,1006.6,14.46,3.38
2024-05-15,33.5,28.0,30.1,35.6,79,4.4,4.4,21.2,41.8,98,1006.8,16.93,4.23
2024-05-16,28.4,25.9,27.3,33.2,88,28.2,28.2,16.8,34.2,100,1007.5,6.12,1.49
2024-05-17,29.8,26.9,28.1,34.3,88,6.9,6.9,15.6,27.4,98,1006.2,11.47,2.54
2024-05-18,30.6,25.9,28.1,34.5,88,10.6,10.6,15.3,31.0,100,1004.6,14.13,3.02
2024-05-19,29.4,25.8,27.5,33.5,89,10.6,10.6,20.5,34.2,100,1003.1,12.06,2.56
2024-05-20,29.7,25.6,27.3,33.3,89,19.1,19.1,11.5,31.0,100,1002.8,10.53,2.33
2024-05-21,30.5,25.8,27.4,33.4,89,23.7,23.7,11.3,24.5,100,1002.4,12.14,2.61
2024-05-22,30.4,26.1,27.7,33.7,89,20.2,20.2,14.9,28.1,100,1001.2,11.76,2.57
2024-05-23,30.6,25.7,27.4,33.2,89,45.6,45.6,15.2,31.3,100,1000.6,10.9,2.42
2024-05-24,33.2,26.0,29.7,35.3,82,0.1,0.1,29.3,49.3,100,999.4,16.49,4.08
2024-05-25,33.7,27.8,29.6,35.1,79,3.6,3.6,19.9,33.8,100,999.5,11.62,3.14
2024-05-26,35.8,28.6,31.8,35.5,62,0.7,0.7,23.5,43.6,100,1000.2,19.99,6.07
2024-05-27,37.1,28.4,32.1,37.1,68,0.0,0.0,20.7,36.4,97,1000.3,23.5,6.45
2024-05-28,37.3,28.5,32.6,37.0,62,0.0,0.0,19.0,34.2,98,1001.0,23.88,6.79
2024-05-29,36.4,27.9,31.9,36.8,68,0.0,0.0,27.9,46.4,89,1000.9,24.27,6.51
2024-05-30,37.5,28.9,32.5,38.8,71,0.0,0.0,20.6,37.1,69,1001.1,24.27,6.22
2024-05-31,35.6,29.7,32.1,38.1,71,2.0,2.0,25.8,45.7,25,1001.6,23.44,6.09
2024-06-01,35.2,27.8,31.3,36.5,75,15.2,15.2,31.0,53.6,58,1002.5,23.48,5.91
2024-06-02,33.1,27.5,29.8,35.8,80,5.8,5.8,18.8,38.9,73,1004.5,21.79,4.9
2024-06-03,30.5,27.0,28.7,34.7,86,7.8,7.8,16.2,37.1,96,1005.2,10.92,2.59
2024-06-04,34.3,27.2,29.9,36.0,82,14.9,14.9,16.1,31.7,92,1005.6,15.46,3.75
2024-06-05,32.2,26.4,29.1,34.6,84,21.9,21.9,22.7,42.5,96,1006.2,15.45,3.55
2024-06-06,32.2,25.7,27.9,33.0,86,22.2,22.2,21.7,42.1,99,1007.0,12.25,2.88
2024-06-07,31.6,25.7,27.9,32.5,84,2.2,2.2,19.8,37.1,98,1005.7,13.12,3.15
2024-06-08,33.3,26.3,29.0,33.0,78,0.8,0.8,21.6,41.8,98,1005.0,16.38,4.35
2024-06-09,33.9,26.1,29.6,33.6,74,0.0,0.0,21.7,42.5,100,1004.6,19.34,5.14
2024-06-10,35.1,27.1,30.6,34.7,68,0.4,0.4,18.9,36.4,84,1004.5,22.74,5.99
2024-06-11,34.6,27.2,30.6,35.0,68,0.8,0.8,17.9,38.5,98,1004.6,22.18,5.78
2024-06-12,34.3,27.2,30.2,34.3,68,0.3,0.3,16.3,29.2,99,1005.9,15.08,4.37
2024-06-13,34.4,27.3,30.5,34.8,66,0.9,0.9,12.6,30.6,100,1005.7,18.98,5.14
2024-06-14,34.1,27.3,30.3,35.0,70,0.0,0.0,17.9,29.5,99,1004.5,18.13,4.72
2024-06-15,35.3,27.5,30.6,34.5,70,0.0,0.0,20.4,35.6,91,1003.8,18.6,5.27
2024-06-16,34.9,27.1,30.5,34.8,68,0.2,0.2,25.7,41.4,94,1004.2,22.58,5.84
2024-06-17,34.9,27.4,30.5,35.0,73,0.0,0.0,24.7,43.6,81,1004.5,22.82,5.88
2024-06-18,34.8,27.1,30.5,35.0,72,5.1,5.1,21.1,43.2,91,1004.4,20.08,5.28
2024-06-19,34.0,26.6,29.4,34.1,75,5.2,5.2,22.7,41.4,92,1003.6,18.84,4.63
2024-06-20,34.6,26.4,29.8,34.1,71,3.0,3.0,15.2,36.0,100,1003.7,18.29,4.87
2024-06-21,35.4,26.6,30.1,34.8,68,1.8,1.8,14.5,34.2,94,1003.4,23.28,5.64
2024-06-22,34.9,26.7,30.1,34.8,70,0.3,0.3,19.1,32.0,86,1001.6,19.8,5.12
2024-06-23,34.4,26.9,30.1,34.2,69,0.6,0.6,25.7,43.6,80,1000.9,22.63,5.91
2024-06-24,34.2,27.0,29.9,34.4,70,4.3,4.3,22.4,37.4,68,1000.8,22.88,5.72
2024-06-25,34.4,27.0,30.4,34.2,65,1.6,1.6,17.9,38.5,96,1000.7,21.05,5.78
2024-06-26,33.3,27.7,29.8,32.4,65,0.0,0.0,22.6,42.8,99,1001.1,9.26,4.27
