date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,28.5,15.8,20.8,19.8,55,0.0,0.0,13.8,28.1,70,980.3,21.03,4.88
2024-04-02,29.7,13.1,22.0,21.1,48,0.0,0.0,13.5,29.9,25,979.0,22.91,5.33
2024-04-03,32.5,15.0,23.7,23.4,49,0.0,0.0,13.1,16.9,64,979.6,20.98,4.89
2024-04-04,33.0,17.9,24.8,24.0,41,0.0,0.0,12.2,24.8,22,980.2,22.33,5.79
2024-04-05,32.2,16.0,23.3,22.1,44,0.0,0.0,15.5,32.4,8,979.8,22.92,5.92
2024-04-06,32.4,14.9,23.2,21.2,37,0.0,0.0,15.2,31.7,0,979.4,23.71,6.3
2024-04-07,32.6,14.2,23.4,21.6,39,0.0,0.0,19.1,36.7,0,979.1,23.63,6.33
2024-04-08,33.5,15.9,24.5,23.1,37,0.0,0.0,15.2,31.7,10,980.3,22.11,5.77
2024-04-09,34.1,15.9,25.0,23.7,35,0.0,0.0,12.5,23.4,46,981.1,23.42,6.01
2024-04-10,34.8,16.3,25.7,24.3,34,0.0,0.0,16.4,31.3,21,981.2,21.39,6.06
2024-04-11,34.4,18.7,26.5,25.1,32,0.0,0.0,13.2,31.7,39,982.7,23.21,6.38
2024-04-12,35.5,16.9,27.2,26.0,34,0.0,0.0,15.0,25.6,37,981.5,22.77,6.18
2024-04-13,34.3,20.5,26.3,25.2,41,0.7,0.7,21.7,41.0,89,981.5,18.33,6.02
2024-04-14,31.6,20.0,24.9,25.8,58,1.2,1.2,12.2,25.9,86,983.5,17.17,4.36
2024-04-15,31.4,19.9,24.4,25.8,67,12.5,12.5,27.4,54.7,82,982.5,15.05,3.75
2024-04-16,31.3,18.1,25.1,25.7,59,0.2,0.2,16.7,32.0,35,982.0,23.41,5.86
2024-04-17,32.6,16.8,24.9,24.0,46,0.0,0.0,18.8,37.1,61,980.1,24.28,6.37
2024-04-18,32.7,18.6,26.3,25.8,42,0.0,0.0,13.8,23.8,43,978.4,19.43,5.42
2024-04-19,34.0,21.2,26.7,25.8,45,5.4,5.4,23.1,46.4,30,976.0,19.12,6.27
2024-04-20,32.7,19.0,25.8,25.7,47,1.6,1.6,14.3,33.8,14,976.4,21.34,5.61
2024-04-21,34.6,19.1,26.9,25.7,39,0.0,0.0,20.1,47.2,8,977.4,23.64,7.02
2024-04-22,35.4,18.0,27.0,26.1,40,0.0,0.0,18.7,36.0,26,977.9,21.87,6.39
