date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,33.7,20.4,27.0,24.3,26,0.0,0.0,21.6,41.8,54,961.2,23.02,7.79
2024-04-02,34.6,18.5,27.0,24.5,22,0.0,0.0,15.8,31.7,37,959.8,23.49,6.75
2024-04-03,35.6,20.2,28.1,25.6,21,0.0,0.0,12.4,27.0,88,960.2,21.98,6.9
2024-04-04,35.2,22.3,28.5,26.1,23,0.0,0.0,19.7,36.0,91,960.7,19.15,6.55
2024-04-05,33.9,23.8,28.7,26.0,23,0.0,0.0,14.3,29.2,99,960.5,14.64,5.95
2024-04-06,34.3,22.3,28.2,26.0,24,0.5,0.5,18.4,35.6,50,960.2,19.11,6.18
2024-04-07,36.1,22.0,29.1,25.4,15,0.0,0.0,17.4,33.1,4,960.3,24.95,8.43
2024-04-08,37.4,20.2,28.5,25.4,15,0.0,0.0,13.0,30.2,6,961.2,24.34,7.12
2024-04-09,37.7,22.9,29.8,26.4,14,0.0,0.0,15.6,29.9,80,961.5,19.84,6.98
2024-04-10,36.0,23.5,29.4,26.4,19,0.1,0.1,24.2,53.3,55,962.0,21.18,7.7
2024-04-11,36.9,20.8,29.2,27.6,28,0.0,0.0,13.9,34.2,31,962.5,23.29,7.11
2024-04-12,36.7,23.1,30.4,28.0,22,0.0,0.0,16.6,31.3,38,961.9,22.62,7.87
2024-04-13,36.3,21.9,28.9,28.0,37,0.0,0.0,20.2,39.6,50,961.2,20.84,6.69
2024-04-14,35.5,23.2,28.2,28.0,40,0.8,0.8,19.1,33.8,69,963.0,19.09,5.87
2024-04-15,35.2,24.3,29.5,28.8,36,0.0,0.0,22.8,41.0,83,963.7,18.81,6.21
2024-04-16,36.1,24.2,30.1,28.5,31,0.0,0.0,15.8,31.7,26,962.9,24.06,8.03
2024-04-17,36.9,23.3,29.8,27.6,28,0.0,0.0,25.5,46.8,53,961.8,23.69,8.41
2024-04-18,38.9,23.3,30.5,27.9,25,0.5,0.5,32.6,57.2,47,960.2,22.69,8.82
2024-04-19,37.8,25.1,31.3,28.5,24,0.0,0.0,28.4,53.3,13,958.0,24.5,9.59
2024-04-20,35.7,23.2,29.6,27.0,22,0.0,0.0,17.3,35.6,55,957.8,23.93,8.12
2024-04-21,35.4,23.3,29.6,27.9,27,0.0,0.0,14.3,27.4,50,958.8,20.45,6.66
