date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,23.7,9.1,15.5,15.4,73,0.8,0.8,8.7,38.5,43,847.0,23.14,4.22
2024-04-02,22.9,9.7,15.7,15.6,74,1.8,1.8,7.0,34.9,61,847.6,21.49,3.93
2024-04-03,22.1,9.3,15.5,15.5,76,2.0,2.0,6.8,35.3,66,849.7,21.33,3.85
2024-04-04,23.0,9.9,15.8,15.9,79,1.1,1.1,6.6,32.8,85,849.8,22.05,4.03
2024-04-05,22.6,8.4,15.6,15.6,79,3.0,3.0,8.8,31.7,59,849.0,21.42,3.91
2024-04-06,24.4,10.1,16.6,15.7,57,0.0,0.0,6.4,24.8,52,849.1,22.65,4.34
2024-04-07,24.2,10.1,16.4,15.2,54,0.0,0.0,7.9,25.9,70,850.1,22.59,4.36
2024-04-08,23.6,9.0,15.1,13.8,60,0.6,0.6,9.3,41.8,37,852.2,24.49,4.52
2024-04-09,23.5,7.1,14.8,13.3,57,0.0,0.0,9.9,43.9,26,852.6,24.13,4.54
2024-04-10,23.0,8.1,15.0,13.4,53,0.1,0.1,8.7,32.0,31,853.5,23.88,4.5
2024-04-11,22.0,8.1,14.5,13.5,64,3.0,3.0,6.6,40.0,27,854.5,23.21,4.26
2024-04-12,22.1,7.8,14.7,14.0,71,1.2,1.2,8.3,38.9,53,853.8,21.16,3.88
2024-04-13,22.2,9.4,15.3,14.6,66,0.3,0.3,6.0,31.7,65,854.1,21.25,3.91
2024-04-14,23.6,9.7,16.2,15.8,66,2.2,2.2,6.2,31.7,40,854.5,20.87,3.93
2024-04-15,24.7,9.9,16.9,16.9,72,0.6,0.6,8.0,38.5,44,853.7,23.49,4.43
2024-04-16,23.6,8.8,16.0,16.3,82,2.4,2.4,6.8,33.5,84,851.0,19.61,3.66
2024-04-17,21.9,9.8,16.4,16.8,79,3.0,3.0,7.1,34.2,71,849.1,20.17,3.63
2024-04-18,19.8,10.3,15.6,16.5,91,44.1,44.1,5.7,29.2,91,849.3,15.65,2.76
2024-04-19,22.1,12.1,16.4,17.2,87,7.5,7.5,9.0,40.3,93,846.8,18.15,3.33
2024-04-20,24.0,11.0,17.0,18.1,85,3.4,3.4,7.9,37.8,69,845.7,21.87,4.01
2024-04-21,24.6,9.6,17.0,17.6,77,1.4,1.4,6.7,33.1,52,846.7,24.99,4.65
2024-04-22,24.4,10.9,17.3,17.7,74,1.2,1.2,6.3,31.3,73,848.4,22.18,4.16
2024-04-23,25.5,10.6,17.5,17.3,63,0.0,0.0,7.2,32.0,25,848.1,25.43,4.87
2024-04-24,25.6,9.7,17.1,16.0,55,0.0,0.0,8.4,33.8,18,847.7,25.42,4.98
2024-04-25,26.0,10.4,17.7,17.1,58,0.0,0.0,8.7,38.9,18,848.6,25.56,4.96
2024-04-26,25.2,10.5,17.3,17.1,65,1.3,1.3,7.9,40.0,29,848.7,24.49,4.65
2024-04-27,24.8,11.6,17.6,17.9,72,0.7,0.7,7.1,35.6,75,849.6,25.01,4.73
2024-04-28,25.4,10.4,18.0,18.1,68,0.3,0.3,6.9,33.1,31,848.6,24.6,4.7
2024-04-29,25.2,11.2,17.9,18.2,72,1.0,1.0,6.7,35.3,32,849.0,24.02,4.56
2024-04-30,25.4,12.3,18.0,18.3,70,1.9,1.9,7.2,35.3,36,846.1,24.46,4.67
2024-05-01,26.7,11.5,17.5,16.8,57,0.0,0.0,7.4,36.7,20,845.4,25.8,4.98
2024-05-02,24.6,9.3,17.0,15.0,39,0.0,0.0,8.0,32.8,10,845.8,26.2,5.19
2024-05-03,26.6,9.9,18.2,17.0,45,0.0,0.0,11.2,48.2,19,849.8,28.14,5.56
2024-05-04,23.1,12.1,17.1,16.6,62,1.7,1.7,6.6,34.9,76,850.7,20.83,3.94
2024-05-05,22.3,11.4,16.2,16.4,76,1.8,1.8,7.3,36.7,67,848.0,19.06,3.48
2024-05-06,21.0,11.9,15.6,16.2,85,6.6,6.6,9.1,41.0,74,850.9,18.6,3.2
2024-05-07,20.1,10.7,14.9,15.3,86,3.7,3.7,5.4,25.2,85,853.7,17.73,3.15
2024-05-08,20.6,10.3,15.7,15.7,77,1.5,1.5,7.2,27.7,85,853.6,14.92,2.81
2024-05-09,22.2,12.5,16.9,16.9,69,1.0,1.0,6.8,32.0,93,852.4,19.9,3.72
