date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,33.7,25.3,29.3,34.1,77,0.1,0.1,22.3,45.7,17,1008.6,24.89,5.76
2024-04-02,34.8,26.0,29.9,34.8,77,0.0,0.0,24.9,49.3,45,1006.9,25.59,6.01
2024-04-03,35.1,26.7,30.1,34.8,76,0.0,0.0,25.9,51.5,14,1007.5,25.42,6.13
2024-04-04,34.9,26.7,30.2,35.5,78,0.0,0.0,24.3,49.3,39,1007.8,25.81,6.05
2024-04-05,35.0,26.3,29.9,35.2,79,0.0,0.0,23.4,47.2,85,1007.2,25.62,5.92
2024-04-06,36.5,26.2,30.4,35.3,76,0.0,0.0,23.8,46.8,68,1006.1,25.7,6.37
2024-04-07,36.9,25.8,30.3,35.0,76,0.0,0.0,24.0,47.5,59,1005.8,26.32,6.48
2024-04-08,36.2,26.5,30.2,34.9,75,0.0,0.0,23.3,45.7,37,1007.4,26.29,6.44
2024-04-09,33.3,25.9,29.5,34.5,74,0.0,0.0,16.9,36.0,21,1008.7,25.92,5.89
2024-04-10,33.7,26.4,30.0,34.8,69,0.0,0.0,16.1,36.0,31,1008.7,24.98,5.88
2024-04-11,33.4,26.5,30.1,34.6,70,0.0,0.0,20.0,39.2,46,1009.0,25.15,6.07
2024-04-12,33.3,28.1,30.3,35.1,73,0.0,0.0,18.8,40.3,40,1008.8,24.65,5.89
2024-04-13,34.0,26.4,30.0,35.5,75,0.5,0.5,16.3,36.4,74,1008.8,25.01,5.76
2024-04-14,33.5,25.7,29.6,35.3,76,0.0,0.0,15.6,35.3,48,1009.3,25.77,5.73
2024-04-15,34.2,25.0,29.4,34.8,76,0.0,0.0,16.3,35.6,91,1009.7,25.97,5.89
2024-04-16,34.8,25.2,29.7,34.4,73,0.0,0.0,22.7,45.7,70,1008.5,26.05,6.3
2024-04-17,36.2,26.0,30.4,35.0,74,0.0,0.0,26.9,53.3,72,1007.2,25.14,6.25
2024-04-18,37.0,26.6,30.8,35.9,76,0.0,0.0,24.1,48.6,77,1005.9,25.24,6.24
2024-04-19,36.1,27.8,31.0,36.2,77,0.0,0.0,25.9,51.8,30,1004.5,25.69,6.24
2024-04-20,35.8,28.1,31.0,36.8,80,0.2,0.2,25.5,52.2,85,1004.4,24.24,5.76
2024-04-21,35.5,27.6,30.8,36.3,79,0.0,0.0,27.5,53.3,67,1005.3,24.63,5.9
2024-04-22,35.6,26.9,30.6,36.3,79,0.0,0.0,24.2,47.2,37,1006.0,25.96,6.09
2024-04-23,34.7,26.3,30.1,35.0,75,0.0,0.0,21.4,43.6,54,1005.6,25.91,6.23
2024-04-24,35.6,25.8,30.3,35.8,78,0.0,0.0,22.2,45.4,67,1005.1,25.7,6.07
2024-04-25,34.8,27.0,30.4,35.8,77,0.0,0.0,22.8,45.7,43,1005.4,25.35,6.02
2024-04-26,34.6,26.5,30.4,35.8,77,0.0,0.0,23.5,46.4,46,1005.3,25.69,6.11
2024-04-27,34.7,26.0,30.1,35.4,76,0.0,0.0,22.8,45.0,21,1005.5,25.93,6.1
2024-04-28,35.6,26.5,30.6,36.0,77,0.0,0.0,24.0,47.9,47,1005.7,25.65,6.14
2024-04-29,35.5,27.6,31.0,36.8,79,0.0,0.0,23.4,47.2,53,1006.7,25.32,5.99
2024-04-30,35.7,28.0,31.3,36.9,78,0.0,0.0,27.6,53.6,74,1005.3,25.47,6.19
2024-05-01,37.8,28.7,32.4,37.7,74,0.0,0.0,28.0,55.4,99,1002.7,25.57,6.76
2024-05-02,38.3,29.8,32.8,37.5,70,0.0,0.0,32.8,62.6,85,1002.8,25.08,7.11
2024-05-03,38.5,28.0,32.2,36.9,71,0.0,0.0,29.8,56.2,84,1003.8,24.23,6.79
2024-05-04,37.4,29.3,32.5,37.8,74,0.0,0.0,30.0,58.7,73,1004.4,24.16,6.58
2024-05-05,36.4,29.5,32.4,37.5,75,0.0,0.0,30.2,59.4,20,1003.2,24.01,6.51
2024-05-06,37.1,29.8,32.6,37.9,74,0.0,0.0,32.6,63.0,27,1003.9,24.11,6.59
2024-05-07,36.9,29.8,32.2,37.2,73,0.1,0.1,24.8,49.7,43,1005.9,23.29,6.37
2024-05-08,33.5,26.8,30.4,35.6,74,2.2,2.2,18.9,41.0,83,1006.5,21.84,5.23
2024-05-09,32.9,27.0,30.3,35.9,78,2.8,2.8,21.4,44.3,70,1005.7,21.77,5.11
2024-05-10,32.7,27.5,30.0,35.4,77,7.0,7.0,19.6,40.3,40,1006.5,21.0,4.95
2024-05-11,34.2,25.6,30.4,35.9,76,0.6,0.6,19.9,41.4,29,1007.3,20.82,5.14
2024-05-12,33.4,29.4,31.2,36.7,73,3.2,3.2,19.3,37.4,52,1007.0,19.45,4.97
2024-05-13,33.1,26.3,30.0,35.9,77,8.4,8.4,15.6,33.5,69,1006.5,21.27,4.91
2024-05-14,33.7,27.6,30.8,36.9,76,0.9,0.9,17.1,36.4,93,1006.2,20.09,4.77
2024-05-15,34.0,27.1,30.3,36.1,78,2.9,2.9,20.1,38.2,100,1006.8,19.82,4.85
2024-05-16,29.6,25.9,28.3,33.8,83,19.4,19.4,14.9,31.0,100,1007.5,12.38,2.81
2024-05-17,30.6,26.5,28.8,34.3,81,1.6,1.6,18.9,36.0,92,1006.0,14.47,3.38
2024-05-18,30.6,26.1,28.8,34.6,83,6.6,6.6,14.9,29.5,98,1004.6,14.37,3.33
2024-05-19,33.1,26.2,29.2,35.3,81,9.5,9.5,17.6,37.8,95,1002.9,20.26,4.47
2024-05-20,31.3,26.7,28.6,34.5,84,13.9,13.9,16.6,31.0,100,1002.7,11.26,2.8
2024-05-21,30.6,26.6,28.4,34.5,86,24.0,24.0,14.5,31.7,100,1002.2,13.15,2.9
2024-05-22,31.3,25.7,28.5,34.3,86,21.3,21.3,18.6,36.0,100,1000.9,10.18,2.49
2024-05-23,32.5,26.6,29.2,36.0,85,24.7,24.7,14.1,29.5,99,1000.0,17.99,4.01
2024-05-24,36.1,26.6,31.2,37.0,76,0.0,0.0,22.6,41.4,98,998.7,17.97,4.8
2024-05-25,36.1,27.5,30.8,35.5,71,16.6,16.6,18.8,46.1,100,998.7,12.73,3.96
2024-05-26,39.1,28.1,32.8,36.2,56,0.6,0.6,21.6,42.1,100,999.0,17.35,6.0
2024-05-27,40.9,30.4,34.8,37.7,47,0.1,0.1,23.5,44.6,95,999.0,24.11,8.19
2024-05-28,41.0,30.1,34.3,37.6,52,0.0,0.0,23.2,45.0,98,999.9,23.51,7.73
