date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,38.0,22.7,31.0,31.2,36,0.0,0.0,17.3,31.0,33,954.2,23.44,6.84
2024-04-02,37.7,23.9,30.9,31.9,41,0.0,0.0,10.6,24.1,51,952.7,21.9,5.96
2024-04-03,38.4,24.5,31.4,32.0,39,0.0,0.0,17.1,29.9,87,953.2,19.14,6.07
2024-04-04,38.8,23.6,31.4,32.4,41,0.0,0.0,14.2,32.0,43,953.6,21.51,6.34
2024-04-05,39.2,25.8,32.1,32.7,35,0.0,0.0,10.1,24.1,55,953.1,24.75,6.78
2024-04-06,38.7,26.4,32.2,32.0,31,0.0,0.0,13.1,24.8,56,952.2,22.82,7.16
2024-04-07,39.5,25.0,32.3,31.8,31,0.0,0.0,16.6,34.2,33,951.3,23.33,7.73
2024-04-08,37.3,25.8,31.1,30.8,39,0.0,0.0,22.8,40.7,28,953.4,23.56,8.13
2024-04-09,35.0,23.8,29.4,31.0,58,0.0,0.0,21.5,38.5,13,955.1,23.89,6.63
2024-04-10,35.6,24.2,30.1,30.5,45,0.0,0.0,18.4,38.9,21,954.9,22.26,7.07
2024-04-11,35.4,24.4,29.1,29.7,45,0.0,0.0,21.9,42.8,38,955.5,23.61,6.93
2024-04-12,31.2,23.7,27.8,30.1,63,6.3,6.3,17.3,37.8,33,955.5,20.6,5.23
2024-04-13,33.1,22.5,28.0,29.5,53,1.8,1.8,17.6,34.9,59,955.4,19.23,5.1
2024-04-14,36.6,23.8,30.0,31.6,48,0.0,0.0,13.0,27.7,20,955.5,23.89,6.5
2024-04-15,37.7,23.8,30.7,31.4,40,0.0,0.0,14.9,31.7,15,955.6,24.0,6.83
2024-04-16,37.8,24.4,31.3,31.9,37,0.0,0.0,13.4,25.6,32,954.5,24.78,7.1
2024-04-17,37.8,24.9,31.7,33.2,41,0.1,0.1,9.1,23.4,78,953.9,23.19,6.18
2024-04-18,38.6,26.4,32.1,34.0,42,0.0,0.0,11.2,21.2,27,952.8,22.98,5.97
2024-04-19,37.8,26.1,32.0,33.5,42,0.1,0.1,19.1,39.6,63,951.3,21.13,6.07
2024-04-20,36.4,25.8,30.0,31.9,52,0.5,0.5,17.1,30.6,84,952.1,17.21,5.18
2024-04-21,36.9,26.2,30.5,32.5,50,1.7,1.7,22.8,42.5,89,952.1,20.8,5.95
2024-04-22,37.0,25.7,30.9,32.2,44,0.0,0.0,23.1,43.9,34,953.0,22.47,6.41
2024-04-23,39.0,23.4,30.4,31.8,44,0.0,0.0,12.3,27.7,18,952.1,24.3,6.21
2024-04-24,38.7,22.9,30.8,30.6,33,0.0,0.0,16.1,27.7,22,951.6,25.41,7.36
2024-04-25,39.0,25.5,31.7,31.6,32,0.0,0.0,12.0,26.3,20,951.7,24.16,7.16
2024-04-26,40.4,23.8,32.3,32.6,34,0.0,0.0,10.2,23.0,23,951.2,22.4,6.51
2024-04-27,38.7,24.7,32.1,33.0,36,0.0,0.0,13.4,25.2,20,952.0,25.42,6.88
2024-04-28,40.5,25.8,33.3,33.8,34,0.0,0.0,16.9,34.2,37,951.9,25.62,7.76
2024-04-29,39.6,25.5,32.9,33.8,34,0.0,0.0,14.1,27.4,28,953.3,23.98,6.77
2024-04-30,39.9,25.8,33.2,34.5,36,0.0,0.0,13.4,28.4,16,951.3,24.34,6.76
2024-05-01,40.5,28.0,33.7,33.4,29,0.0,0.0,16.1,31.7,20,949.2,26.08,8.26
2024-05-02,39.6,25.2,32.5,31.6,27,0.0,0.0,17.0,35.3,1,949.3,26.45,7.99
2024-05-03,40.4,24.0,32.5,31.6,26,0.0,0.0,13.4,27.0,0,950.3,26.59,7.82
2024-05-04,41.4,24.9,33.1,34.6,41,0.0,0.0,14.7,27.7,1,950.7,25.99,7.21
2024-05-05,40.0,26.0,33.4,35.3,44,0.0,0.0,16.0,29.5,16,950.0,26.02,7.6
2024-05-06,40.8,25.9,33.6,35.6,44,0.0,0.0,15.3,28.1,4,950.4,25.34,7.29
2024-05-07,35.1,23.9,29.3,32.2,64,1.6,1.6,24.5,49.3,80,952.9,21.47,5.67
2024-05-08,36.5,23.4,29.7,32.3,58,0.8,0.8,19.7,39.6,43,952.3,23.54,5.96
2024-05-09,36.2,23.6,29.3,32.0,62,0.8,0.8,22.9,61.2,57,952.0,20.72,5.72
2024-05-10,34.8,22.0,27.7,32.1,74,22.9,22.9,15.1,35.6,56,952.7,18.94,4.38
2024-05-11,37.3,24.2,30.7,33.3,54,0.0,0.0,13.8,28.8,22,953.4,24.02,6.47
2024-05-12,35.8,24.2,30.1,33.5,57,5.1,5.1,18.4,43.9,34,953.9,23.43,5.75
2024-05-13,34.9,24.9,29.4,32.4,58,1.6,1.6,11.7,27.4,49,953.4,20.16,5.08
2024-05-14,35.0,24.4,29.3,32.4,59,0.5,0.5,16.9,36.0,41,953.2,23.88,5.82
2024-05-15,36.1,24.6,29.7,33.3,61,1.0,1.0,14.6,30.2,33,953.9,24.32,5.89
2024-05-16,32.9,23.7,28.7,32.5,66,13.5,13.5,19.2,40.3,66,954.2,21.38,5.0
2024-05-17,32.6,23.1,27.3,31.1,73,2.3,2.3,18.7,35.6,80,952.7,20.66,4.81
2024-05-18,33.1,24.2,27.1,31.7,78,10.7,10.7,19.3,38.9,98,951.2,18.68,4.06
2024-05-19,32.8,23.7,27.1,32.2,80,10.3,10.3,11.4,20.9,96,949.8,18.78,4.14
2024-05-20,32.7,23.1,28.5,33.3,74,9.2,9.2,12.5,33.8,96,949.5,20.6,4.7
2024-05-21,34.6,24.7,29.7,33.4,63,0.2,0.2,14.6,35.6,71,949.5,22.68,5.66
2024-05-22,35.2,24.4,29.3,33.9,67,5.5,5.5,15.1,34.6,55,948.9,22.61,5.22
2024-05-23,36.3,25.0,30.3,33.8,60,0.0,0.0,11.2,23.8,39,947.2,19.53,5.17
2024-05-24,38.6,26.4,32.1,35.0,50,0.0,0.0,17.2,34.2,64,945.9,24.12,6.76
2024-05-25,37.0,27.3,31.7,34.0,51,0.5,0.5,16.9,36.4,99,945.4,12.88,4.98
2024-05-26,37.6,28.2,32.3,33.4,46,0.2,0.2,26.6,47.9,100,945.7,24.16,8.3
2024-05-27,38.0,27.9,31.5,33.1,55,0.0,0.0,24.3,46.8,100,946.0,21.7,7.63
2024-05-28,37.0,26.8,31.6,32.9,52,0.0,0.0,22.3,43.6,81,946.8,20.54,7.3
2024-05-29,38.6,27.0,32.4,33.6,46,0.0,0.0,24.5,47.2,43,947.0,25.89,8.23
2024-05-30,38.4,27.9,32.8,34.2,42,0.0,0.0,19.4,37.8,23,948.4,24.95,7.86
2024-05-31,39.5,28.0,33.6,34.6,38,0.0,0.0,20.5,40.0,15,948.9,24.93,7.97
2024-06-01,39.2,27.6,33.8,35.9,41,0.0,0.0,15.6,31.7,75,949.4,23.58,6.89
2024-06-02,37.2,26.1,29.9,33.5,65,25.2,25.2,16.2,43.2,100,951.0,16.32,4.64
2024-06-03,33.6,22.7,27.8,30.9,69,11.9,11.9,15.5,30.2,95,951.9,16.08,4.06
2024-06-04,33.5,25.2,28.8,32.7,68,7.4,7.4,14.4,34.9,94,951.7,14.21,3.6
2024-06-05,32.3,24.2,26.7,31.7,83,34.1,34.1,14.4,28.4,98,952.0,15.42,3.36
2024-06-06,34.1,23.6,27.1,31.4,80,38.3,38.3,16.5,34.6,89,952.0,20.18,4.55
2024-06-07,32.0,23.3,26.9,30.7,77,4.5,4.5,17.8,34.2,95,950.7,15.63,3.65
2024-06-08,31.3,24.0,26.4,30.3,79,6.3,6.3,15.9,32.4,98,949.7,16.1,3.61
2024-06-09,30.9,23.3,26.4,29.7,77,1.6,1.6,14.3,30.6,91,948.7,17.35,3.99
2024-06-10,29.2,23.4,25.5,29.0,83,10.6,10.6,19.5,35.3,90,949.0,13.78,3.1
2024-06-11,31.1,23.1,25.3,28.5,85,6.0,6.0,18.9,37.1,96,949.3,14.12,3.15
2024-06-12,31.1,22.6,25.7,28.6,82,6.2,6.2,20.2,42.5,91,950.6,14.27,3.43
2024-06-13,32.1,23.4,26.1,29.4,83,32.4,32.4,20.7,38.5,91,950.9,19.13,4.22
2024-06-14,30.4,23.2,25.9,28.9,82,8.7,8.7,23.7,45.0,95,950.1,17.59,3.91
2024-06-15,31.6,23.5,27.2,30.0,74,0.8,0.8,21.7,42.1,97,949.7,21.16,5.0
2024-06-16,31.2,23.9,27.5,30.5,72,2.1,2.1,19.1,36.7,93,950.4,17.99,4.39
2024-06-17,32.4,23.6,27.8,31.2,73,2.8,2.8,17.6,36.4,91,950.5,19.0,4.57
2024-06-18,32.6,23.8,27.9,31.0,72,0.4,0.4,18.9,36.7,88,949.9,19.36,4.85
2024-06-19,30.3,23.8,27.3,29.5,72,6.5,6.5,19.7,38.9,100,948.7,15.58,4.3
2024-06-20,32.1,24.5,27.8,29.6,65,0.6,0.6,23.7,45.7,99,948.6,19.39,5.42
