date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,34.0,24.9,28.5,32.4,78,0.1,0.1,21.1,43.2,27,1004.4,19.4,4.79
2024-04-02,32.0,25.2,28.0,32.5,83,5.4,5.4,18.0,39.6,32,1004.6,19.44,4.32
2024-04-03,34.3,25.7,29.0,33.4,76,0.6,0.6,15.7,31.7,41,1006.0,20.92,4.99
2024-04-04,34.7,24.4,29.0,33.3,76,0.2,0.2,18.1,36.7,32,1005.7,20.3,5.12
2024-04-05,35.1,25.3,29.3,33.9,77,0.7,0.7,16.6,34.6,48,1004.6,17.4,4.46
2024-04-06,35.6,25.7,29.9,34.8,75,2.8,2.8,14.8,31.3,42,1004.4,20.1,5.07
2024-04-07,34.4,24.7,28.4,33.3,79,14.1,14.1,18.7,36.0,52,1005.6,18.1,4.28
2024-04-08,32.8,22.5,27.3,30.5,68,0.0,0.0,15.7,32.4,50,1008.6,18.8,4.52
2024-04-09,33.7,20.8,27.4,30.7,66,0.0,0.0,10.2,16.9,81,1008.6,21.17,4.81
2024-04-10,34.6,21.2,27.6,30.3,63,0.0,0.0,9.3,16.9,60,1008.7,18.1,4.38
2024-04-11,34.8,22.3,28.1,31.5,67,0.2,0.2,14.2,28.8,85,1009.6,18.73,4.71
2024-04-12,34.8,24.4,28.9,31.3,56,0.0,0.0,13.0,24.1,69,1009.0,22.37,5.68
2024-04-13,35.5,22.2,28.1,30.6,58,0.0,0.0,9.7,31.0,34,1008.7,22.44,5.48
2024-04-14,34.8,21.0,27.5,30.7,66,0.1,0.1,10.2,26.6,70,1008.8,21.07,4.95
2024-04-15,35.7,21.9,28.9,32.5,63,0.0,0.0,8.4,20.5,22,1008.0,22.65,5.37
2024-04-16,35.4,24.5,29.1,33.6,69,0.7,0.7,15.0,33.5,36,1005.9,21.55,5.08
2024-04-17,35.9,24.7,28.3,32.9,82,8.0,8.0,22.1,53.6,25,1004.3,19.25,4.41
2024-04-18,33.9,24.5,27.4,32.6,86,7.5,7.5,16.9,36.4,43,1004.0,21.16,4.4
2024-04-19,35.0,23.3,29.2,33.0,75,0.4,0.4,21.1,46.4,17,1000.9,21.15,5.47
2024-04-20,36.3,26.7,30.5,34.5,74,0.0,0.0,28.2,55.4,6,1000.1,23.57,6.14
2024-04-21,35.7,27.2,30.0,34.6,79,8.8,8.8,21.6,46.4,38,1001.9,21.31,5.33
2024-04-22,35.3,27.5,30.5,35.3,75,0.3,0.3,20.9,41.0,66,1003.5,18.68,4.85
2024-04-23,34.7,26.8,30.2,35.1,74,0.2,0.2,18.4,37.4,66,1003.2,21.37,5.33
2024-04-24,35.9,25.7,30.0,34.8,73,1.0,1.0,16.3,38.5,18,1002.7,22.15,5.46
2024-04-25,36.2,26.8,29.9,35.2,79,0.0,0.0,18.8,37.8,11,1003.3,23.04,5.46
2024-04-26,36.3,26.5,30.1,35.0,77,1.0,1.0,21.4,43.6,26,1003.1,22.91,5.65
2024-04-27,36.0,26.1,30.1,35.5,79,12.0,12.0,19.8,41.4,44,1003.3,21.49,5.26
2024-04-28,35.7,26.7,30.9,36.2,75,0.1,0.1,20.0,43.2,41,1003.3,21.87,5.55
2024-04-29,36.2,27.1,30.7,36.2,77,1.1,1.1,19.5,37.1,39,1003.7,21.7,5.4
2024-04-30,36.8,27.2,30.5,35.6,79,5.3,5.3,22.6,48.6,18,1000.1,21.41,5.38
