date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,35.0,22.6,28.6,26.1,30,0.0,0.0,27.7,49.0,24,993.1,23.65,8.65
2024-04-02,34.5,20.2,26.9,24.4,30,0.0,0.0,22.3,41.4,69,992.8,22.68,7.75
2024-04-03,36.4,18.9,27.7,25.6,30,0.0,0.0,18.6,36.0,78,993.9,23.43,7.46
2024-04-04,38.0,20.1,30.0,28.9,30,0.0,0.0,13.8,27.0,99,993.2,21.7,6.85
2024-04-05,38.1,21.7,30.1,28.3,28,0.0,0.0,17.9,34.6,72,992.7,22.81,7.72
2024-04-06,36.2,22.8,29.3,27.1,26,0.0,0.0,15.7,32.0,67,993.1,19.98,6.97
2024-04-07,37.0,21.6,28.6,26.1,23,0.0,0.0,19.8,37.1,0,993.3,24.32,7.81
2024-04-08,37.6,19.1,28.6,25.3,19,0.0,0.0,21.2,40.3,0,994.7,24.93,8.52
2024-04-09,38.4,19.9,29.2,26.8,22,0.0,0.0,15.8,32.4,43,995.4,22.87,7.27
2024-04-10,38.6,21.0,29.6,27.7,24,0.0,0.0,15.6,27.7,35,995.6,23.98,7.24
2024-04-11,38.1,21.3,30.1,28.5,25,0.0,0.0,12.1,25.9,21,996.4,23.89,7.26
2024-04-12,38.3,21.5,29.9,29.0,29,0.0,0.0,15.3,30.2,59,995.9,22.72,6.65
2024-04-13,36.9,25.0,30.8,30.5,32,0.0,0.0,12.1,23.4,61,996.0,22.08,6.42
2024-04-14,36.7,24.1,30.4,31.3,38,0.0,0.0,10.1,24.1,22,996.6,22.56,5.73
2024-04-15,38.4,23.9,30.9,32.2,44,0.2,0.2,22.6,42.1,33,996.2,22.1,6.42
2024-04-16,38.9,24.9,32.2,31.2,32,0.0,0.0,26.6,49.3,38,994.0,23.5,8.73
2024-04-17,37.5,25.0,31.5,27.9,22,0.0,0.0,29.5,53.6,29,992.7,25.46,10.55
2024-04-18,39.3,25.5,32.4,29.2,21,0.0,0.0,29.9,54.0,15,991.6,24.43,10.53
2024-04-19,40.2,28.1,33.6,31.4,24,0.0,0.0,26.2,48.6,13,989.6,24.43,9.87
2024-04-20,40.6,26.6,32.8,30.1,21,0.0,0.0,25.7,47.2,36,988.9,24.62,9.83
2024-04-21,38.7,24.2,31.8,29.3,22,0.0,0.0,23.7,42.8,80,990.5,21.58,8.67
2024-04-22,39.4,24.6,32.1,30.9,25,0.0,0.0,12.8,28.8,3,991.6,24.53,7.84
2024-04-23,39.7,23.9,32.0,30.3,24,0.0,0.0,19.9,36.0,11,991.1,23.23,7.97
2024-04-24,40.0,24.1,32.2,29.5,21,0.0,0.0,25.0,44.6,2,991.1,24.36,9.32
2024-04-25,40.4,24.1,32.5,29.5,18,0.0,0.0,24.5,45.0,0,991.1,24.98,9.46
2024-04-26,41.7,24.4,33.9,31.0,17,0.0,0.0,26.2,49.7,32,990.5,24.83,9.9
2024-04-27,40.3,28.3,34.1,32.2,25,0.0,0.0,23.0,41.0,72,991.3,21.13,9.34
2024-04-28,41.1,26.4,33.5,30.9,19,0.0,0.0,26.6,48.2,7,991.4,25.03,9.49
2024-04-29,41.5,23.7,33.2,31.6,21,0.0,0.0,14.2,28.1,26,991.2,23.67,7.63
2024-04-30,40.6,26.5,33.0,29.9,18,0.0,0.0,25.0,47.2,0,988.7,25.03,10.35
2024-05-01,39.5,23.2,31.6,28.3,16,0.0,0.0,23.8,44.6,0,987.4,25.16,9.4
2024-05-02,36.3,22.2,29.4,25.9,19,0.0,0.0,22.3,42.8,13,989.5,25.46,9.24
2024-05-03,39.2,22.5,31.0,28.1,19,0.0,0.0,21.2,41.0,34,990.8,25.43,9.05
2024-05-04,40.8,25.6,32.7,30.3,18,0.0,0.0,20.5,38.2,79,990.6,22.87,8.23
2024-05-05,43.0,27.0,34.2,31.5,18,0.0,0.0,21.4,40.3,4,986.6,24.8,9.92
2024-05-06,41.2,25.9,33.2,32.9,29,0.0,0.0,15.9,32.8,6,988.9,23.41,7.51
2024-05-07,38.0,26.4,31.0,31.6,46,0.5,0.5,33.2,63.7,25,992.6,21.32,7.46
2024-05-08,36.4,25.7,30.1,30.8,52,1.4,1.4,26.3,49.0,18,993.6,22.11,7.43
2024-05-09,34.1,25.0,29.3,30.6,56,1.8,1.8,23.4,45.7,16,992.4,21.44,6.56
2024-05-10,36.2,25.4,30.6,32.7,55,0.4,0.4,21.8,43.2,19,992.8,21.93,6.35
2024-05-11,35.4,26.6,30.7,33.5,55,1.4,1.4,15.0,29.5,26,994.0,20.84,5.82
2024-05-12,35.4,25.9,30.2,33.5,58,1.0,1.0,26.2,61.9,22,994.4,21.14,5.37
2024-05-13,35.9,26.1,31.0,34.0,56,0.0,0.0,17.3,36.4,49,994.3,18.82,5.36
2024-05-14,40.4,24.9,33.0,34.1,41,0.0,0.0,17.9,33.1,48,993.8,23.38,7.36
2024-05-15,40.6,26.9,33.7,33.1,28,0.0,0.0,15.0,30.2,50,994.1,22.82,7.86
2024-05-16,41.8,25.7,33.8,34.0,31,0.0,0.0,13.6,26.6,4,993.3,22.85,7.39
2024-05-17,42.2,26.6,33.9,34.4,32,0.0,0.0,17.1,28.1,55,990.3,22.41,6.87
2024-05-18,43.4,30.2,35.8,35.1,26,0.0,0.0,19.6,32.0,3,987.3,23.37,9.09
2024-05-19,44.9,27.4,35.2,35.3,32,0.0,0.0,21.7,54.4,12,985.7,23.14,8.62
2024-05-20,40.8,28.1,33.9,36.1,46,0.0,0.0,23.5,51.5,10,987.3,22.2,7.66
