date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,25.9,14.4,20.4,19.7,53,0.0,0.0,12.6,27.7,80,935.5,17.5,3.81
2024-04-02,27.1,14.8,20.5,20.4,57,0.0,0.0,11.9,27.7,64,934.5,22.68,4.67
2024-04-03,29.6,14.9,21.7,20.8,45,0.0,0.0,10.1,23.0,96,936.3,20.66,4.73
2024-04-04,30.4,14.9,22.0,21.1,43,0.0,0.0,13.6,30.6,34,936.3,23.21,5.22
2024-04-05,29.0,13.8,21.0,19.8,44,0.0,0.0,13.4,29.9,43,935.5,21.18,4.84
2024-04-06,29.3,12.6,20.7,19.4,44,0.0,0.0,11.4,25.6,1,935.0,23.91,5.35
2024-04-07,29.0,13.4,20.8,19.6,44,0.0,0.0,10.8,24.5,4,935.1,23.41,5.2
2024-04-08,29.8,12.3,20.8,19.0,39,0.0,0.0,13.7,31.0,6,936.4,23.67,5.45
2024-04-09,30.4,12.9,21.3,19.9,40,0.0,0.0,12.5,28.4,35,937.4,23.19,5.26
2024-04-10,30.7,13.7,22.2,21.1,41,0.0,0.0,9.8,23.4,11,938.0,23.72,5.32
2024-04-11,30.5,13.7,22.1,20.9,43,0.1,0.1,13.8,37.1,16,939.3,22.73,5.34
2024-04-12,31.5,14.1,22.7,21.6,43,0.0,0.0,17.0,37.1,19,938.3,24.24,5.74
2024-04-13,32.1,15.3,23.9,23.2,41,0.0,0.0,8.6,20.2,90,938.4,22.87,5.33
2024-04-14,28.7,18.0,23.4,23.0,48,0.3,0.3,15.5,28.8,99,940.1,12.0,3.46
2024-04-15,28.8,17.8,23.3,23.7,54,0.0,0.0,7.0,16.9,80,939.4,12.55,3.0
2024-04-16,29.9,17.0,23.7,23.8,51,0.0,0.0,12.1,28.4,56,937.5,23.2,5.32
2024-04-17,29.7,16.0,23.3,23.0,48,0.0,0.0,16.9,36.0,36,935.5,24.67,5.62
2024-04-18,31.3,18.1,24.0,23.4,45,0.0,0.0,19.6,41.0,39,934.8,22.85,5.51
2024-04-19,32.8,17.1,24.3,24.0,45,0.0,0.0,17.6,41.4,26,934.2,20.03,4.98
2024-04-20,31.5,17.9,24.1,23.1,41,0.0,0.0,16.9,35.3,14,932.8,23.08,5.75
2024-04-21,31.2,15.8,23.8,23.3,43,0.0,0.0,12.0,26.6,9,933.7,24.72,5.71
2024-04-22,30.7,16.1,23.1,22.5,43,0.1,0.1,11.3,24.5,23,934.9,23.62,5.31
2024-04-23,31.0,15.0,22.6,21.8,47,0.0,0.0,14.8,36.0,29,934.7,21.71,5.15
2024-04-24,30.3,15.2,22.7,21.7,42,0.0,0.0,12.5,27.7,1,934.3,24.94,5.66
2024-04-25,32.1,15.2,24.2,23.3,40,0.0,0.0,11.6,25.9,1,934.2,24.99,5.9
2024-04-26,34.8,16.8,25.6,24.5,36,0.0,0.0,13.4,31.0,24,933.5,24.75,6.14
2024-04-27,31.8,19.4,24.8,23.9,39,0.0,0.0,13.7,34.2,35,935.4,20.99,5.35
2024-04-28,31.4,16.3,23.9,22.7,40,0.0,0.0,10.9,24.5,49,935.5,22.4,5.52
2024-04-29,32.0,17.4,24.3,23.4,40,0.3,0.3,9.0,25.2,52,935.2,18.63,4.79
2024-04-30,31.1,15.8,23.5,22.6,43,0.0,0.0,13.4,30.2,8,933.3,25.68,6.17
2024-05-01,27.3,14.0,21.3,19.5,38,0.0,0.0,14.7,32.8,1,930.7,25.37,5.76
2024-05-02,30.6,12.4,22.5,21.1,38,0.0,0.0,11.3,26.6,0,932.1,26.06,5.87
2024-05-03,32.8,15.8,25.5,24.9,38,0.0,0.0,11.4,26.6,63,933.4,24.36,6.01
2024-05-04,35.3,21.2,27.9,26.6,33,0.0,0.0,26.7,54.7,38,934.1,23.61,7.01
2024-05-05,35.5,17.9,27.1,25.9,33,0.0,0.0,15.8,34.6,0,930.5,25.37,6.64
2024-05-06,35.5,19.1,27.5,26.7,33,0.0,0.0,10.9,27.0,6,932.3,25.07,6.07
2024-05-07,33.7,19.6,26.8,26.6,38,0.0,0.0,10.8,27.0,15,935.0,21.61,5.27
2024-05-08,30.0,21.0,25.8,27.0,51,4.2,4.2,8.6,21.6,33,936.0,19.7,4.49
2024-05-09,31.3,20.8,25.6,27.7,60,1.7,1.7,9.4,23.8,20,935.3,22.02,4.81
2024-05-10,31.5,20.9,26.2,28.3,59,1.5,1.5,10.2,26.6,46,936.0,20.83,4.74
2024-05-11,31.8,21.9,26.0,28.2,60,3.7,3.7,10.9,35.6,39,937.1,22.06,4.8
2024-05-12,30.7,20.3,24.5,26.6,66,10.9,10.9,10.4,31.7,25,937.1,20.59,4.4
2024-05-13,33.3,18.5,26.2,26.3,44,0.0,0.0,12.6,27.4,7,937.0,22.95,5.68
2024-05-14,34.6,17.9,26.9,26.2,35,0.0,0.0,14.4,32.8,2,936.7,24.84,6.29
2024-05-15,36.2,18.0,27.6,27.0,34,0.0,0.0,11.6,26.3,10,937.1,24.05,6.21
2024-05-16,36.6,19.6,28.1,27.8,35,0.0,0.0,15.3,34.6,1,936.9,25.17,6.35
2024-05-17,37.2,19.7,29.1,28.8,35,0.0,0.0,14.1,32.0,8,934.0,24.35,6.63
2024-05-18,37.9,20.4,30.3,30.1,34,0.0,0.0,13.8,32.8,3,931.1,24.78,6.94
2024-05-19,38.3,21.4,31.1,30.0,29,0.0,0.0,24.1,50.8,14,929.9,23.24,7.77
2024-05-20,35.4,23.3,29.0,29.6,39,0.2,0.2,15.7,41.0,11,931.4,22.64,5.88
2024-05-21,34.0,22.0,28.5,30.3,48,0.0,0.0,10.9,28.8,7,932.6,23.89,5.63
2024-05-22,34.1,23.2,28.4,31.3,57,0.7,0.7,11.4,29.2,17,933.3,21.96,5.2
2024-05-23,33.5,23.3,27.4,30.8,64,6.1,6.1,9.8,28.4,22,933.0,20.48,4.65
2024-05-24,33.7,23.5,28.4,32.0,64,0.9,0.9,10.2,23.8,18,932.7,22.05,5.06
2024-05-25,34.9,24.9,29.4,32.3,57,5.4,5.4,14.8,34.2,10,930.3,22.41,5.69
2024-05-26,37.6,23.7,30.6,32.5,46,0.0,0.0,11.7,26.6,3,928.5,24.13,6.43
2024-05-27,37.3,24.4,30.8,32.3,43,0.0,0.0,11.7,28.1,2,926.5,24.25,6.73
2024-05-28,36.4,22.0,28.9,29.0,34,0.0,0.0,10.1,27.4,0,924.1,26.14,6.67
2024-05-29,38.9,20.4,30.1,29.9,30,0.0,0.0,12.0,31.7,12,925.8,25.83,6.81
