date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,cloud_cover_mean,surface_pressure_mean,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-04-01,37.0,25.5,30.6,34.1,61,0.0,0.0,15.0,27.0,5,1004.1,23.48,6.1
2024-04-02,36.3,24.8,30.3,35.0,67,0.0,0.0,13.3,23.4,6,1003.8,23.62,5.54
2024-04-03,36.8,25.0,30.4,35.8,73,0.0,0.0,17.0,29.5,35,1005.9,23.04,5.36
2024-04-04,36.7,26.3,29.9,35.9,82,15.6,15.6,21.4,37.1,41,1005.3,20.73,4.9
2024-04-05,38.3,26.5,31.6,37.9,76,0.0,0.0,17.5,33.1,29,1003.5,22.48,5.48
2024-04-06,37.7,26.4,30.9,37.4,79,3.3,3.3,20.6,41.8,15,1004.2,21.92,5.23
2024-04-07,36.3,26.3,30.4,35.8,73,2.5,2.5,19.6,40.7,58,1005.5,18.41,4.54
2024-04-08,32.0,22.9,27.1,30.0,70,0.1,0.1,21.4,43.9,83,1008.9,13.02,3.73
2024-04-09,34.7,21.7,28.1,31.2,62,0.0,0.0,12.0,25.2,71,1008.6,21.2,5.05
2024-04-10,35.7,22.5,29.0,32.4,62,0.0,0.0,12.7,23.4,59,1008.6,20.29,4.92
2024-04-11,32.8,23.7,27.2,31.0,73,0.8,0.8,17.3,40.3,88,1009.9,11.21,2.92
2024-04-12,34.9,22.5,28.7,32.1,61,0.0,0.0,9.0,17.6,50,1009.1,23.26,5.43
2024-04-13,36.6,23.1,29.7,33.4,62,0.0,0.0,9.0,16.6,25,1008.5,23.6,5.58
2024-04-14,36.6,24.1,30.0,33.6,61,0.0,0.0,9.7,22.3,37,1008.6,22.77,5.46
2024-04-15,38.5,24.6,31.3,35.7,64,0.0,0.0,14.2,25.6,21,1007.3,23.4,6.02
2024-04-16,38.9,26.6,32.3,36.0,58,0.0,0.0,14.9,25.2,11,1004.9,23.66,6.59
2024-04-17,38.7,27.5,32.4,36.9,59,0.0,0.0,10.8,22.7,17,1003.1,22.13,5.82
2024-04-18,38.7,25.7,32.0,34.4,49,0.0,0.0,13.9,27.0,26,1002.8,25.12,6.69
2024-04-19,40.8,25.3,32.2,34.5,54,0.0,0.0,22.4,47.9,11,1000.6,24.31,7.61
2024-04-20,41.7,26.3,32.9,36.8,62,0.0,0.0,22.4,45.0,2,999.9,24.72,7.2
2024-04-21,41.2,27.2,33.6,38.2,61,0.0,0.0,22.1,39.2,22,1001.1,23.57,6.86
2024-04-22,40.0,27.7,33.4,37.0,52,0.0,0.0,15.0,27.7,64,1003.2,22.95,6.34
2024-04-23,38.7,26.7,32.5,34.7,45,0.0,0.0,16.2,32.0,46,1003.1,23.02,6.67
2024-04-24,39.9,27.3,33.3,35.9,49,0.0,0.0,16.2,29.9,9,1002.1,23.32,7.09
2024-04-25,40.4,25.7,33.0,36.2,51,0.0,0.0,16.1,28.1,0,1002.6,25.37,6.66
2024-04-26,41.0,27.5,33.0,38.1,67,0.0,0.0,20.2,36.0,5,1002.3,23.22,6.52
2024-04-27,40.8,28.0,33.6,38.0,62,0.0,0.0,17.7,31.0,4,1002.4,24.06,6.83
2024-04-28,40.4,28.3,33.8,38.1,58,1.6,1.6,17.6,33.8,22,1002.8,22.77,6.91
2024-04-29,41.6,28.6,34.3,37.4,51,0.0,0.0,21.0,38.9,2,1003.2,24.43,7.48
2024-04-30,43.9,29.3,35.2,38.3,51,0.0,0.0,25.7,45.4,12,999.0,23.25,8.08
2024-05-01,41.6,28.8,35.2,38.0,45,0.0,0.0,21.1,37.4,8,998.4,24.73,7.48
2024-05-02,41.7,29.2,33.8,38.7,63,0.3,0.3,21.6,41.4,9,998.9,23.43,7.0
2024-05-03,40.0,26.9,33.2,37.9,60,0.0,0.0,16.5,28.4,3,1002.6,25.53,6.42
2024-05-04,39.1,27.9,32.5,37.5,69,0.0,0.0,22.2,42.5,55,1003.0,21.83,6.35
2024-05-05,37.2,28.3,32.2,36.7,71,0.0,0.0,25.6,46.8,36,1000.5,22.95,6.76
2024-05-06,36.6,25.1,29.9,34.1,79,38.8,38.8,33.8,63.0,79,1002.7,16.93,4.87
2024-05-07,34.2,25.4,28.6,32.9,76,0.4,0.4,24.5,46.8,64,1006.7,20.93,5.04
